label,acc,auc,cm
E,0.568,0.6186225222312776,"{'tp': 821, 'fp': 538, 'tn': 599, 'fn': 542}"
EIX,0.568,0.6186225222312776,"{'tp': 821, 'fp': 538, 'tn': 599, 'fn': 542}"
