a_scale_factor,D_growth_factor
1.0,1.0
0.9519230769230769,0.9737185665965158
0.908256880733945,0.9480101466502058
0.8684210526315789,0.9229353045506175
0.8319327731092437,0.8985611139768387
0.7983870967741935,0.8748920017311432
0.7674418604651163,0.8520322728306273
0.7388059701492538,0.8298711617401019
0.7122302158273381,0.8086411703588737
0.6875,0.7880193483824555
0.6644295302013422,0.768453941036819
0.6428571428571428,0.7493328273313947
0.6226415094339623,0.7309141287005987
0.6036585365853658,0.713526910722031
0.5857988165680473,0.696432867864721
0.5689655172413793,0.6801246307481673
0.553072625698324,0.6642121313893468
0.5380434782608696,0.6488834038757216
0.5238095238095238,0.6341694041502763
0.5103092783505154,0.6199756053768036
0.4974874371859296,0.606326916470191
0.4852941176470588,0.5931962862396054
0.47368421052631576,0.5804827975624138
0.4626168224299065,0.5681947093931509
0.452054794520548,0.556305820894953
0.44196428571428575,0.5435386981963632
0.43231441048034935,0.5322022151158793
0.42307692307692313,0.5212223563706587
0.4142259414225941,0.5105932684857567
0.4057377049180328,0.4977573746142928
0.39759036144578314,0.4877093028809012
0.38976377952755903,0.4780053820991199
0.38223938223938225,0.4686349381996803
0.37499999999999994,0.4564806526342319
0.3680297397769517,0.44770486326444786
0.3613138686131387,0.43923375152292177
0.3548387096774193,0.43105429014749036
0.3485915492957747,0.423153780171254
0.342560553633218,0.41226529195531914
0.336734693877551,0.4048797435275331
0.3311036789297659,0.3977412055383703
0.32565789473684215,0.39083860959690947
0.32038834951456313,0.38416144472164726
0.31528662420382164,0.3745266413683701
0.3103448275862069,0.3682787101713068
0.3055555555555556,0.36222971756757744
0.3009118541033435,0.3563709593376835
0.2964071856287425,0.35069418690470217
0.2920353982300885,0.34224875164678004
0.2877906976744186,0.33692862545137015
0.2836676217765043,0.33176931742205096
0.2796610169491526,0.326764039501451
0.2757660167130919,0.32190635453028255
0.27197802197802196,0.31719015594423683
0.2682926829268293,0.31260964858856183
0.2647058823529412,0.30559103941611754
0.2612137203166227,0.3012857261913041
0.2578125,0.29710078412475016
0.2544987146529563,0.2930314331974868
0.25126903553299496,0.2890731309146547
0.2481203007518797,0.28522155873168353
0.24504950495049502,0.2814726090859485
0.24205378973105132,0.27569175278367936
0.2391304347826087,0.27215612209276685
0.2362768496420048,0.2687119453853453
0.23349056603773585,0.2653558191570318
0.23076923076923073,0.2620845010301574
0.228110599078341,0.258894900779796
0.2255125284738041,0.2557840719101199
0.222972972972973,0.25274920394949923
0.22048997772828507,0.2481199278638608
0.21806167400881057,0.24524576339407758
0.2156862745098039,0.24243970502053008
0.21336206896551724,0.23969940643814694
0.21108742004264394,0.23702262561452433
0.20886075949367092,0.23440721923324037
0.20668058455114824,0.2318511375045489
0.20454545454545453,0.22935241923531832
0.20245398773006135,0.22690918719399827
0.20040485829959515,0.2232932515911751
0.19839679358717432,0.22096841693763336
0.19642857142857142,0.21869369209408987
0.1944990176817289,0.21646749451759842
0.19260700389105057,0.21428830686038164
0.19075144508670522,0.21215467372195587
0.18893129770992365,0.2100651985780432
0.18714555765595464,0.20801854088053617
0.1853932584269663,0.20601341332407594
0.18367346938775508,0.20404857975414692
0.18198529411764705,0.20128655416227495
0.18032786885245902,0.19940755994763013
0.1787003610108303,0.19756524317229057
0.17710196779964224,0.19575854926686073
0.17553191489361702,0.19398646356453775
0.17398945518453426,0.19224800945502388
0.17247386759581881,0.1905422466309747
0.17098445595854922,0.18886826943174895
0.1695205479452055,0.18722520529123868
0.16808149405772496,0.18561221323949567
0.16666666666666666,0.1840284827793173
