a_scale_factor,I_parameter
0.01,1.0
0.010990990990990991,1.0
0.011981981981981983,1.0
0.012972972972972972,1.0
0.013963963963963964,1.0
0.014954954954954955,1.0
0.015945945945945946,1.0
0.016936936936936937,1.0
0.01792792792792793,1.0
0.01891891891891892,1.0
0.01990990990990991,1.0
0.020900900900900903,1.0
0.02189189189189189,1.0
0.022882882882882885,1.0
0.023873873873873873,1.0
0.024864864864864868,1.0
0.025855855855855855,1.0
0.02684684684684685,1.0
0.027837837837837838,1.0
0.028828828828828833,1.0
0.02981981981981982,1.0
0.030810810810810815,1.0
0.0318018018018018,1.0
0.0327927927927928,1.0
0.033783783783783786,1.0
0.03477477477477477,1.0
0.03576576576576577,1.0
0.036756756756756756,1.0
0.03774774774774775,1.0
0.03873873873873874,1.0
0.03972972972972973,1.0
0.04072072072072072,1.0
0.041711711711711716,1.0
0.042702702702702704,1.0
0.0436936936936937,1.0
0.044684684684684686,1.0
0.04567567567567568,1.0
0.04666666666666667,1.0
0.047657657657657664,1.0
0.04864864864864865,1.0
0.049639639639639646,1.0
0.050630630630630634,1.0
0.05162162162162163,1.0
0.052612612612612616,1.0
0.05360360360360361,1.0
0.0545945945945946,1.0
0.055585585585585594,1.0
0.05657657657657658,1.0
0.05756756756756757,1.0
0.058558558558558564,1.0
0.05954954954954955,1.0
0.06054054054054055,1.0
0.061531531531531534,1.0
0.06252252252252252,1.0
0.06351351351351352,1.0
0.06450450450450451,1.0
0.06549549549549549,1.0
0.06648648648648649,1.0
0.06747747747747748,1.0
0.06846846846846848,1.0
0.06945945945945946,1.0
0.07045045045045045,1.0
0.07144144144144145,1.0
0.07243243243243244,1.0
0.07342342342342342,1.0
0.07441441441441442,1.0
0.0754054054054054,1.0
0.0763963963963964,1.0
0.07738738738738739,1.0
0.07837837837837838,1.0
0.07936936936936936,0.9999999999999999
0.08036036036036036,0.9999999999999999
0.08135135135135135,0.9999999999999998
0.08234234234234235,0.9999999999999997
0.08333333333333333,0.9999999999999996
0.08432432432432432,0.9999999999999993
0.08531531531531532,0.9999999999999989
0.08630630630630631,0.9999999999999984
0.0872972972972973,0.9999999999999976
0.08828828828828829,0.9999999999999964
0.08927927927927928,0.9999999999999948
0.09027027027027026,0.9999999999999926
0.09126126126126126,0.9999999999999892
0.09225225225225225,0.9999999999999847
0.09324324324324325,0.9999999999999782
0.09423423423423423,0.9999999999999694
0.09522522522522522,0.9999999999999573
0.09621621621621622,0.9999999999999407
0.09720720720720721,0.9999999999999184
0.0981981981981982,0.9999999999998883
0.09918918918918919,0.9999999999998482
0.10018018018018018,0.9999999999997948
0.10117117117117118,0.9999999999997243
0.10216216216216216,0.9999999999996316
0.10315315315315315,0.9999999999995106
0.10414414414414415,0.9999999999993532
0.10513513513513513,0.9999999999991497
0.10612612612612612,0.9999999999988878
0.10711711711711712,0.9999999999985524
0.10810810810810811,0.9999999999981248
0.1090990990990991,0.9999999999975823
0.11009009009009009,0.9999999999968968
0.11108108108108108,0.9999999999960346
0.11207207207207208,0.9999999999949547
0.11306306306306306,0.9999999999936073
0.11405405405405405,0.9999999999919332
0.11504504504504505,0.999999999989861
0.11603603603603604,0.9999999999873057
0.11702702702702703,0.9999999999841661
0.11801801801801802,0.9999999999803226
0.11900900900900901,0.9999999999756335
0.12000000000000001,0.9999999999699322
0.12099099099099099,0.9999999999630231
0.12198198198198199,0.9999999999546774
0.12297297297297298,0.9999999999446277
0.12396396396396396,0.9999999999325636
0.12495495495495496,0.9999999999181242
0.12594594594594596,0.9999999999008924
0.12693693693693694,0.9999999998803868
0.12792792792792793,0.999999999856053
0.12891891891891893,0.9999999998272548
0.12990990990990992,0.9999999997932635
0.13090090090090092,0.9999999997532462
0.1318918918918919,0.9999999997062538
0.13288288288288289,0.9999999996512068
0.1338738738738739,0.9999999995868802
0.13486486486486488,0.9999999995118873
0.13585585585585588,0.9999999994246609
0.13684684684684686,0.9999999993234339
0.13783783783783785,0.9999999992062184
0.13882882882882885,0.9999999990707815
0.13981981981981983,0.9999999989146208
0.14081081081081082,0.9999999987349368
0.14180180180180182,0.9999999985286036
0.1427927927927928,0.9999999982921367
0.14378378378378381,0.9999999980216595
0.1447747747747748,0.9999999977128661
0.14576576576576578,0.9999999973609818
0.14675675675675678,0.999999996960721
0.14774774774774777,0.9999999965062422
0.14873873873873875,0.9999999959910992
0.14972972972972975,0.9999999954081904
0.15072072072072074,0.9999999947497026
0.15171171171171174,0.9999999940070541
0.15270270270270273,0.9999999931708313
0.1536936936936937,0.999999992230724
0.15468468468468471,0.9999999911754546
0.1556756756756757,0.9999999899927048
0.15666666666666668,0.9999999886690375
0.15765765765765768,0.9999999871898138
0.15864864864864867,0.9999999855391065
0.15963963963963965,0.9999999836996081
0.16063063063063066,0.9999999816525341
0.16162162162162164,0.9999999793775222
0.16261261261261264,0.9999999768525246
0.16360360360360363,0.9999999740536972
0.1645945945945946,0.9999999709552816
0.16558558558558562,0.9999999675294828
0.1665765765765766,0.9999999637463406
0.16756756756756758,0.9999999595735949
0.16855855855855859,0.9999999549765461
0.16954954954954957,0.9999999499179089
0.17054054054054055,0.9999999443576589
0.17153153153153156,0.9999999382528751
0.17252252252252254,0.9999999315575734
0.17351351351351355,0.9999999242225357
0.17450450450450453,0.9999999161951308
0.1754954954954955,0.9999999074191296
0.17648648648648652,0.9999998978345125
0.1774774774774775,0.9999998873772701
0.17846846846846848,0.9999998759791972
0.17945945945945949,0.9999998635676789
0.18045045045045047,0.9999998500654699
0.18144144144144148,0.9999998353904661
0.18243243243243246,0.9999998194554687
0.18342342342342344,0.9999998021679408
0.18441441441441445,0.9999997834297567
0.18540540540540543,0.9999997631369426
0.1863963963963964,0.9999997411794103
0.18738738738738742,0.9999997174406824
0.1883783783783784,0.9999996917976104
0.18936936936936938,0.999999664120084
0.1903603603603604,0.9999996342707322
0.19135135135135137,0.9999996021046176
0.19234234234234238,0.9999995674689206
0.19333333333333336,0.9999995302026176
0.19432432432432434,0.9999994901361485
0.19531531531531535,0.9999994470910786
0.19630630630630633,0.99999940087975
0.1972972972972973,0.9999993513049257
0.19828828828828832,0.9999992981594252
0.1992792792792793,0.999999241225752
0.20027027027027028,0.9999991802757118
0.2012612612612613,0.9999991150700235
0.20225225225225227,0.999999045357921
0.20324324324324328,0.9999989708767467
0.20423423423423426,0.9999988913515372
0.20522522522522524,0.9999988064945994
0.20621621621621625,0.9999987160050793
0.20720720720720723,0.9999986195685224
0.2081981981981982,0.9999985168564246
0.20918918918918922,0.9999984075257757
0.2101801801801802,0.9999982912185951
0.2111711711711712,0.999998167561457
0.2121621621621622,0.99999803616501
0.21315315315315317,0.9999978966234867
0.21414414414414418,0.9999977485142051
0.21513513513513516,0.9999975913970627
0.21612612612612614,0.9999974248140217
0.21711711711711715,0.9999972482885862
0.21810810810810813,0.9999970613252714
0.2190990990990991,0.9999968634090648
0.22009009009009012,0.9999966540048788
0.2210810810810811,0.9999964325569962
0.2220720720720721,0.9999961984885067
0.2230630630630631,0.9999959512007369
0.22405405405405407,0.9999956900726708
0.22504504504504508,0.9999954144603634
0.22603603603603606,0.9999951236963474
0.22702702702702704,0.9999948170890295
0.22801801801801805,0.9999944939220822
0.22900900900900903,0.9999941534538259
0.23000000000000004,0.9999937949166038
0.23099099099099102,0.99999341751615
0.231981981981982,0.9999930204309492
0.232972972972973,0.9999926028115896
0.233963963963964,0.9999921637801085
0.23495495495495497,0.9999917024293293
0.23594594594594598,0.9999912178221936
0.23693693693693696,0.9999907089910833
0.23792792792792794,0.9999901749371383
0.23891891891891895,0.9999896146295641
0.23990990990990993,0.9999890270049354
0.24090090090090094,0.9999884109664899
0.24189189189189192,0.9999877653834173
0.2428828828828829,0.9999870890901396
0.2438738738738739,0.9999863808855858
0.2448648648648649,0.999985639532459
0.24585585585585587,0.999984863756497
0.24684684684684688,0.9999840522457255
0.24783783783783786,0.9999832036497059
0.24882882882882884,0.9999823165787746
0.24981981981981985,0.9999813896032769
0.2508108108108108,0.999980421252794
0.25180180180180184,0.9999794100153631
0.2527927927927928,0.9999783543366908
0.2537837837837838,0.9999772526193604
0.2547747747747748,0.9999761032220323
0.25576576576576576,0.9999749044586378
0.25675675675675674,0.9999736545975668
0.2577477477477478,0.9999723518608484
0.25873873873873876,0.9999709944233257
0.25972972972972974,0.999969580411823
0.2607207207207207,0.9999681079043082
0.26171171171171176,0.9999665749290471
0.26270270270270274,0.9999649794637517
0.2636936936936937,0.9999633194347233
0.2646846846846847,0.9999615927159864
0.2656756756756757,0.9999597971284191
