z_dimensionless,S8_dimensionless,D_growth_factor,rho_DE_normalized,I_parameter,E_parameter
0.0,0.8151392541214515,1.0,0.6862833615744346,0.4408892503803196,1.000687417914463
0.050505050505050504,0.8336258760917297,0.9737185665965158,0.6869338738242702,0.4989738167717316,1.0257797874001284
0.10101010101010101,0.8486604629624923,0.9480101466502058,0.6872129196556177,0.5567538327806143,1.0525061021410034
0.15151515151515152,0.8602599856140809,0.9229353045506175,0.6876599688873437,0.6122508179966842,1.081107457229104
0.20202020202020202,0.868676169951765,0.8985611139768387,0.6883123038577668,0.6643696015484442,1.1115655506989888
0.25252525252525254,0.8741910973014468,0.8748920017311432,0.6891726243350524,0.7122954048981092,1.1438398180120644
0.30303030303030304,0.877106867513643,0.8520322728306273,0.690199258344129,0.755520722880823,1.1778667836181713
0.35353535353535354,0.8777295680757182,0.8298711617401019,0.6913175407735213,0.7938326278536607,1.2135687229542482
0.40404040404040403,0.8763526590628725,0.8086411703588737,0.6924447985267523,0.8272704271844471,1.2508666481990152
0.45454545454545453,0.873245919311108,0.7880193483824555,0.6935126908427631,0.8560669844404756,1.2896901455532286
0.5050505050505051,0.8686515747464373,0.768453941036819,0.6944771919728577,0.880586280794131,1.3299807545370497
0.5555555555555556,0.8627854439038348,0.7493328273313947,0.6953170484549936,0.9012664849761882,1.3716903543261092
0.6060606060606061,0.855839959678968,0.7309141287005987,0.6960261338670235,0.9185737227374012,1.4147774821296004
0.6565656565656566,0.8479873272591965,0.713526910722031,0.696604133046293,0.9329681988817179,1.4592035878149712
0.7070707070707071,0.8393821744655471,0.696432867864721,0.6970477800649149,0.9448819147436434,1.5049300541491124
0.7575757575757576,0.830163474817843,0.6801246307481673,0.6973439601699037,0.9547059623148396,1.5519163123434767
0.8080808080808081,0.820455606995055,0.6642121313893468,0.6974663280673143,0.962784990695707,1.600119388491926
0.8585858585858586,0.8103686990070936,0.6488834038757216,0.6973773558850455,0.9694165911198416,1.6494951892069845
0.9090909090909091,0.7999983481768003,0.6341694041502763,0.6970366244941527,0.9748537493920928,1.7000014087029665
0.9595959595959596,0.7894254849952367,0.6199756053768036,0.6964135917313745,0.9793089798766924,1.7516011999262702
