X,stable,iteration,iteration_name
26.95194991104948,1.0,1,exploration
24.432985383254668,1.0,1,exploration
26.891978026623246,1.0,1,exploration
26.613662087506953,1.0,1,exploration
21.575958504705316,1.0,1,exploration
23.41746734484124,1.0,1,exploration
26.317846240754626,1.0,1,exploration
25.7941383318415,1.0,1,exploration
23.842766199097014,1.0,1,exploration
27.63001924755003,1.0,1,exploration
19.319493104630244,1.0,1,exploration
22.459203501452244,1.0,1,exploration
24.150337717024275,1.0,1,exploration
25.966149034654578,1.0,1,exploration
26.712778161774217,1.0,1,exploration
27.627923582526705,1.0,1,exploration
20.918629550480496,1.0,1,exploration
24.2907647945654,1.0,1,exploration
25.790394754530823,1.0,1,exploration
24.68336630671748,1.0,1,exploration
26.87985241219654,1.0,1,exploration
25.966819628229363,1.0,1,exploration
22.624943978193365,1.0,2,exploitation
23.00305100628451,1.0,2,exploitation
23.38154306025598,1.0,2,exploitation
20.956843328374553,1.0,2,exploitation
21.360540674164028,1.0,2,exploitation
23.506049202344744,1.0,2,exploitation
24.6119095971629,1.0,2,exploitation
20.94037023300704,1.0,2,exploitation
24.85641504668813,1.0,2,exploitation
22.756414994235,1.0,2,exploitation
25.64994899614149,1.0,2,exploitation
20.525660626175007,1.0,2,exploitation
25.250019808049586,1.0,2,exploitation
19.107201739575356,1.0,2,exploitation
24.812597336977547,1.0,2,exploitation
24.853797529053114,1.0,2,exploitation
25.10991300369917,1.0,2,exploitation
23.97305242626798,1.0,2,exploitation
24.346299117132748,1.0,2,exploitation
22.58007048518282,1.0,2,exploitation
20.019429936147837,1.0,2,exploitation
21.407144217951547,1.0,2,exploitation
23.429459378490535,1.0,2,exploitation
22.30308657904921,1.0,2,exploitation
22.030482074145414,1.0,2,exploitation
22.330618253218503,1.0,2,exploitation
18.593914452849496,1.0,2,exploitation
23.79387310135176,1.0,2,exploitation
22.137565837131152,1.0,2,exploitation
21.083753424102998,1.0,2,exploitation
20.62227429084961,1.0,3,refinement
21.27434671270702,1.0,3,refinement
24.021370400608546,1.0,3,refinement
20.850517804783344,1.0,3,refinement
21.94390322246501,1.0,3,refinement
23.569160233059407,1.0,3,refinement
21.03349761381783,1.0,3,refinement
23.82221643994891,1.0,3,refinement
24.79973072275717,1.0,3,refinement
17.890411161053244,1.0,3,refinement
22.988857005946734,1.0,3,refinement
25.50337727632499,1.0,3,refinement
22.18279879150667,1.0,3,refinement
23.16357624837321,1.0,3,refinement
23.644340283920254,1.0,3,refinement
21.632533362054815,1.0,3,refinement
23.163412950384377,1.0,3,refinement
22.202283048915167,1.0,3,refinement
21.250530629746578,1.0,3,refinement
21.917152113733508,1.0,3,refinement
19.62497677577143,1.0,3,refinement
22.442197826595837,1.0,3,refinement
22.21245875076584,1.0,3,refinement
