universe_id,E,I,age_Gyr,vacuum_energy,entanglement_entropy,holographic_entropy,magnetic_field_strength,string_density,wall_probability,pbh_mass_fraction,topological_defects
156,0.766,0.2795248560697346,305391684.58036417,0.7491116039749417,0.19375186588116106,33152.27039661539,9.646747528960108e-10,0.0955904971213947,0.045590497121394694,9.911524856069735e-07,False
145,0.766,0.2981881486654582,305391684.58036417,0.7505412121877741,0.20668827452385213,33212.46097266709,9.704585072714254e-10,0.09596376297330916,0.04596376297330917,9.93018814866546e-07,False
101,0.7397080186629683,0.4121027915391916,305391684.58036417,0.7332061916713133,0.28564788805627356,33232.197682532846,9.929613131941438e-10,0.09824205583078384,0.048242055830783837,9.991518828865128e-07,False
127,0.766,0.26515655959868534,305391684.58036417,0.7480109924652594,0.18379252169280383,33105.93151846523,9.602220178196327e-10,0.09530313119197371,0.04530313119197371,9.897156559598687e-07,False
141,0.766,0.19356844218080765,305391684.58036417,0.7425273426710499,0.1341714199430076,32875.0542494229,9.380368602318323e-10,0.09387136884361616,0.04387136884361616,9.825568442180808e-07,False
139,0.7536107869816815,0.24782678547494055,305391684.58036417,0.7346067415162885,0.17178043761918946,32888.58750957264,9.491255484603646e-10,0.09495653570949882,0.04495653570949881,9.855048359438302e-07,False
42,0.72,0.48941717198647755,305391684.58036417,0.7192380363830264,0.3392381328800487,33217.630990989805,1.0067934031119027e-09,0.09978834343972956,0.04978834343972955,1.0029417171986476e-06,False
15,0.7520508828544349,0.3238725297959284,305391684.58036417,0.7388052009082459,0.22449133088886464,33112.19184683106,9.7181206181814e-10,0.09647745059591857,0.04647745059591857,9.927974295504799e-07,False
126,0.766,0.3668443531087882,305391684.58036417,0.7558002774481332,0.25427712906169353,33433.882593411225,9.917350650284136e-10,0.09733688706217576,0.047336887062175766,9.998844353108788e-07,False
65,0.72,0.32963127486865806,305391684.58036417,0.7077334517905434,0.2284829887995907,32711.624901137737,9.583782762852034e-10,0.09659262549737317,0.04659262549737317,9.869631274868656e-07,False
