universe_id,E,I,topological_defects,magnetic_field_strength,string_tension,string_density,wall_energy_density,wall_probability,pbh_mass_fraction,anomaly_seed
156,0.766,0.2795248560697346,False,9.646747528960108e-10,1.0264e-06,0.0955904971213947,1.0198e-12,0.045590497121394694,9.911524856069735e-07,42
145,0.766,0.2981881486654582,False,9.704585072714254e-10,1.0264e-06,0.09596376297330916,1.0198e-12,0.04596376297330917,9.93018814866546e-07,42
101,0.7397080186629683,0.4121027915391916,False,9.929613131941438e-10,1.0158832074651874e-06,0.09824205583078384,1.0119124055988906e-12,0.048242055830783837,9.991518828865128e-07,42
127,0.766,0.26515655959868534,False,9.602220178196327e-10,1.0264e-06,0.09530313119197371,1.0198e-12,0.04530313119197371,9.897156559598687e-07,42
141,0.766,0.19356844218080765,False,9.380368602318323e-10,1.0264e-06,0.09387136884361616,1.0198e-12,0.04387136884361616,9.825568442180808e-07,42
139,0.7536107869816815,0.24782678547494055,False,9.491255484603646e-10,1.0214443147926726e-06,0.09495653570949882,1.0160832360945045e-12,0.04495653570949881,9.855048359438302e-07,42
42,0.72,0.48941717198647755,False,1.0067934031119027e-09,1.008e-06,0.09978834343972956,1.006e-12,0.04978834343972955,1.0029417171986476e-06,42
15,0.7520508828544349,0.3238725297959284,False,9.7181206181814e-10,1.020820353141774e-06,0.09647745059591857,1.0156152648563306e-12,0.04647745059591857,9.927974295504799e-07,42
126,0.766,0.3668443531087882,False,9.917350650284136e-10,1.0264e-06,0.09733688706217576,1.0198e-12,0.047336887062175766,9.998844353108788e-07,42
65,0.72,0.32963127486865806,False,9.583782762852034e-10,1.008e-06,0.09659262549737317,1.006e-12,0.04659262549737317,9.869631274868656e-07,42
