universe_id,E,I,lock_epoch,ell,axis_lon,axis_lat,peak_value,category,alignment_angle_deg,p_value,aoe_flag
125,0.7211824775826341,0.22825908509868248,218,2,158.52272727272728,73.86549608859848,-36.517516893754326,lock_in,45.26487521786158,0.0,False
125,0.7211824775826341,0.22825908509868248,218,3,200.0390625,33.51005606625301,-23.836563729162705,lock_in,45.26487521786158,0.0,False
91,0.7407881602077175,0.26429063470014263,301,2,296.71874999999994,31.738394244764443,-16.86120305591869,lock_in,90.84472343664999,1.0,False
91,0.7407881602077175,0.26429063470014263,301,3,191.6015625,21.381942579838892,-24.747314290925843,lock_in,90.84472343664999,1.0,False
143,0.766,0.3998318197144638,301,2,243.984375,19.788049410669572,-42.292151878130035,lock_in,88.66794579956102,0.0,False
143,0.766,0.3998318197144638,301,3,353.51694915254234,45.78396716177502,-28.874932468201692,lock_in,88.66794579956102,0.0,False
101,0.7397080186629683,0.4121027915391916,-1,2,43.2421875,16.334822780685997,-27.913402460044196,stable,120.16850271199148,1.0,False
101,0.7397080186629683,0.4121027915391916,-1,3,226.81451612903226,43.406858485936986,32.98602761270382,stable,120.16850271199148,1.0,False
44,0.7505546258887684,0.22951679956149684,-1,2,356.94174757281553,51.64299443168207,-47.93640218846994,stable,123.31910965909672,1.0,False
44,0.7505546258887684,0.22951679956149684,-1,3,285.6741573033708,-57.01854862136608,13.124407049348012,stable,123.31910965909672,1.0,False
88,0.766,0.2816319794559236,-1,2,224.40789473684208,61.9438370231567,26.149095781838337,stable,91.35454573034865,0.0,False
88,0.766,0.2816319794559236,-1,3,328.7109375,5.979156796301311,24.16556482506754,stable,91.35454573034865,0.0,False
0,0.72,0.20878132927207885,-1,2,184.21874999999997,19.15501007356373,-27.635482608957375,unstable,145.61412485869968,1.0,False
0,0.72,0.20878132927207885,-1,3,338.5546875,4.181528273111482,30.05930159185028,unstable,145.61412485869968,1.0,False
2,0.766,0.21430405373971667,-1,2,271.7578125,38.68218745348943,24.500255172099447,unstable,96.10287818400239,0.0,False
2,0.766,0.21430405373971667,-1,3,13.0078125,4.181528273111482,25.2600515748136,unstable,96.10287818400239,0.0,False
3,0.766,0.1484826840116873,-1,2,225.56249999999997,60.43443884495228,15.173436562997143,unstable,55.62867400076,0.0,False
3,0.766,0.1484826840116873,-1,3,349.72826086956525,55.873350435251986,18.19538200599414,unstable,55.62867400076,0.0,False
1,0.766,0.21337255363184196,469,2,107.2265625,21.381942579838892,22.40852614452758,lock_in,91.15406037636798,1.0,False
1,0.766,0.21337255363184196,469,3,316.30434782608694,64.57355318327413,26.75503457502967,lock_in,91.15406037636798,1.0,False
162,0.7595437462076516,0.22169407055800158,374,2,14.414062499999996,5.379378991112077,-22.90370204400986,lock_in,104.47700981657322,0.0,False
162,0.7595437462076516,0.22169407055800158,374,3,125.859375,33.868704601656496,27.437258434385967,lock_in,104.47700981657322,0.0,False
161,0.7318799859152882,0.2916135361380181,459,2,304.1015625,18.209956864283,-49.26010400885194,lock_in,113.1402882977024,1.0,False
161,0.7318799859152882,0.2916135361380181,459,3,85.42968749999999,37.921650784291785,25.660837577127612,lock_in,113.1402882977024,1.0,False
166,0.7519445125243795,0.1700149685994509,356,2,315.0,-80.11972495915612,20.895096919659903,lock_in,112.17201012735221,1.0,False
166,0.7519445125243795,0.1700149685994509,356,3,139.921875,12.32998415024295,-31.81113948452512,lock_in,112.17201012735221,1.0,False
39,0.7636482577249952,0.23908680437719795,376,2,169.38679245283018,50.48004426244293,-29.929186468516324,lock_in,71.63753852713063,0.0,False
39,0.7636482577249952,0.23908680437719795,376,3,258.04687499999994,22.993394314297802,-30.744376781037175,lock_in,71.63753852713063,0.0,False
7,0.7283875139577342,0.21916118054194544,384,2,132.5390625,38.68218745348943,-52.85887327650566,lock_in,78.3217483423855,1.0,False
7,0.7283875139577342,0.21916118054194544,384,3,235.546875,33.868704601656496,18.28671538706471,lock_in,78.3217483423855,1.0,False
9,0.766,0.17773234146696587,374,2,157.8515625,40.228184728061095,-26.751770778614496,lock_in,82.40956288715417,1.0,False
9,0.766,0.17773234146696587,374,3,328.14606741573033,57.01854862136609,29.981388700877694,lock_in,82.40956288715417,1.0,False
106,0.7444644985479708,0.18840036722993486,350,2,54.729729729729726,48.5322537274423,26.441018997745786,lock_in,86.25695681883326,1.0,False
106,0.7444644985479708,0.18840036722993486,350,3,259.64285714285717,42.60980697763761,-25.76720836277652,lock_in,86.25695681883326,1.0,False
140,0.7349786237497062,0.18780812417468484,413,2,326.6015625,16.334822780685997,26.171785259338712,lock_in,71.73969240543026,1.0,False
140,0.7349786237497062,0.18780812417468484,413,3,250.31249999999997,21.06181760164931,-33.532993912910854,lock_in,71.73969240543026,1.0,False
120,0.7382351332610952,0.26861748667866947,455,2,178.24218749999997,22.669609871750396,32.14979774001857,lock_in,118.80110772997266,1.0,False
120,0.7382351332610952,0.26861748667866947,455,3,32.34375,28.971532223711293,26.695982071135163,lock_in,118.80110772997266,1.0,False
24,0.766,0.153070445726108,427,2,74.53125,25.613083216401805,36.548314016785206,lock_in,72.79102193107103,0.0,False
24,0.766,0.153070445726108,427,3,1.0546875,5.379378991112077,16.542661593341332,lock_in,72.79102193107103,0.0,False
92,0.7377448473427053,0.28807082059940814,410,2,328.00781249999994,5.979156796301311,34.55697143816926,lock_in,46.575036369516106,0.0,False
92,0.7377448473427053,0.28807082059940814,410,3,281.6015625,16.334822780685997,41.75832277834999,lock_in,46.575036369516106,0.0,False
