universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch
0,4134512214,0.72,0.20878132927207885,18.15806392689742,0,0,-1,-1
1,1476055837,0.766,0.21337255363184196,19.160705965373154,1,1,399,469
2,3079953691,0.766,0.21430405373971667,19.1774729673149,0,0,-1,-1
3,2693350145,0.766,0.1484826840116873,17.992688312210372,0,0,-1,-1
4,3426203657,0.7601394981247391,0.27848910584207975,20.21559386765222,0,0,-1,-1
5,2177458475,0.766,0.20381487113804025,18.988667680484724,1,0,488,-1
6,2194768758,0.7497888928096618,0.30198306726502144,20.43147306696362,1,0,411,-1
7,1204604554,0.7283875139577342,0.21916118054194544,18.5126515289097,1,1,35,384
8,3021871386,0.766,0.22114695188396805,19.300645133911424,1,0,276,-1
9,2808000297,0.766,0.17773234146696587,18.519182146405385,1,1,189,374
10,3340175432,0.7536138016520814,0.2145138888834117,18.93352603294304,0,0,-1,-1
11,3955072461,0.7538611376569189,0.2584800011399667,19.72986277365778,1,0,198,-1
12,3544107684,0.7294258724386422,0.4273762226304117,22.281289456120255,0,0,-1,-1
13,2026394384,0.72,0.4366445198135706,22.259601356644268,0,0,-1,-1
14,4045431807,0.766,0.2894763927321133,20.53057506917804,0,0,-1,-1
15,4229830124,0.7520508828544349,0.3238725297959284,20.870723193415408,0,0,-1,-1
16,2422458581,0.766,0.1444396674269552,17.919914013685194,0,0,-1,-1
17,1473429593,0.749295519516222,0.202559592286782,18.631983051486515,1,0,35,-1
18,2691784528,0.766,0.3302001719085248,21.26360309435345,0,0,-1,-1
19,3243036089,0.766,0.3945600844823871,22.42208152068297,0,0,-1,-1
20,2465768478,0.7533963207448551,0.3489227445586264,21.348535816952374,0,0,-1,-1
21,2845460301,0.72,0.32707850940955907,20.287413169372066,1,0,103,-1
22,2933814548,0.72,0.1880109600919852,17.784197281655732,0,0,-1,-1
23,247712227,0.72,0.3231623615763015,20.21692250837343,0,0,-1,-1
24,2503008461,0.766,0.153070445726108,18.075268023069945,1,1,80,427
25,2784440385,0.766,0.2541479310256248,19.894662758461244,1,0,41,-1
26,2379161304,0.766,0.2205104736186265,19.289188525135277,0,0,-1,-1
27,2512951142,0.72,0.3367843434704245,20.46211818246764,0,0,-1,-1
28,2204239750,0.72,0.3081573173912336,19.946831713042204,1,0,202,-1
29,1785399998,0.72,0.2030511342740601,18.05492041693308,0,0,-1,-1
30,2591430811,0.744362931594988,0.30592623798592194,20.393930915646354,1,0,376,-1
31,4132520718,0.7569541852103266,0.29856147256278553,20.51319021033667,1,0,138,-1
32,1840174154,0.72,0.5296750137324888,23.934150247184796,0,0,-1,-1
33,2392007542,0.7361587751636268,0.31608931022427783,20.41278308730954,1,0,404,-1
34,237986203,0.7636607812543568,0.1312537339889171,17.635782836887643,1,0,44,-1
35,759019906,0.7466358061460215,0.39418231140878923,22.027997728278635,1,0,350,-1
36,2674954778,0.746369728971211,0.32514510311837364,20.780006435554945,1,0,279,-1
37,2070846832,0.7474950243408325,0.287015573200994,20.116180804434542,0,0,-1,-1
38,167135897,0.765598889271579,0.3330726936582331,21.307286271279775,0,0,-1,-1
39,3735109798,0.7636482577249952,0.23908680437719795,19.576527633289466,1,1,297,376
40,957562758,0.766,0.22578045458825613,19.38404818258861,0,0,-1,-1
41,172505096,0.72,0.194393450055573,17.899082101000314,0,0,-1,-1
42,4085558260,0.72,0.48941717198647755,23.209509095756594,0,0,-1,-1
43,602158220,0.766,0.3099428716016917,20.89897168883045,1,0,84,-1
44,794116234,0.7505546258887684,0.22951679956149684,19.142394909882313,1,0,12,-1
45,47886323,0.72,0.23700139252592295,18.666025065466613,0,0,-1,-1
46,3468129618,0.72,0.4059993168001918,21.707987702403454,0,0,-1,-1
