E,kl_divergence,shannon,renyi,mutual_info,composite,kl_shannon,entanglement,fisher,fisher_kl_fusion,jensen_shannon
0.72,0.6543221192236592,0.7777787232418338,0.6049397423276972,0.6851862702282029,0.5089178224786687,0.7107290316267393,0.6427468240784583,0.2380762330635313,0.4461991761435953,0.1943042835061154
0.720938775510204,0.19248718659949696,0.8637759583783621,0.7461089062724579,0.3603093795442132,0.1662658040805351,0.3148189063891277,0.710987453557686,0.5714035835918585,0.3819453850956777,0.1415487031647205
0.7218775510204082,0.5750022022270308,0.9150490540589375,0.8373147713341564,0.6600139151850074,0.5261552212296504,0.706224324847885,0.6904941323569085,0.24689084893930502,0.4109465255831679,0.04653040963791903
0.7228163265306122,0.6659832559857736,0.6734951803991157,0.4535957580208374,0.667861237089109,0.448536513132929,0.6697181543937082,0.7604322539508201,0.12201360636831463,0.3939984311770441,0.3125857790424431
0.7237551020408163,0.7068984033478999,0.9135500131325358,0.8345736264944563,0.7585613057940588,0.6457870456618425,0.7970473346686002,0.6865075986028794,0.35881689516636334,0.5328576492571316,0.44170950437968715
0.7246938775510204,0.2847648948912148,0.7950677296396255,0.6321326947143086,0.4123406035783175,0.22640737846222475,0.4193379109296554,0.8340631315195589,0.39393948339707224,0.33935218914414356,0.14376888869014615
0.7256326530612245,0.7042321739155196,0.7675733291629458,0.5891688156422881,0.7200674627273761,0.5405498342359941,0.7345397650781527,0.8231585147532416,0.282536354198726,0.4933842640571228,0.2051033997431697
0.7265714285714285,0.463477810335424,0.6519226201545789,0.4250031026692114,0.5105890127902127,0.3021516684973766,0.5417815167323171,0.8130049671782498,0.4254822658171572,0.4444800380762906,0.2814822874615832
0.7275102040816326,0.3910491538350104,0.8579733597184729,0.7361182859866041,0.5077802053058761,0.3355097563308898,0.5372357226393953,0.5513165282357829,0.2982857291528489,0.34466744149392964,0.3634604106005968
0.7284489795918367,0.40836071057952794,0.8609956077530602,0.7413134365700614,0.521519434872911,0.35159677818789214,0.5539764888865022,0.7405552123271281,0.3624343861556231,0.38539754836757556,0.45754482399678054
0.7293877551020408,0.20468064248942414,0.8677857056644436,0.7530520309555363,0.37045690828317895,0.17761893577853663,0.33123451581355073,0.5697329432774142,0.2470550114629324,0.22586782697617827,0.37409237908904713
0.7303265306122448,0.24318155168150024,0.8142698171843141,0.6630353351773763,0.38595361805720363,0.19801539763029305,0.3745144286733063,0.7036663540252125,0.22111677192483634,0.2321491618031683,0.20101170384455283
0.731265306122449,0.6738124683371762,0.826224224032722,0.6826464683784736,0.7119154072610627,0.5567201837954565,0.7422754211643955,0.6286731527511322,0.3611988073021819,0.5175056378196791,0.10947024538558522
0.732204081632653,0.37729449887753774,0.7359263072278002,0.5415875296699465,0.46695245096510335,0.27766094729630975,0.49884254008460605,0.6848783074325545,0.4062358103638239,0.39176515462068084,0.23804561597200868
0.7331428571428571,0.6793169561842494,0.7519899814309045,0.565488932172452,0.6974852124959131,0.5108395452666922,0.7138085226050171,0.6842376621992732,0.4456238054411129,0.5624703808126812,0.34259750454599536
0.7340816326530613,0.3794579948085845,0.7339866825944538,0.5387364502260115,0.4680901667550518,0.2785171147934964,0.5002801134998472,0.9037016582089576,0.21964801592016137,0.2995530053643729,0.18770586347516505
0.7350204081632653,0.3772348669203743,0.8861499706238088,0.7852617704365773,0.504463642846233,0.3342866662397661,0.5291921452683659,0.6739735628990092,0.14088081532629063,0.25905784112333247,0.21887488588873813
0.7359591836734694,0.22093342047113898,0.8308001337880068,0.69022886230217,0.3734000988003559,0.1835515152856642,0.3490456580801212,0.5616118252876653,0.240940285992597,0.230936853231868,0.2212203785960349
0.7368979591836735,0.14220902998820242,0.7131420150561901,0.5085715336384034,0.2849422762551993,0.10141523420497285,0.23713125690916628,0.5880641971820807,0.3632343456149772,0.2527216878015898,0.18370210035200663
0.7378367346938776,0.31844865259654753,0.847313656054533,0.7179404317364995,0.45066490346104393,0.2698258920972205,0.4629175091609193,0.710310444659771,0.2698143650441695,0.29413150882035854,0.3113510045230336
0.7387755102040816,0.589245937876775,0.8651977167332483,0.7485670890404261,0.6582338825908934,0.5098142400453273,0.7010436443232619,0.7010371128674898,0.1601839620334598,0.37471494995511745,0.3718515459128681
0.7397142857142857,0.733372212896017,0.8592402927918906,0.7382938807570939,0.7648392328699853,0.6301429549342104,0.7913324210172877,0.6311457610399349,0.40710716197974556,0.5702396874378812,0.3747511824279082
0.7406530612244898,0.607737491464943,0.720046810275887,0.5184674089884792,0.635814821167679,0.43759944221440134,0.6591423646757594,0.7674479123862915,0.13476402311082414,0.3712507572878836,0.38102279814044393
0.7415918367346939,0.1783140888688987,0.6680499001559498,0.44629066909837445,0.30074804169066144,0.11912270926526694,0.2814928584154816,0.6421672645955372,0.1072881952910093,0.142801142079954,0.22317508077643708
