universe_id,rank,z_value,sigma_arcmin,lon_deg,lat_deg,E,I,lock_epoch,variant
835,1,-82.88506941391324,30.0,148.974609375,7.3311681135954245,21.905481136438315,0.5222664677546158,310,E+I
835,1,-83.71102820399139,30.0,227.8421052631579,63.72984109987911,21.905481136438315,0.5222664677546158,310,E+I
2639,1,-77.49300090799049,30.0,51.10778443113772,-42.908984022046866,30.25220017628966,0.45455473492332243,306,E+I
2639,1,-90.65851141813398,30.0,149.74137931034483,52.222925344930744,30.25220017628966,0.45455473492332243,306,E+I
5520,1,-78.5138369098129,30.0,40.341796875,16.80183759342819,25.75009789357807,0.5138581293842714,305,E+I
5520,1,-81.01856463265636,30.0,0.087890625,37.7327475896029,25.75009789357807,0.5138581293842714,305,E+I
