time_step,region_1_entropy,region_2_entropy,region_3_entropy,region_4_entropy,region_5_entropy,region_6_entropy,region_7_entropy,region_8_entropy,global_entropy,lock_epoch
0,2.5526945447645515,2.542652042204858,2.5246859038753833,2.5898410109336205,2.529526278299585,2.5941691935290585,2.5442609422288025,2.579535980404235,5.601613923273728,-1
1,3.1859473225791484,3.168060135759095,3.144756818261396,3.235183791794213,3.1500948612906567,3.23840186604554,3.1658006305521904,3.230416114280516,5.596513971698205,-1
2,3.8232791647696205,3.7942194104360336,3.761932810408717,3.8794214981943957,3.77317810772204,3.8821916144893596,3.7945602770755724,3.882625059375614,5.612227555779923,-1
3,4.460019786645565,4.418745898570243,4.3829975764001805,4.5162613154986335,4.403214126707169,4.523999206399505,4.419577783691485,4.528699092099736,5.616880968478575,-1
4,5.0865692704683845,5.039066919751663,5.005585623605529,5.155078171259259,5.037881435961902,5.163094246252868,5.041275614020089,5.179831065572781,5.621630405127938,-1
5,5.080922190352737,5.007164073563139,4.989664180960002,5.147576709827641,5.029950457406945,5.154690602626049,5.0288848761446845,5.193107636424254,5.605684549383617,-1
6,5.069595150498347,4.977835702739002,4.974310176431046,5.125417719730996,5.042875256391814,5.14407393250151,5.030835925723975,5.205538589587056,5.607896397856088,-1
7,5.05820090699756,4.944026288301497,4.961422496799303,5.106682645110428,5.057767823631132,5.146175106028114,5.025922508057452,5.2231517401463625,5.612859270903176,-1
8,5.044387658638636,4.923758319559997,4.944756222627312,5.082059892273852,5.088961503325878,5.1476675521233,5.021579260150839,5.238527112118109,5.626251492200058,-1
9,5.0364090882051205,4.908405203523349,4.940862694786167,5.067239662633413,5.124837934223615,5.1459914129423865,5.035931808756189,5.253160709622366,5.626901177796539,-1
10,5.021145837281437,4.889743120437828,4.94327693866532,5.049879376964298,5.165454119544096,5.137626332235205,5.03919841518854,5.26833421958824,5.629383976163423,-1
11,5.013850833226648,4.876452776554373,4.939777248336657,5.041452624060276,5.198077412572995,5.135002873967499,5.052927918696267,5.2902761837477685,5.639726840430648,-1
12,5.014839437663835,4.865929191945516,4.94415222664999,5.027440665529454,5.228557097597283,5.133091522046405,5.075842365799596,5.303055477635079,5.632705838265135,-1
13,5.018605528863497,4.863251081643557,4.953748327476891,5.0262436844582545,5.270997257210414,5.130340676492141,5.1067408994465735,5.3053741346296155,5.634631480962021,-1
14,5.013314325556038,4.868686192851578,4.962612096249334,5.034463390196725,5.299335191819531,5.12578158097384,5.1240834888377425,5.309869504439534,5.635964882204657,-1
15,5.008636939366351,4.873889108953663,4.967314065888795,5.040631055815576,5.31309934364754,5.115999313071693,5.1472049114537,5.3129832326749735,5.650899015239056,-1
16,5.012328596725827,4.873430350363208,4.983202273963964,5.048018632181931,5.311381105991637,5.114731113340796,5.175754328456202,5.3128343950883945,5.652027865682229,-1
17,5.0138543483416464,4.878674589243095,4.998341947988612,5.050238849102412,5.307663985080027,5.110802482390702,5.197850015580354,5.306546642248613,5.64235159367051,-1
18,5.014826585245906,4.896083381500356,5.0169709635198885,5.0574527804387275,5.28799354397307,5.118328072578764,5.220190481705869,5.305734114483242,5.649545185462331,-1
19,5.011903326743539,4.918273302110884,5.038934121056239,5.065984389418785,5.275686087432561,5.123448319391428,5.245837864827188,5.3036353065677115,5.647695165592712,-1
20,5.0057188198897435,4.937449809082462,5.055951372126314,5.07563061000095,5.261032482376496,5.127058935614616,5.260634069596416,5.296139019424782,5.650592982771722,-1
21,5.002713587006032,4.960159685359762,5.079901298447653,5.06857462296589,5.233775982008297,5.128805450706533,5.265116982802961,5.296797797941042,5.6514538282506415,-1
22,5.005855393346703,4.979275927262986,5.104065092983097,5.051465889730338,5.215987763962548,5.122548009022466,5.274479322144253,5.2900628871858135,5.6567950840784045,-1
23,5.004136130269631,5.000564182993171,5.1242122390700935,5.031677093015439,5.207027498177132,5.117766082434683,5.275069830486273,5.28027178797799,5.662506688403518,-1
24,4.993052389325662,5.03361959899027,5.14235287335885,5.0211083978015205,5.203803847980113,5.103217414602626,5.274277373790957,5.273802841453221,5.657255922543153,-1
25,4.991481078249903,5.059095345229789,5.149532884214529,5.005761787413052,5.2007396916726805,5.096703727606562,5.281239351609438,5.275123588451279,5.666301533186168,-1
26,4.992776619719255,5.074121952131975,5.148622634809808,5.001130267587903,5.207822631543218,5.08776588672431,5.290810305625627,5.270860601180274,5.665259697593688,-1
27,4.985152073248381,5.084053833758189,5.147938706316246,4.990598496970456,5.20462331457354,5.069443987796249,5.291972140679446,5.264338540721931,5.663638430834821,-1
28,4.9870103693590195,5.092193019266232,5.151410387813281,4.981894815701811,5.204134101669511,5.054513532339651,5.29169233024915,5.272099957967138,5.664516978745985,-1
29,4.980237585367799,5.098302085943831,5.141705549257265,4.9883834781560035,5.205218777744923,5.047925354203583,5.288277920268996,5.2782925203526165,5.670924207703259,-1
30,4.9685399639989765,5.098796705315504,5.135298275969621,5.003221751983642,5.192819817707396,5.037595924070972,5.278152195741185,5.2879989868985575,5.668697041279983,-1
31,4.96384175506715,5.099294614363531,5.127237820730859,5.016430933570443,5.195294012010645,5.031491407361076,5.269396715976824,5.296389850895523,5.674313439346196,-1
32,4.954055323062707,5.090027313008344,5.120131662147328,5.0298694370187995,5.198266727632724,5.027542890001184,5.260191894978214,5.302412093550421,5.685106309436583,-1
33,4.941528019800918,5.082898836058094,5.1175012149860954,5.049203503829686,5.205894592442822,5.019078270729415,5.243118220611139,5.304950242684982,5.671978869621369,-1
34,4.9288560388695135,5.0787684154649595,5.116289896921027,5.056968751694947,5.214643537110214,5.007814158915851,5.236468272053439,5.308089156317442,5.678862175796367,-1
35,4.926737728075145,5.075000711915286,5.116360374169266,5.0728484804679965,5.226338548926187,5.011576086354373,5.224179022753422,5.312648843447878,5.680571425402454,-1
36,4.919675505022783,5.075331800536266,5.099196758805314,5.086830025766606,5.230325466280101,5.013767412458595,5.228663507670037,5.305714476342565,5.68612154465571,-1
37,4.9150412618722905,5.067460385047138,5.083161381574943,5.098147871690821,5.23701426743213,5.0104371545814015,5.23131301977199,5.297999250588067,5.691948438913354,-1
38,4.930640935550279,5.058264954473245,5.060146044798468,5.106315198563108,5.256033561008262,5.011515514689344,5.23876945519451,5.287813788106074,5.695922276761304,-1
39,4.949322239882868,5.050436003456598,5.03685058787554,5.11792631761265,5.261508801111494,5.009101268244883,5.247513648850882,5.288273827857113,5.682686260880919,-1
40,4.971693637287099,5.0440167891098655,5.005680618589852,5.122211606234458,5.270747089615442,4.999783385919267,5.259305795690359,5.285029371776746,5.696557053695135,-1
41,4.988624514477506,5.03943232949703,4.9859250637171595,5.12129792959722,5.287246328944797,4.989033250948089,5.271295260217953,5.288641648029339,5.703220948225094,-1
42,5.008023215543139,5.02975653921903,4.969150521754428,5.1257420041364625,5.2931928329419,4.971843314867769,5.2740434239843355,5.288193180551368,5.70487240923251,-1
43,5.025680690766395,5.013121787900954,4.944639946170256,5.118135028345062,5.292840537877362,4.950746770691183,5.281199797733821,5.287533482029883,5.695125129611408,-1
44,5.045171303501714,4.996449344665821,4.930739109130267,5.1191684397276,5.306439748921193,4.936790552587989,5.2727973126185415,5.295662060089031,5.702896677182145,-1
45,5.059149033394795,4.9884778036492,4.921414397442076,5.116605072199773,5.315278930703933,4.926233075162199,5.26170167927038,5.3003548045238364,5.718477965052632,-1
