X,stable,iteration,iteration_name
21.35486239982994,1.0,1,exploration
17.972430857211677,1.0,1,exploration
21.70409637568799,1.0,1,exploration
23.239664824069408,1.0,1,exploration
22.764031279458948,1.0,1,exploration
16.99528705555508,1.0,1,exploration
18.107765761403805,1.0,1,exploration
21.767322562973128,1.0,1,exploration
22.373019660875435,1.0,1,exploration
20.165594888751368,1.0,1,exploration
22.236424846927104,1.0,1,exploration
19.25436867698052,1.0,1,exploration
19.093395961170067,1.0,1,exploration
19.59950693894721,1.0,1,exploration
18.81777665710189,1.0,1,exploration
22.675124421186506,1.0,1,exploration
18.02391994219437,1.0,1,exploration
20.770688713431472,1.0,1,exploration
19.498888791602347,1.0,1,exploration
20.084453567269257,1.0,1,exploration
17.04771513499294,1.0,1,exploration
17.846832693153495,1.0,1,exploration
22.072067994082065,1.0,2,exploitation
19.118253312348106,1.0,2,exploitation
22.107450472236955,1.0,2,exploitation
17.8304276791696,1.0,2,exploitation
23.618748308501736,1.0,2,exploitation
19.817638733359487,1.0,2,exploitation
17.767954284202826,1.0,2,exploitation
18.61069561458932,1.0,2,exploitation
17.607527938854236,1.0,2,exploitation
22.731374227182535,1.0,2,exploitation
22.89839355226829,1.0,2,exploitation
17.808145728296722,1.0,2,exploitation
20.82737147106554,1.0,2,exploitation
18.667410456788932,1.0,2,exploitation
21.885725833049136,1.0,2,exploitation
17.34265332093384,1.0,2,exploitation
21.48688724686486,1.0,2,exploitation
24.139348187285528,1.0,2,exploitation
20.52379345979506,1.0,2,exploitation
18.825315242918208,1.0,2,exploitation
17.0103379794594,1.0,2,exploitation
17.407268391718205,1.0,2,exploitation
22.801275103777115,1.0,2,exploitation
21.818743394473834,1.0,2,exploitation
18.058680682658512,1.0,2,exploitation
21.85214373397157,1.0,2,exploitation
17.885146101195343,1.0,2,exploitation
18.426233823070383,1.0,2,exploitation
21.386071977495476,1.0,2,exploitation
22.638664820959768,1.0,2,exploitation
17.550261934092592,1.0,3,refinement
18.856041766884516,1.0,3,refinement
18.16486239585625,1.0,3,refinement
18.98754330665622,1.0,3,refinement
18.241682119094445,1.0,3,refinement
18.448079167381973,1.0,3,refinement
18.628093084244142,1.0,3,refinement
17.69304469599775,1.0,3,refinement
19.745383566804257,1.0,3,refinement
19.018569585062217,1.0,3,refinement
19.017649745564793,1.0,3,refinement
17.034380910140076,1.0,3,refinement
17.552260751203058,1.0,3,refinement
19.601787108688093,1.0,3,refinement
18.285812924028857,1.0,3,refinement
17.20154946068757,1.0,3,refinement
16.07517316095006,1.0,3,refinement
17.844093762782364,1.0,3,refinement
19.97366100378859,1.0,3,refinement
18.002922269293826,1.0,3,refinement
18.348277727620662,1.0,3,refinement
18.061907377089707,1.0,3,refinement
16.890449873724307,1.0,3,refinement
