feature,importance_classification,importance_regression
abs_E_minus_I,0.16990594023023195,0.20567749674371957
logX,0.14953460977770625,0.16169842386017388
E_plus_I,0.1534968735970085,0.16118667367092054
X,0.14669330565429553,0.15523180350439972
I,0.16218607825114495,0.1538037419389297
E_times_I,0.14888792268422268,0.13182541650560842
E,0.06929526980539015,0.030576443776248168
