universe_id,seed,complexity_score,life_score,lockin_score,goldilocks_score,stability_score,stable,lock_epoch,X,I
85,2529967444,86.65158365261071,94.37737547891606,71.2,88.75475095783212,100.0,1,144,16.573388708192507,0.06963270601069486
56,1285571515,83.8737057852499,98.91055867787483,53.800000000000004,97.82111735574966,100.0,1,231,16.874827902640654,0.08637932792448069
83,4029455720,78.76764961376142,90.05147442064214,56.2,80.10294884128426,100.0,1,219,16.37911228708323,0.10995068261573523
37,1871150160,77.88640470251754,97.2296070537763,39.2,94.45921410755263,100.0,1,304,16.950319519575135,0.14168441775417412
104,3211836390,76.45014418945719,81.2752162841858,66.8,62.55043256837159,100.0,1,166,17.666831963558693,0.15445456008979905
123,1573415683,75.24900941408659,92.97351412112988,39.800000000000004,85.94702824225976,100.0,1,301,17.141460854461087,0.11911721969068084
174,3368505863,74.45500074784074,93.28250112176113,36.8,86.56500224352224,100.0,1,316,17.127584233650005,0.10042134631388923
129,3286888741,72.84742763396382,72.67114145094573,73.2,45.34228290189145,100.0,1,134,18.053241371226754,0.20295785395704205
17,3428119705,72.27329992486953,76.10994988730428,64.60000000000001,52.21989977460857,100.0,1,177,17.898804321720426,0.14326690676224596
43,2343651925,71.92986346266832,70.19479519400248,75.4,40.38959038800496,100.0,1,123,18.164454198738405,0.15802523326324464
