universe_id,E,I,X
0,0.7438881393052419,0.12866033885845116,17.193648885556957
1,0.766,0.18636508625470605,18.67457155258471
2,0.7266178173897978,0.17248525788066624,17.637090989647948
3,0.7441148509761611,0.2102609638851379,18.666994369455704
4,0.766,0.22283861929423748,19.331095147296274
5,0.766,0.17639730655508978,18.495151517991616
6,0.7346374841016422,0.15546914131103295,17.491194225631435
7,0.766,0.21717805751302918,19.22920503523453
8,0.7641863708423287,0.19779438398005642,18.844026328487587
9,0.766,0.18357062607848812,18.624271269412787
10,0.766,0.15305769113989431,18.0750384405181
11,0.766,0.1785595995672786,18.534072792211017
12,0.766,0.15913096351669168,18.18435734330045
13,0.766,0.10477354813985928,17.205923866517466
14,0.7608523862422111,0.20200168065356,18.8530779766083
15,0.7518109437172068,0.236520534575426,19.293588496701805
16,0.766,0.13145452021340223,17.68618136384124
17,0.766,0.14326690676224596,17.898804321720426
18,0.766,0.20090111292237328,18.93622003260272
19,0.72,0.15157335749357542,17.12832043488436
20,0.7299879339159677,0.28226667070016265,19.68055875092228
21,0.766,0.17600541237066003,18.48809742267188
22,0.766,0.16595406662745898,18.30717319929426
23,0.766,0.21397302305043214,19.171514414907776
24,0.766,0.1549571432571879,18.10922857862938
25,0.766,0.140598654564839,17.850775782167105
26,0.7488755264195237,0.1465360374288483,17.615159202109744
27,0.766,0.21316858046797577,19.157034448423566
28,0.72,0.15125216466780975,17.122538964020574
29,0.7256201310756918,0.16352824184595258,17.45591097474098
30,0.72,0.1460878162701324,17.029580692862382
31,0.766,0.1877924505715957,18.70026411028872
32,0.7332214206275559,0.17031945793344805,17.730178655353185
33,0.766,0.16141079715035875,18.22539434870646
34,0.72,0.21044837490332016,18.18807074825976
35,0.766,0.1031423595712665,17.176562472282797
36,0.766,0.0957964959740965,17.044336927533735
37,0.72,0.14168441775417412,16.950319519575135
38,0.766,0.1982971538401701,18.88934876912306
39,0.7370499435817938,0.10514861208499592,16.633673889165802
40,0.739702923576784,0.17256269449867404,17.900186972511815
41,0.7586215886522064,0.09953248854219923,16.964016566803714
42,0.7237394333907236,0.20767330242028964,18.212908111379683
43,0.766,0.15802523326324464,18.164454198738405
44,0.7445371970295062,0.25734938815210245,19.523032927327968
45,0.72,0.2654269641758332,19.177685355164996
46,0.72,0.10425623400588627,16.276612212105952
47,0.766,0.16656589790014367,18.318186162202586
48,0.72,0.21666085624587417,18.299895412425734
49,0.766,0.16478610162192178,18.286149829194592
50,0.766,0.12632799179169843,17.593903852250573
51,0.766,0.16379271652182348,18.268268897392822
52,0.766,0.1941791436928498,18.8152245864713
53,0.7469383465426542,0.14408155259840869,17.53223487762444
54,0.766,0.13559341784773124,17.760681521259162
55,0.7403912938447387,0.1477827293960692,17.46791500602402
56,0.766,0.08637932792448069,16.874827902640654
57,0.766,0.20057020802106015,18.930263744379083
58,0.766,0.1524167390914008,18.063501303645214
59,0.7427299658441398,0.17762589344161633,18.051865398831886
60,0.766,0.14615165516513784,17.95072979297248
61,0.7350594621107318,0.25179397994639013,19.23348088124966
62,0.766,0.12600084358999147,17.58801518461985
63,0.72,0.08594253213040966,15.946965578347374
64,0.72,0.2528028395818772,18.95045111247379
65,0.766,0.22632828774456076,19.393909179402094
66,0.766,0.1737394575213426,18.447310235384165
67,0.72,0.10931715776601382,16.36770883978825
68,0.766,0.1684990588319261,18.35298305897467
69,0.766,0.1571799441539704,18.14923899477147
70,0.766,0.2164215726943597,19.215588308498475
71,0.7430091587337901,0.16582047557604526,17.844951735044617
72,0.766,0.25592526382989056,19.92665474893803
73,0.7639830011744422,0.13558404025363943,17.720172748054352
74,0.72,0.10054455319187347,16.20980195745372
75,0.766,0.24361458359097404,19.705062504637535
76,0.7247493808580029,0.25469074179401735,19.07942096945237
77,0.766,0.17419872294883032,18.455577013078944
78,0.7486679655681098,0.14882775581727395,17.652258916073126
79,0.72,0.17331926498622263,17.519746769752008
80,0.766,0.2913904093212499,20.5650273677825
81,0.7368784484351191,0.20293220690801486,18.39034869304665
82,0.72,0.12047007638081264,16.568461374854625
83,0.72,0.10995068261573523,16.37911228708323
84,0.766,0.21600549128500263,19.20809884313005
85,0.766,0.06963270601069486,16.573388708192507
86,0.7265304409975147,0.20394869578041666,18.201685343997795
87,0.766,0.11726804792774509,17.430824862699414
88,0.766,0.16569147614802415,18.302446570664436
89,0.7302667142350755,0.12027720492408986,16.770323973335127
90,0.766,0.1605093233711795,18.20916782068123
91,0.766,0.19467287730940103,18.82411179156922
92,0.7519528868628274,0.21846001007635202,18.971337918630883
93,0.766,0.1530140949276467,18.07425370869764
94,0.7289369657606266,0.19035245982177257,18.00508359200444
95,0.766,0.15708363256087726,18.147505386095794
96,0.72,0.2604433253165167,19.087979855697302
97,0.72,0.1448000152197697,17.006400273955855
98,0.7478422072489284,0.18949104852355128,18.367683018402488
99,0.72,0.16311305795190897,17.336035043134363
100,0.7535159521060263,0.11797797519550682,17.19392259563965
101,0.766,0.1564102007435491,18.135383613383883
102,0.7374342544386584,0.22474063268678782,18.79401647713535
103,0.7403277005651782,0.1821267971588441,18.084836360162758
104,0.7443324940971155,0.15445456008979905,17.666831963558693
105,0.766,0.13619255388057233,17.7714659698503
106,0.7361735349543485,0.17460720601988122,17.866400407444832
107,0.7346220276134199,0.20306229320305552,18.347561829923396
108,0.7527266634861041,0.25094292858013506,19.571505984164514
109,0.766,0.17305795396004467,18.435043171280803
110,0.766,0.2481844023156583,19.78731924168185
