universe_id,E,I,age_Gyr,redshift,scale_factor,hubble_parameter,matter_density,dark_energy_density,total_density,epoch
156,0.7309420539534677,0.2097606449909511,305391684.58036417,0.0,1.0,67.36,0.3153,0.7309420539534677,1.0462420539534678,transition_era
156,0.7309420539534677,0.2097606449909511,305391684.58036417,1.0,0.5,117.99299205719772,2.5224,0.7309420539534677,3.253342053953468,transition_era
156,0.7309420539534677,0.2097606449909511,305391684.58036417,3.0,0.25,302.52267063757324,20.1792,0.7309420539534677,20.910142053953468,matter_dominated
156,0.7309420539534677,0.2097606449909511,305391684.58036417,10.0,0.09090909090909091,1371.896752386417,419.6643,0.7309420539534677,420.3952420539535,matter_dominated
156,0.7309420539534677,0.2097606449909511,305391684.58036417,1100.0,0.0009082652134423251,1381707.5011000712,420809879.80530006,0.7309420539534677,420809880.5362421,matter_dominated
145,0.72,0.23141863060101217,305391684.58036417,0.0,1.0,67.35999999999999,0.3153,0.72,1.0352999999999999,transition_era
145,0.72,0.23141863060101217,305391684.58036417,1.0,0.5,118.62247090463089,2.5224,0.72,3.2424,transition_era
145,0.72,0.23141863060101217,305391684.58036417,3.0,0.25,303.7510302768371,20.1792,0.72,20.8992,matter_dominated
145,0.72,0.23141863060101217,305391684.58036417,10.0,0.09090909090909091,1374.0664017305714,419.6643,0.72,420.38430000000005,matter_dominated
145,0.72,0.23141863060101217,305391684.58036417,1100.0,0.0009082652134423251,1381729.2795895697,420809879.80530006,0.72,420809880.5253001,matter_dominated
101,0.766,0.1564102007435491,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
101,0.766,0.1564102007435491,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
101,0.766,0.1564102007435491,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
101,0.766,0.1564102007435491,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
101,0.766,0.1564102007435491,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
127,0.766,0.1692738157159167,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
127,0.766,0.1692738157159167,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
127,0.766,0.1692738157159167,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
127,0.766,0.1692738157159167,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
127,0.766,0.1692738157159167,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
141,0.72,0.17631781837051436,305391684.58036417,0.0,1.0,67.35999999999999,0.3153,0.72,1.0352999999999999,transition_era
141,0.72,0.17631781837051436,305391684.58036417,1.0,0.5,118.62247090463089,2.5224,0.72,3.2424,transition_era
141,0.72,0.17631781837051436,305391684.58036417,3.0,0.25,303.7510302768371,20.1792,0.72,20.8992,matter_dominated
141,0.72,0.17631781837051436,305391684.58036417,10.0,0.09090909090909091,1374.0664017305714,419.6643,0.72,420.38430000000005,matter_dominated
141,0.72,0.17631781837051436,305391684.58036417,1100.0,0.0009082652134423251,1381729.2795895697,420809879.80530006,0.72,420809880.5253001,matter_dominated
139,0.766,0.14296915357038859,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
139,0.766,0.14296915357038859,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
139,0.766,0.14296915357038859,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
139,0.766,0.14296915357038859,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
139,0.766,0.14296915357038859,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
42,0.7237394333907236,0.20767330242028964,305391684.58036417,0.0,1.0,67.36,0.3153,0.7237394333907236,1.0390394333907236,transition_era
42,0.7237394333907236,0.20767330242028964,305391684.58036417,1.0,0.5,118.40772368961038,2.5224,0.7237394333907236,3.2461394333907236,transition_era
42,0.7237394333907236,0.20767330242028964,305391684.58036417,3.0,0.25,303.33179939369296,20.1792,0.7237394333907236,20.902939433390724,matter_dominated
