group_name,universe_count,lockin_count,lockin_rate,ci_lower,ci_upper
Finely-Tuned,50,14,0.28,0.17474014357680362,0.4166538714598967
Coarsely-Tuned,125,37,0.296,0.22302390784930146,0.38114120652369604
