ell,C_ell_north,C_ell_south,MSE,n_maps
2,151.12707665271088,159.18092205197655,1.5568582336551924,57
3,111.87645540030441,125.70981870052445,1.5568582336551924,57
4,62.26407292596416,66.98551025034021,1.5568582336551924,57
5,44.39790945474395,40.95197847194154,1.5568582336551924,57
6,32.597000630108944,28.47849946680548,1.5568582336551924,57
7,23.538529236260754,22.58400382857563,1.5568582336551924,57
8,17.02885597520787,17.50982176379738,1.5568582336551924,57
9,13.997462510332182,13.482630867335562,1.5568582336551924,57
10,10.625299199882,10.690212201322632,1.5568582336551924,57
11,9.039549397786836,9.31875427451046,1.5568582336551924,57
12,7.109235095417803,7.864117359634406,1.5568582336551924,57
13,6.6656072926958245,6.960344814156393,1.5568582336551924,57
14,5.682304812461318,5.462895429348441,1.5568582336551924,57
15,4.983718395988049,4.751278936732755,1.5568582336551924,57
16,4.327123041779431,4.247850162476338,1.5568582336551924,57
17,3.7551582667030714,4.012538055043183,1.5568582336551924,57
18,3.301086786695636,3.43876227523888,1.5568582336551924,57
19,2.983536053861319,3.1927953380460043,1.5568582336551924,57
20,2.662404030761978,2.8672425144322298,1.5568582336551924,57
21,2.48142466281526,2.422667522473308,1.5568582336551924,57
22,2.1524294824133334,2.1776909466803405,1.5568582336551924,57
23,2.0285533227803327,2.0375379666884332,1.5568582336551924,57
24,1.814733257515173,1.8723394613200943,1.5568582336551924,57
25,1.690624285134136,1.7358261133288029,1.5568582336551924,57
26,1.591481542340706,1.5627716593342442,1.5568582336551924,57
27,1.486350248754157,1.488644108212376,1.5568582336551924,57
28,1.333923954730804,1.4148264978953435,1.5568582336551924,57
29,1.2754105446902855,1.2810419835508708,1.5568582336551924,57
30,1.157889205952399,1.1989687314803976,1.5568582336551924,57
31,1.0633095038071072,1.1428425219819611,1.5568582336551924,57
32,0.9974963278596211,1.0323245433301351,1.5568582336551924,57
33,0.9366605486476915,0.9657684859146779,1.5568582336551924,57
34,0.9166046127961757,0.9463410794020922,1.5568582336551924,57
35,0.8639121844882838,0.8872402700677579,1.5568582336551924,57
36,0.7981833901432647,0.8240658646416035,1.5568582336551924,57
37,0.7651645206760753,0.7983346438252814,1.5568582336551924,57
38,0.7199833099615521,0.7438617743004595,1.5568582336551924,57
39,0.6814055212236819,0.7072751337646888,1.5568582336551924,57
40,0.6488785143772445,0.6660583995448444,1.5568582336551924,57
41,0.6387108713970133,0.6317747791295906,1.5568582336551924,57
42,0.592299810003284,0.5866413520644428,1.5568582336551924,57
43,0.5653718301308296,0.5721757017295227,1.5568582336551924,57
44,0.5340283614549282,0.5336675337936913,1.5568582336551924,57
45,0.5008113075814711,0.5225496369568279,1.5568582336551924,57
46,0.4884873970759474,0.5033937376522313,1.5568582336551924,57
47,0.4769455474087415,0.4720160068116059,1.5568582336551924,57
48,0.44816550949171513,0.45385081445245334,1.5568582336551924,57
49,0.42690236129513537,0.4404718338202974,1.5568582336551924,57
50,0.41330356844532284,0.4116617437123282,1.5568582336551924,57
51,0.40600463682497695,0.4031374876689564,1.5568582336551924,57
52,0.3808560254204193,0.3729899956576292,1.5568582336551924,57
53,0.3716200627993105,0.3614287926560884,1.5568582336551924,57
54,0.3509785093078668,0.3544773880555862,1.5568582336551924,57
55,0.33696924803211564,0.34909300874337224,1.5568582336551924,57
56,0.32263353001578005,0.3223079372824788,1.5568582336551924,57
57,0.30998853891616057,0.3057364700746157,1.5568582336551924,57
58,0.2964742851765324,0.30446038995063973,1.5568582336551924,57
59,0.28912881025153736,0.30044715607570194,1.5568582336551924,57
60,0.27311916973268835,0.2830024480375356,1.5568582336551924,57
61,0.27895502560205143,0.2691845499311057,1.5568582336551924,57
62,0.2685936493204265,0.25835301107394704,1.5568582336551924,57
63,0.24733976256598109,0.25646890749787404,1.5568582336551924,57
64,0.2496865878629215,0.24711103873136625,1.5568582336551924,57
65,0.23779631043857782,0.23734461238795052,1.5568582336551924,57
66,0.2257180995820465,0.2288204951605301,1.5568582336551924,57
67,0.22547799379590588,0.22047458407417786,1.5568582336551924,57
68,0.21555599731219596,0.21015942767242451,1.5568582336551924,57
69,0.20631181611499527,0.20528621130469177,1.5568582336551924,57
70,0.20169637264389512,0.20396842318387856,1.5568582336551924,57
71,0.19613239810465266,0.20722673871416444,1.5568582336551924,57
72,0.19109432012604047,0.189575952990538,1.5568582336551924,57
73,0.19184603248595386,0.18523406697818115,1.5568582336551924,57
74,0.18174603467764056,0.1792352573944753,1.5568582336551924,57
75,0.17308561138905548,0.1711900126818879,1.5568582336551924,57
76,0.17249971637172118,0.17068381408439884,1.5568582336551924,57
77,0.16613352769664766,0.1657303188203442,1.5568582336551924,57
78,0.15798449112829963,0.16058642639576476,1.5568582336551924,57
79,0.15339962721503078,0.15629534142896462,1.5568582336551924,57
80,0.15021368526618217,0.15050885339047168,1.5568582336551924,57
81,0.15073781868221056,0.14623184020323474,1.5568582336551924,57
82,0.14359728288284163,0.14166887430675695,1.5568582336551924,57
83,0.138843521408131,0.1402745421696891,1.5568582336551924,57
84,0.13481273933018573,0.13555997928712218,1.5568582336551924,57
85,0.13410954832924987,0.13009909505594305,1.5568582336551924,57
86,0.1294764027289695,0.12799827357684004,1.5568582336551924,57
87,0.12444758619298076,0.1276771536989882,1.5568582336551924,57
88,0.12278020251956424,0.12286364140099414,1.5568582336551924,57
89,0.11846231311638512,0.1202586025353055,1.5568582336551924,57
90,0.11405063019994789,0.11886679835664331,1.5568582336551924,57
91,0.11304512719992588,0.11612102572381562,1.5568582336551924,57
92,0.11093786535221885,0.11208924169949912,1.5568582336551924,57
93,0.10806066421250828,0.10834724023482199,1.5568582336551924,57
94,0.10738828011593428,0.10681802231486472,1.5568582336551924,57
95,0.10616230098601927,0.10446212686603083,1.5568582336551924,57
96,0.10239785177730566,0.10065739865483313,1.5568582336551924,57
97,0.10072116622770287,0.10246668392061312,1.5568582336551924,57
98,0.09798057752697319,0.09908848861818628,1.5568582336551924,57
99,0.09480210571957277,0.09518553204493177,1.5568582336551924,57
100,0.09095632558482183,0.09323006851915122,1.5568582336551924,57
101,0.09050882552240877,0.0929147420215761,1.5568582336551924,57
102,0.09089628332476646,0.09024671818143414,1.5568582336551924,57
103,0.08744371703653926,0.08669629055329955,1.5568582336551924,57
104,0.08511848695474504,0.08416881327382136,1.5568582336551924,57
105,0.0849543578644275,0.08302216322014638,1.5568582336551924,57
106,0.08172663484239345,0.08068671403208405,1.5568582336551924,57
107,0.0798972459099589,0.0785895813400439,1.5568582336551924,57
108,0.07780938519246881,0.07847122769371849,1.5568582336551924,57
109,0.07519446734668504,0.07640456371954676,1.5568582336551924,57
110,0.07346701764907913,0.07367629053486849,1.5568582336551924,57
111,0.07288446532636964,0.07434833015145553,1.5568582336551924,57
112,0.07104934156205119,0.07234720190975052,1.5568582336551924,57
113,0.0711427347020737,0.07026835188441644,1.5568582336551924,57
114,0.06716251609085505,0.06738070161834704,1.5568582336551924,57
115,0.06625058166042919,0.06686674983441254,1.5568582336551924,57
116,0.06666109364424881,0.06628256743380745,1.5568582336551924,57
117,0.06540313341124887,0.06464939032872809,1.5568582336551924,57
118,0.06347075717455825,0.06300971974426417,1.5568582336551924,57
119,0.062484344997858904,0.06159223693861614,1.5568582336551924,57
