universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch,E_times_I,E_plus_I,abs_E_minus_I,logX,_gap
81,2724143936,0.766,0.18339697994526935,18.62114563901485,1,0,4,-1,0.14048208663807632,0.9493969799452694,0.5826030200547306,2.924297797293241,0.5826030200547306
138,509846081,0.72,0.21022064107506452,18.18397153935116,1,0,14,-1,0.15135886157404646,0.9302206410750645,0.5097793589249354,2.9005405214012034,0.5097793589249354
11,833845272,0.7227271625977991,0.18670981833446093,17.81531998197628,1,0,19,-1,0.13494025723401548,0.90943698093226,0.5360173442633382,2.880058760276079,0.5360173442633382
