i_definition,lock_epoch_mean,lock_epoch_std,lockin_efficiency,early_lockin_rate
composite,327.25,100.78242294266173,200.90625,0.0
entanglement,171.28571428571428,59.94267924230184,104.44,0.0
fisher,321.04347826086956,91.64827938714674,196.7391304347826,0.0
fisher_kl_fusion,270.39694656488547,97.91681551110405,146.793893129771,0.0
jensen_shannon,344.3137254901961,113.25766909063216,185.05882352941177,0.0
kl_divergence,377.8,67.72760568208928,220.0,0.0
kl_shannon,301.561797752809,103.89778139377924,154.76404494382024,0.0
mutual_info,283.17391304347825,113.33154752485443,143.23478260869564,0.0
renyi,300.26446280991735,107.53524760088676,160.86776859504133,0.0
shannon,138.82285714285715,19.657923524804463,103.21714285714286,0.0
