i_definition,stable_percent,lockin_percent,X_peak_uncertainty,chi_squared_reduced
entanglement,100.0,100.0,0.0032424000541314145,6166.378431876943
shannon,100.0,100.0,0.003269750714758137,6155.291142939987
fisher_kl_fusion,92.0,74.85714285714286,0.003264815392581958,6143.08068455347
renyi,92.0,69.14285714285714,0.003256463588013859,6151.126601232372
mutual_info,89.14285714285714,65.71428571428571,0.0032458432029507877,6149.277675464306
kl_shannon,77.14285714285714,50.857142857142854,0.0032872202882173905,6138.925903056694
jensen_shannon,68.57142857142857,29.142857142857142,0.0032367354284770526,6151.2408284356015
composite,62.857142857142854,18.285714285714285,0.0032560582480705607,6155.501028171783
fisher,51.42857142857143,13.142857142857142,0.003235281202623646,6143.415686556788
kl_divergence,44.0,8.571428571428571,0.0032756009428802873,6175.547789007214
