Target,E_importance,I_importance
Reaching Lock-in,0.6,0.4
Stability Reached,0.6,0.4
Time to Lock-in,0.6700752423836693,0.3299247576163308
Time to Stabilize,0.7421300551834356,0.2578699448165644
Cold Spot Presence,0.6931041506729336,0.305847571894839
Cold Spot Depth,0.6431411045369225,0.3893579599503575
AoE Strength,0.6584505682825542,0.3971252248345454
Entropy Volatility,0.6994381788974275,0.3133798772578437
CMB Quality,0.5272155662325843,0.5341854848120707
Feature Importance,0.6373807690119561,0.3500522696221017
Power Law Fit Quality,0.64652259700016,0.4444395391902523
Phase Transition Sharpness,0.631308938826757,0.4284550142850837
Correlation Matrix Strength,0.6729243164521524,0.3698437033117765
Finetuning Sensitivity,0.5534281511457467,0.496313175840584
E-I Balance,0.5170820154036456,0.4303690906060493
Planck Chi-Squared,0.724997828132766,0.3306437206730511
Planck R-Squared,0.6610731402758528,0.3151877808832658
CMB Anomaly Score,0.4994420643662768,0.535147965931586
CMB Statistical Significance,0.49289632170050246,0.46385859120246925
