ell,C_ell_north,C_ell_south,MSE,n_maps
2,172.09973114833392,166.04697437907163,0.2840714850334782,175
3,128.99817339475027,124.97922560739518,0.2840714850334782,175
4,68.86392659619335,68.68660631260511,0.2840714850334782,175
5,44.214506906360356,44.814690520919214,0.2840714850334782,175
6,28.533170238538784,28.820308654928294,0.2840714850334782,175
7,23.29774630368237,21.905391277766263,0.2840714850334782,175
8,17.396821559683016,16.512449004832355,0.2840714850334782,175
9,13.639680034672477,13.52014302170748,0.2840714850334782,175
10,10.915907804009672,10.579014693622941,0.2840714850334782,175
11,8.980785788537247,9.023059892639326,0.2840714850334782,175
12,7.24628931092206,7.76423051889325,0.2840714850334782,175
13,6.316593119045225,6.409402792074441,0.2840714850334782,175
14,5.370073454253191,5.6758980081528785,0.2840714850334782,175
15,4.718977857818166,4.740569669296314,0.2840714850334782,175
16,4.1303821737184805,4.176022471879943,0.2840714850334782,175
17,3.7474857997361126,3.838709719864913,0.2840714850334782,175
18,3.3081457500938196,3.277784272940083,0.2840714850334782,175
19,3.001210014972728,3.0883860732608537,0.2840714850334782,175
20,2.6105729741007653,2.630662191655246,0.2840714850334782,175
21,2.464910042362125,2.416615610860595,0.2840714850334782,175
22,2.268134965606206,2.2531413832811094,0.2840714850334782,175
23,2.0222666463624686,2.1164770118734704,0.2840714850334782,175
24,1.8098007306568213,1.8788190692641475,0.2840714850334782,175
25,1.705918225346561,1.7492251186406262,0.2840714850334782,175
26,1.574373504553199,1.606915563125989,0.2840714850334782,175
27,1.4318402008297604,1.4624291406183443,0.2840714850334782,175
28,1.320995979523313,1.3733644200391402,0.2840714850334782,175
29,1.2803260340306855,1.2817246931415822,0.2840714850334782,175
30,1.1707345254310542,1.1613111565765757,0.2840714850334782,175
31,1.1032710134693045,1.1130783022458137,0.2840714850334782,175
32,1.045628499235304,1.0513689890369868,0.2840714850334782,175
33,0.9724579575046789,1.01142046005245,0.2840714850334782,175
34,0.8989686626296329,0.9217708865337335,0.2840714850334782,175
35,0.8467004484783219,0.8714926178567584,0.2840714850334782,175
36,0.8143471531950195,0.8163966691632496,0.2840714850334782,175
37,0.7786633628887799,0.7749940140969176,0.2840714850334782,175
38,0.7353391075493434,0.7282142437874597,0.2840714850334782,175
39,0.7039357983728689,0.6961911686689705,0.2840714850334782,175
40,0.657521617170455,0.6517790152616886,0.2840714850334782,175
41,0.6112044443155525,0.6291334331706043,0.2840714850334782,175
42,0.5812852142278517,0.5914223349085328,0.2840714850334782,175
43,0.5636332095130527,0.5714895197772223,0.2840714850334782,175
44,0.5368347025507771,0.529394101255194,0.2840714850334782,175
45,0.501652370671812,0.5056834546903095,0.2840714850334782,175
46,0.48050111688270697,0.5010867233677321,0.2840714850334782,175
47,0.4737472222591008,0.471996995973439,0.2840714850334782,175
48,0.45551848025617825,0.4419128938302473,0.2840714850334782,175
49,0.43973346040609246,0.4309795119078899,0.2840714850334782,175
50,0.4087992203689309,0.41792382430958663,0.2840714850334782,175
51,0.39276070055807777,0.3942761575111051,0.2840714850334782,175
52,0.38610030613938223,0.3775253533079136,0.2840714850334782,175
53,0.37151931371500607,0.37322723121102935,0.2840714850334782,175
54,0.3491292162337414,0.3553611462911164,0.2840714850334782,175
55,0.33926273977784444,0.33621873185956547,0.2840714850334782,175
56,0.3241014995474871,0.3226635371608459,0.2840714850334782,175
57,0.31684279511505714,0.3154005146244081,0.2840714850334782,175
58,0.3069863025593321,0.30581165070139416,0.2840714850334782,175
59,0.2949077214273285,0.29784340233238077,0.2840714850334782,175
60,0.27875182694783635,0.2868073051942536,0.2840714850334782,175
61,0.2707609150105949,0.2770216989412699,0.2840714850334782,175
62,0.2662619469475809,0.2615670749699841,0.2840714850334782,175
63,0.25574617318744364,0.24884784322280445,0.2840714850334782,175
64,0.25087606623078534,0.24353552727808986,0.2840714850334782,175
65,0.23950556749832289,0.2403224831615177,0.2840714850334782,175
66,0.22840294899735608,0.232124130101722,0.2840714850334782,175
67,0.2222846125657959,0.2287696171519363,0.2840714850334782,175
68,0.2138088514437376,0.21736288575755705,0.2840714850334782,175
69,0.2086903459953934,0.2099502065472218,0.2840714850334782,175
70,0.20313763948991762,0.20177385258667255,0.2840714850334782,175
71,0.19919831272783345,0.19678886161393583,0.2840714850334782,175
72,0.1916447312012466,0.19304570776473384,0.2840714850334782,175
73,0.18644845064669308,0.18753641794661818,0.2840714850334782,175
74,0.1813883632914501,0.18069428053889305,0.2840714850334782,175
75,0.17501048325652252,0.1749218507961062,0.2840714850334782,175
76,0.16790376289345682,0.1710840604438985,0.2840714850334782,175
77,0.16599122874600036,0.16720561608110948,0.2840714850334782,175
78,0.15807109903900432,0.1650438166556164,0.2840714850334782,175
79,0.1567056977905861,0.15947100432425096,0.2840714850334782,175
80,0.15198182787880302,0.15220141195901887,0.2840714850334782,175
81,0.14916229346467783,0.14780480241931504,0.2840714850334782,175
82,0.14463376878626358,0.14341446770883937,0.2840714850334782,175
83,0.14128980004852723,0.13954955291684276,0.2840714850334782,175
84,0.13890484528446156,0.13551299273535147,0.2840714850334782,175
85,0.1345506082687461,0.13327524912696206,0.2840714850334782,175
86,0.1313231557836537,0.1322881943562393,0.2840714850334782,175
87,0.12783250980517558,0.12820482761368016,0.2840714850334782,175
88,0.1232107012748486,0.12389618178128034,0.2840714850334782,175
89,0.12012212871931106,0.12195767266587132,0.2840714850334782,175
90,0.11688539753771768,0.11699381902968903,0.2840714850334782,175
91,0.11466396406532874,0.11475231757891344,0.2840714850334782,175
92,0.11105137941468807,0.1112663226317462,0.2840714850334782,175
93,0.10741853785000303,0.1095058452109606,0.2840714850334782,175
94,0.10668511688140137,0.10629899540010525,0.2840714850334782,175
95,0.10407555258731481,0.10337222489259691,0.2840714850334782,175
96,0.10112497691766308,0.10204040972644574,0.2840714850334782,175
97,0.09964862294384509,0.10017800977908468,0.2840714850334782,175
98,0.09491674163788628,0.09852571862943571,0.2840714850334782,175
99,0.09352553306240263,0.09574574135666256,0.2840714850334782,175
100,0.09119981170163427,0.09203101946249306,0.2840714850334782,175
101,0.08974156727224951,0.09155809446538754,0.2840714850334782,175
102,0.08816413742692607,0.08839513183376639,0.2840714850334782,175
103,0.08650338333955337,0.08568911871381885,0.2840714850334782,175
104,0.08446223396391996,0.08526906044031081,0.2840714850334782,175
105,0.08294307974696244,0.08353487473624344,0.2840714850334782,175
106,0.08093915323650425,0.082047343435511,0.2840714850334782,175
107,0.07940353168360727,0.07942468085184497,0.2840714850334782,175
108,0.07696239635226822,0.07690274115085265,0.2840714850334782,175
109,0.07580713044701046,0.07646062410495148,0.2840714850334782,175
110,0.07474498216601748,0.07409596285295789,0.2840714850334782,175
111,0.07306406497698809,0.0733440685729249,0.2840714850334782,175
112,0.07030924406753018,0.07170415825442049,0.2840714850334782,175
113,0.068504636283059,0.07007572753306027,0.2840714850334782,175
114,0.06792123934668005,0.0687230180232984,0.2840714850334782,175
115,0.06724887896208954,0.06715772418852443,0.2840714850334782,175
116,0.06561705389689086,0.06572400469388856,0.2840714850334782,175
117,0.06346171269628754,0.06475881537193812,0.2840714850334782,175
118,0.06237762724486606,0.06311397889716966,0.2840714850334782,175
119,0.06203190317402576,0.06221612651228722,0.2840714850334782,175
120,0.06036721621643406,0.060950687664659914,0.2840714850334782,175
121,0.058835134455867806,0.059857549615597215,0.2840714850334782,175
122,0.057891872450220684,0.05828120916208662,0.2840714850334782,175
123,0.05691568227100722,0.05651922930716741,0.2840714850334782,175
124,0.055464925483748664,0.056624234748656965,0.2840714850334782,175
125,0.055240482334676225,0.05540213596665603,0.2840714850334782,175
126,0.05337439255040871,0.053914292124310724,0.2840714850334782,175
127,0.052619216796741385,0.052185114209177104,0.2840714850334782,175
128,0.051950836124623374,0.05132507230085919,0.2840714850334782,175
129,0.05050877626601349,0.051188012867233845,0.2840714850334782,175
130,0.04969995421684466,0.05060604455550898,0.2840714850334782,175
131,0.048684171673487285,0.049763588110412114,0.2840714850334782,175
132,0.047603395638747055,0.04767234440370916,0.2840714850334782,175
133,0.04704763302834056,0.046704601359841516,0.2840714850334782,175
134,0.04617516220099825,0.046295263565808584,0.2840714850334782,175
135,0.04554664753637036,0.04556134679856218,0.2840714850334782,175
136,0.04441828442625802,0.04452150016305362,0.2840714850334782,175
137,0.043403918562590696,0.04390844523968584,0.2840714850334782,175
138,0.042467965359529604,0.04297944008403991,0.2840714850334782,175
139,0.041823148321538904,0.04251955754068446,0.2840714850334782,175
140,0.041247412194420914,0.04154528020303647,0.2840714850334782,175
141,0.04080582098221559,0.040960504959839696,0.2840714850334782,175
142,0.039733669825133336,0.03983331581891514,0.2840714850334782,175
143,0.03903525046955336,0.03903645608049065,0.2840714850334782,175
144,0.03832997771119966,0.03869937070172727,0.2840714850334782,175
145,0.03778282971169745,0.03790265251269822,0.2840714850334782,175
146,0.0368375397759698,0.036841957505199426,0.2840714850334782,175
147,0.03618344434234215,0.03692973531646192,0.2840714850334782,175
148,0.03559476345718858,0.035727404776247175,0.2840714850334782,175
149,0.035122440594705484,0.03506036868268319,0.2840714850334782,175
150,0.03438477733099706,0.03460522831045964,0.2840714850334782,175
151,0.03424982867113156,0.03422038386001746,0.2840714850334782,175
152,0.03351147532429073,0.03365159191930589,0.2840714850334782,175
153,0.032919545898948466,0.03294497474134858,0.2840714850334782,175
154,0.03246191117052574,0.031843525723239216,0.2840714850334782,175
155,0.03166492611327181,0.03161654296736678,0.2840714850334782,175
156,0.03134531414442538,0.031219065862573454,0.2840714850334782,175
157,0.03084278402139661,0.030409588424069784,0.2840714850334782,175
158,0.029753679881951295,0.030318271533465137,0.2840714850334782,175
159,0.029628439839843295,0.030085663399799064,0.2840714850334782,175
160,0.029148298106127665,0.029376653110643938,0.2840714850334782,175
161,0.028654804073545058,0.028778562996730175,0.2840714850334782,175
162,0.028414856780321664,0.028489457269823115,0.2840714850334782,175
163,0.027796218823914604,0.027906136154006875,0.2840714850334782,175
164,0.027253192480094383,0.027364188057776663,0.2840714850334782,175
