universe_id,E,I,lock_epoch,ell,axis_lon,axis_lat,peak_value,category,alignment_angle_deg,p_value,aoe_flag
0,0.766,0.31141924822103545,122,2,10.898437499999998,29.313198964168343,-19.661214088966098,lock_in,53.787393186999054,0.0,False
0,0.766,0.31141924822103545,122,3,56.25,79.75282793472046,32.402857795070155,lock_in,53.787393186999054,0.0,False
37,0.7600401299437843,0.3479803927670693,122,2,337.8515625,3.583321698471977,-38.59009046996386,lock_in,37.49847921843434,0.0,False
37,0.7600401299437843,0.3479803927670693,122,3,306.9140625,26.61009781073391,23.415263085327403,lock_in,37.49847921843434,0.0,False
58,0.7527943965328022,0.2936476168639787,122,2,122.34374999999999,10.503271450113203,29.28885461464971,lock_in,149.68489103193986,1.0,False
58,0.7527943965328022,0.2936476168639787,122,3,329.76562499999994,2.686724185691588,-22.674595779883475,lock_in,149.68489103193986,1.0,False
1,0.72,0.4414448505936561,233,2,59.765625,4.480798785982216,26.1415448146168,lock_in,105.2504252665781,1.0,False
1,0.72,0.4414448505936561,233,3,301.69565217391306,46.96497733995481,-17.516530328553284,lock_in,105.2504252665781,1.0,False
2,0.7482247687259116,0.42744957376831494,361,2,108.57798165137616,49.31283855921746,-33.05367745065986,lock_in,85.35367510251982,0.0,False
2,0.7482247687259116,0.42744957376831494,361,3,214.8046875,19.47122063449069,30.502403921408966,lock_in,85.35367510251982,0.0,False
3,0.7629282968158495,0.35954048823528506,122,2,244.68749999999997,13.55478403717899,-26.197747614391094,lock_in,84.6313099869941,1.0,False
3,0.7629282968158495,0.35954048823528506,122,3,37.800000000000004,80.85321831509765,-21.24600983917718,lock_in,84.6313099869941,1.0,False
4,0.766,0.4143455385592492,157,2,287.0689655172414,57.78012842970897,24.609963775558008,lock_in,75.86247563947339,0.0,False
4,0.766,0.4143455385592492,157,3,1.40625,6.880079227870652,-27.866180513084263,lock_in,75.86247563947339,0.0,False
5,0.766,0.40319631207212975,236,2,337.7848101265823,60.8122696032311,-27.973514759736226,lock_in,156.8445908835712,1.0,False
5,0.766,0.40319631207212975,236,3,131.34146341463415,-43.804487962974946,22.928737153690847,lock_in,156.8445908835712,1.0,False
6,0.766,0.3630057680655486,159,2,174.37499999999997,15.40409369872549,31.998005063469087,lock_in,52.77623428275604,0.0,False
6,0.766,0.3630057680655486,159,3,226.40625,2.686724185691588,31.180151110620507,lock_in,52.77623428275604,0.0,False
7,0.766,0.2833259171905481,136,2,213.75,55.873350435251986,-9.32631317953794,lock_in,72.50405208990773,1.0,False
7,0.766,0.2833259171905481,136,3,18.42857142857143,50.86815892553735,-31.87697576014634,lock_in,72.50405208990773,1.0,False
8,0.7645455748355592,0.3926434831409049,205,2,47.16867469879517,59.298952349144834,-35.847231226660135,lock_in,49.2022298156701,1.0,False
8,0.7645455748355592,0.3926434831409049,205,3,278.8636363636364,65.69633519657744,30.127360567212065,lock_in,49.2022298156701,1.0,False
9,0.72,0.3950297064388608,391,2,75.58593749999999,4.780191847199163,21.0289924707943,lock_in,108.39224077425249,1.0,False
9,0.72,0.3950297064388608,391,3,217.6875,60.43443884495228,-19.67612715430357,lock_in,108.39224077425249,1.0,False
10,0.741786620174979,0.4083276461828323,146,2,297.0703125,12.024699180565818,-25.545133781937515,lock_in,48.043958828722275,0.0,False
10,0.741786620174979,0.4083276461828323,146,3,344.88281249999994,3.583321698471977,-35.82267600145898,lock_in,48.043958828722275,0.0,False
11,0.766,0.3135739297489469,154,2,66.09375,17.27000469497446,33.88024787292492,lock_in,90.21202256230633,0.0,False
11,0.766,0.3135739297489469,154,3,323.4375,34.59057497617661,-23.166384741584082,lock_in,90.21202256230633,0.0,False
12,0.766,0.4366297506785698,194,2,65.7421875,27.27961273597809,-15.094405946883903,lock_in,92.38230176828014,1.0,False
12,0.766,0.4366297506785698,194,3,182.10937499999997,36.79533013738011,26.458525455294836,lock_in,92.38230176828014,1.0,False
13,0.766,0.39584278712705395,158,2,111.144578313253,59.298952349144834,-20.686598837789536,lock_in,91.42190164348817,0.0,False
13,0.766,0.39584278712705395,158,3,233.43750000000003,16.024100308155866,36.28544020998962,lock_in,91.42190164348817,0.0,False
14,0.766,0.3509158148661104,147,2,270.4736842105263,-54.72462840974654,27.95110895140442,lock_in,129.25035885051471,0.0,False
14,0.766,0.3509158148661104,147,3,101.6015625,4.780191847199163,-32.96040200299275,lock_in,129.25035885051471,0.0,False
