universe_id,E,I,age_Gyr,vacuum_energy,entanglement_entropy,holographic_entropy,magnetic_field_strength,string_density,wall_probability,pbh_mass_fraction,topological_defects
156,0.766,0.4582890463491788,305391684.58036417,0.7628049409503471,0.31766176035843935,33728.79887009603,1.0200737754636105e-09,0.09916578092698358,0.04916578092698358,1.009028904634918e-06,False
145,0.7551065689892901,0.294409203877526,305391684.58036417,0.7395822729217082,0.20406890959860527,33057.645848536624,9.641766351493901e-10,0.09588818407755052,0.04588818407755052,9.904622341856106e-07,False
101,0.72,0.43962103071060643,305391684.58036417,0.7156527142111636,0.30472207795191397,33059.93778282047,9.917051723053138e-10,0.09879242061421213,0.04879242061421213,9.979621030710606e-07,False
127,0.7495512575426186,0.3523369659065672,305391684.58036417,0.7384831562528895,0.24422137452518264,33170.638692718276,9.793791851884962e-10,0.09704673931813135,0.047046739318131345,9.951439480991803e-07,False
141,0.7408056953593241,0.4068738927920184,305391684.58036417,0.7339068602986925,0.282023491632237,33229.979286240196,9.918950041831586e-10,0.09813747785584037,0.04813747785584037,9.988485283510665e-07,False
139,0.766,0.2809266265755917,305391684.58036417,0.7492189795956903,0.194723499155088,33156.79121596209,9.65109161575776e-10,0.09561853253151184,0.04561853253151184,9.91292662657559e-07,False
42,0.7629709206681479,0.4035525556633092,305391684.58036417,0.7556122611279824,0.27972131616578316,33512.15804267113,1.0016402193781711e-09,0.0980710511132662,0.048071051113266185,1.0029494396999605e-06,False
15,0.766,0.33282224387600445,305391684.58036417,0.753194183880902,0.230694799970287,33324.158634323525,9.811916133771739e-10,0.09665644487752009,0.04665644487752009,9.964822243876006e-07,False
126,0.72,0.3642038086021099,305391684.58036417,0.7102226742193519,0.2524468430817464,32821.10835947977,9.688537540064393e-10,0.09728407617204221,0.0472840761720422,9.90420380860211e-07,False
65,0.72,0.5182642428550074,305391684.58036417,0.7213150254855606,0.3592333987199831,33308.98319288724,1.0155340655850672e-09,0.10036528485710015,0.05036528485710015,1.0058264242855008e-06,False
