time,exp_A,var_A
0.0,0.31485139552313024,0.9008685987371374
0.02,0.30397482231196116,0.9075724234282267
0.04,0.35651289341791775,0.8713662584278815
0.06,0.3741127182073226,0.8587776434686629
0.08,0.3937950382788161,0.8449108462090622
0.1,0.3959526800044196,0.8432544070935032
0.12,0.38711904792546625,0.8497444840609912
0.14,0.3785128475235089,0.8560982918377205
0.16,0.3638235648524125,0.866804167974378
0.18,0.3496364384882152,0.8772621192619281
0.2,0.339747060843625,0.8844372825360599
0.22,0.33709455337852573,0.8863310885283345
0.24,0.332422721104075,0.8895654529428846
0.26,0.33416005489956646,0.8882690456573821
0.28,0.33478943347433177,0.8877945379532642
0.3,0.33448141929051745,0.8878988606565666
0.32,0.3291127881318427,0.891166050119897
0.34,0.3238626598790385,0.8947210254335138
0.36,0.3172929876389877,0.899143248375533
0.38,0.31617030162693627,0.8999866324254022
0.4,0.3151198410957211,0.9007388371300609
0.42,0.3224080121362475,0.895922615109229
0.44,0.3256183975503217,0.8938863774984975
0.46,0.3297980972222717,0.8911866013437628
0.48,0.32893546136626706,0.8913173905982568
0.5,0.33082250052856976,0.8901241205588508
0.52,0.32717653735410046,0.8926120213793481
0.54,0.3274933750089115,0.8917963742449633
0.56,0.32058031021365446,0.8960793019129489
0.58,0.31354159404434534,0.9006127907012592
0.6,0.3002318657103879,0.9090763665491755
0.62,0.2915353317043019,0.9144476337336827
0.64,0.2810622567099168,0.9214704822118425
0.66,0.2777021216454719,0.923375936652022
0.68,0.27458625478411697,0.925308586655191
0.7000000000000001,0.2751785919507276,0.9248117446748603
0.72,0.269348356856637,0.9278276132781933
0.74,0.2674967557914805,0.9289368287160364
0.76,0.2622929439053362,0.9314647639037522
0.78,0.25556248558896844,0.9351865559902951
0.8,0.2487246947618838,0.9386472425241298
0.8200000000000001,0.2468428011245289,0.940086478371511
0.84,0.24220339686840647,0.9415363988144032
0.86,0.23283138580731794,0.9391579561317777
0.88,0.22832393231095657,0.9399728069480453
0.9,0.22086761744109312,0.9427947795321657
0.92,0.220790157141116,0.9444811681862955
0.9400000000000001,0.20378583254590263,0.95147314114115
0.96,0.19366759049358398,0.9645664501212702
0.98,0.1861102484905483,0.966889511943722
1.0,0.17801531770185255,0.9675315603589114
1.02,0.1607671517598231,0.9736226141317867
1.04,0.15419289965517405,0.9686005115050224
1.06,0.1470509660526927,0.9627804297771112
1.08,0.1434139264529504,0.9686324634261805
1.1,0.1360338440926606,0.9712803205209216
1.12,0.1411310708964611,0.9677362755715577
1.1400000000000001,0.16158691904164213,0.9710752224840012
1.16,0.17961775033494526,0.9754727816857104
1.18,0.18758032735651864,0.9726195648440648
1.2,0.1964197375641354,0.9709094264984218
1.22,0.19593523930690787,0.9680834281746644
1.24,0.18357460875434553,0.9716613195732036
1.26,0.17330105172784002,0.9668894613093515
1.28,0.1617814699297383,0.9671500203927081
1.3,0.1657325774393037,0.97048227535428
1.32,0.14517751533934478,0.9764925469129251
1.34,0.1461280385731948,0.97172489877582
1.36,0.13929197556034678,0.9786758874796038
1.3800000000000001,0.15141877828430184,0.9795593527875701
1.4000000000000001,0.13916872636435293,0.9801117501909706
1.42,0.15539021787348103,0.9797118060630904
1.44,0.15667788457351692,0.9867395785864606
1.46,0.15182355983832238,0.982463423845393
1.48,0.13867910536403683,0.9780106939664422
1.5,0.14334399434195882,0.9738223915898964
1.52,0.13288679251350746,0.9760635832790564
1.54,0.1242983923778815,0.9748260019967685
1.56,0.11886816761406352,0.9803273812805632
1.58,0.12294532416618828,0.98307495423932
1.6,0.11935748988834764,0.9896464995330376
1.62,0.11910464714151425,0.9883412025831765
1.6400000000000001,0.11862719752064485,0.9890342726239684
1.6600000000000001,0.11731761581158225,0.9848923647337571
1.68,0.09779347293258418,0.99093622931516
1.7,0.10210402551868916,0.9818728829704242
1.72,0.10317873909145478,0.9815571025134175
1.74,0.09405524777309453,0.9799085431292353
1.76,0.09672493405752695,0.983938884825595
1.78,0.08879029290226068,0.9816192833957473
1.8,0.07557875159448633,1.0000923514131481
1.82,0.02195527210613979,0.990465476303445
1.84,-0.010361314375497185,0.9897788431899655
1.86,0.07078377655349616,0.9785095821145134
1.8800000000000001,0.07806895672913414,1.0268357366662624
1.9000000000000001,0.07505514548354252,0.9956416724570104
1.92,0.13362099159137023,0.9565772701460756
1.94,0.07483573797525844,0.9890663423502519
1.96,0.06359930605206514,1.0105441519644789
1.98,0.005351787233245392,0.9835825989881178
2.0,0.05385983940952777,0.9659744219975861
2.02,0.051929530127870285,0.9896613447508347
2.04,0.06673648594435526,0.987938253530993
2.06,0.07159628810767675,1.0008506126857912
2.08,0.06735461949215814,1.0052528643889471
2.1,0.06307391490940088,1.0172932583935965
2.12,0.10483716375529968,0.9851265591073894
2.14,0.08813961849477597,1.0051424566766136
2.16,0.06302865813973205,1.0040255552404769
2.18,0.06631332149347956,0.9824875910198668
2.2,0.09329515360448322,1.039876844894336
2.22,0.07183821364088316,1.008141398163965
2.24,0.07329001992564856,0.9881384250842749
2.2600000000000002,0.01718753967274317,1.0018454378433366
2.2800000000000002,0.032320451673939224,1.0000338775549618
2.3000000000000003,0.02338620077901157,0.9824425288070474
2.32,0.006037174469582095,1.0205690792861184
2.34,0.0420145884099176,1.0137550103516366
2.36,0.08146767026194265,0.9878901395477381
2.38,0.04770638071593606,1.0185846819943636
2.4,0.11702270218998553,0.9638416574033389
2.42,0.029856057210215066,1.016954627810204
2.44,0.05493984317789984,1.001711350428567
2.46,-0.02563375590380529,1.007092027846301
2.48,0.053374321458577116,0.9889727062495293
2.5,0.05020361704012037,0.9609111022366665
2.52,0.05147154788559689,1.0064000029694011
2.54,0.047735877082043215,1.0186112065984154
2.56,0.05360006253198605,0.9881282393908796
2.58,0.050137583877074635,1.010858144838846
2.6,0.012288372708560289,1.0095662567826649
2.62,0.026654025286699554,1.0002028273394428
2.64,0.005513847037379713,1.0125012055017106
2.66,0.030878833369261435,0.985167067133729
2.68,0.04749398467913147,1.012368357174629
2.7,0.03336021045983331,1.0100401604186438
2.72,0.00396550223709264,0.9907869902253635
2.74,0.019161058559772445,0.9760507505640557
2.7600000000000002,0.029636438217414584,1.0023280271805324
2.7800000000000002,0.06385426408250411,0.9890305992138333
2.8000000000000003,0.0680694183882854,0.9639891645602053
2.82,0.01730225575381331,0.9939242316560953
2.84,-0.02200521931360714,1.0257174522755939
2.86,0.09041177070595222,0.9938898105854918
2.88,0.056436038185794235,0.9824972555316943
2.9,0.07245377647162535,1.0058199241394115
2.92,0.010352682681755553,0.9892290174594326
2.94,0.0043829852712504,0.9803887895665374
2.96,0.045242071964473926,0.9995637769775747
2.98,0.0676485950633916,1.0246697574143768
3.0,0.00389754286060876,1.0027466387487547
3.02,-0.01841744546436961,0.9665237326133648
3.04,0.09676676578120845,1.0141186518991543
3.06,0.03193375717256988,0.9891640384328457
3.08,-0.005556408288158066,1.0003181722386563
3.1,-0.022406218071110977,1.0158591041310632
3.12,-0.008830536147898065,0.9731188523722235
3.14,0.03291818830514168,1.0013331999795405
3.16,0.025051253807126216,0.9842431006114198
3.18,0.013826074659854103,0.9909771904842235
3.2,0.0006881574769120064,1.0091621867467615
3.22,-0.05656694096843877,0.9826657202477562
3.24,0.028229963890135323,0.9986098828880209
3.2600000000000002,-0.0071883782029793335,1.0315205906530045
3.2800000000000002,0.013335034983314176,1.0283404201033581
3.3000000000000003,-0.04465261714368098,0.9883893675516816
3.3200000000000003,0.02426286777194249,1.0038978201089162
3.34,0.0010154847901320107,0.9927856148112872
3.36,0.01136674192596633,1.0242937185728271
3.38,-0.031068934997509005,0.990056346352083
3.4,0.021176171109785806,1.0265332700551433
3.42,-0.014298101873316888,0.9846030172683649
3.44,0.02400018408554836,0.9725997743578881
3.46,-0.017174877833168095,0.9907102584784148
3.48,0.019755166490247916,1.0266621063068642
3.5,0.032095482114179806,1.0057687315451627
3.52,0.004725909686036731,0.9903803955281075
3.54,-0.01600772179069077,1.0290463217490942
3.56,-0.00637444181471713,1.000021405980655
3.58,0.008226198352605707,0.9859534802517494
3.6,-0.018482796364652943,0.9907335267156647
3.62,-0.04604757523300884,0.9772178672385701
3.64,-0.019408123636431955,1.0190616811539839
3.66,0.09148478192783681,0.9943312405134507
3.68,-0.01929373370294867,0.9975830221951207
3.7,0.025948619261297705,0.9731885240383917
3.72,0.024071330234550468,0.9899377754351688
3.74,0.029474117151755394,0.9955072894998245
3.7600000000000002,0.011938342818253248,1.0081035504602243
3.7800000000000002,-0.04508520534862213,0.9736243251252651
3.8000000000000003,0.01613786285390282,1.0024145587665096
3.8200000000000003,-0.009486203839749024,1.0008997074638928
3.84,-0.01192336746432909,1.0301708159429097
3.86,-0.011068943312373482,1.0072347678938014
3.88,0.03032777133886904,1.0157858188440116
3.9,-0.018383221988985038,1.0040046346942084
3.92,-0.007910358815182872,1.0172161107337658
3.94,0.033659052896654613,1.0028646695243542
3.96,0.02756076558753559,0.9786592732937888
3.98,-0.024250588693392125,1.0212886317182583
4.0,-0.05870542337812788,0.9898268286795773
4.0200000000000005,0.02216742521396241,0.9955202178045354
4.04,0.03196200174080033,1.009011839647163
4.0600000000000005,-0.031216851481018423,1.0091443923052887
4.08,0.03826071303217452,1.0353945320560587
4.1,-0.014384744582696903,1.0213566342846179
4.12,-0.02383635927990637,0.993218632619858
4.14,0.004202523560481337,0.9913824005992733
4.16,0.06395979684194776,0.9956318161894128
4.18,0.03153703530620898,0.9956921655054058
4.2,-0.012111200758988838,1.0143914454740914
4.22,-0.004361101806781242,1.0158705327936042
4.24,-0.03427235298120166,0.9952132927494295
4.26,-0.01809080406050391,1.0066763952605087
4.28,-0.018948243692099864,1.0017406553602306
4.3,-0.015427032641074756,0.9991062012417123
4.32,0.015271557569491967,0.9831348188091485
4.34,-0.02790733963706676,1.019533078129693
4.36,0.057531539208335605,1.007728748152701
4.38,0.018780084074655236,0.9876723005832839
4.4,0.010354657274690555,1.0006545023546296
4.42,-0.0006980130741846523,0.9902063758252001
4.44,-0.04167329114970641,1.0156638004372747
4.46,0.029987945477740464,0.9575938255515641
4.48,-0.006376663798443169,0.990516563938551
4.5,0.012977447388840727,1.0283950449587573
4.5200000000000005,-0.003815542238900716,1.0128167996123558
4.54,-0.0014615929579194272,1.0038678789131228
4.5600000000000005,-0.018388827881484302,1.002068635667086
4.58,0.048526590700669316,1.0091376996763155
4.6000000000000005,-0.016956761950723553,0.9980228446816825
4.62,-0.006502038850173303,0.9933044339961248
4.64,0.022355428630473097,0.9790692243975808
4.66,-0.01931102623125193,1.0233632384467832
4.68,0.0074971768999801255,0.9909686264485528
4.7,-0.031252977322686615,0.9788196441716561
4.72,0.01921829698654876,0.9738417239889883
4.74,-0.00026085717563009486,0.9945357274609455
4.76,-0.010211545346808435,1.023549262600327
4.78,0.0045220952688445094,0.9765830189027451
4.8,0.03595761113903829,1.0087695649459163
4.82,-0.026360991674859786,0.9911997686068953
4.84,-0.026008291372118963,0.9890813140928507
4.86,0.018357203315419974,0.9804990241007158
4.88,-0.06225131427112339,0.9997828479884265
4.9,0.03980047403479742,0.9720621148793528
4.92,-0.0005680687778798512,1.0195613039993974
4.94,0.006640986266739596,0.9871537762940871
4.96,-0.026786045846649672,0.9991918878722384
4.98,-0.005516496109098252,0.9909388806654404
5.0,-0.05261479214537231,0.9990899942438484
5.0200000000000005,-0.01878086930994424,0.984202321712427
5.04,-0.021380949705864464,1.0116182853426994
5.0600000000000005,0.0017860990792990595,1.0109015494582831
5.08,0.06402369392807301,0.9709330835366395
5.1000000000000005,0.0018967792914572716,1.0169442604605154
5.12,0.08407132940685746,1.0195464745283622
5.14,-0.005296879856033439,0.9827262875199088
5.16,-0.05793592995768619,1.012550411269083
5.18,-0.02139092472850373,0.996532612282626
5.2,-0.016801599092258576,1.0005650939437414
5.22,0.0016644984153045886,1.000047339394541
5.24,0.026545205824768558,0.9804478758873242
5.26,0.0062716909295877496,0.9861643619044762
5.28,0.0043396579779319665,0.9943628665902078
5.3,0.008802431172103255,0.996605865065973
5.32,0.030807674735995823,1.0050251831093502
5.34,0.045093556110981016,0.9902633574625221
5.36,0.024827632074834127,0.9869124885115007
5.38,-0.03460637851172229,0.9817516888805382
5.4,-0.025309508001626197,0.9964967852714273
5.42,-0.0033099995688233076,0.9875980735639757
5.44,-0.022207083977056393,1.0143283716045342
5.46,0.03318072007041489,0.9955477496933445
5.48,-0.012070840489252487,1.001990585230402
5.5,0.03571377374440857,0.9935932978681141
5.5200000000000005,0.01341622801608058,0.9976860758738867
5.54,0.01636385965373488,0.982862356407346
5.5600000000000005,0.016106693667983965,1.0030429951372462
5.58,-0.0329042834813601,1.0227086824743459
5.6000000000000005,0.010187293496012174,1.0075676691139543
5.62,-0.019297899530587963,0.9837105138362352
5.64,-0.021143869155933907,1.0048811060784286
5.66,-0.009436970431301837,1.0146215596294408
5.68,-0.04216501398013917,0.9927839829731987
5.7,0.022447628643103214,0.9995585566627989
5.72,0.022047004060002668,0.9922099727986468
5.74,0.021747341883898704,1.0123140654444591
5.76,0.021174495368383058,1.0162337208861778
5.78,0.035134498624896995,0.9866535523604769
5.8,-0.0049103288138850456,0.9824146157683238
5.82,-0.005615415275586472,0.9777392858353484
5.84,0.0006416209933831416,0.9979329152275226
5.86,-0.026873417445818025,1.000974825557457
5.88,0.02211457228015777,1.0365664057044908
5.9,-0.003769020543832968,0.99511208514604
5.92,0.05134367013658226,0.9927123532971758
5.94,-0.04638066881514889,0.9920903009976205
5.96,-0.017048426877497327,1.0029514485093134
5.98,-0.012059471734378402,1.0002585306780578
6.0,0.023571906571813177,0.9950881210845848
