universe_id,seed,complexity_score,life_score,lockin_score,goldilocks_score,stability_score,stable,lock_epoch,X,I
125,3855995593,91.23145210178724,99.64717815268085,74.4,99.29435630536172,100.0,1,128,21.309600023320275,0.35378180245927754
153,3224751913,90.94321649049918,99.91482473574878,73.0,99.82964947149756,100.0,1,135,21.292068594317357,0.33178158857318624
23,2339705873,90.60527248701574,98.80790873052361,74.2,97.61581746104721,100.0,1,129,21.343192921310212,0.3346218289616785
87,455728974,90.29030387489975,97.73545581234961,75.4,95.47091162469923,100.0,1,123,21.386119305291444,0.33700662807174686
55,2391781115,90.28506119364961,99.02759179047442,72.8,98.05518358094885,100.0,1,136,21.256555891200755,0.32980866062226405
171,852128634,89.73323042521584,99.49984563782377,70.19999999999999,98.99969127564754,100.0,1,149,21.27545849255919,0.33085880514217725
169,2346345715,89.0700707196038,96.50510607940572,74.2,93.01021215881144,100.0,1,129,21.155589976160986,0.3459337315752434
37,631135931,89.05232416778745,95.77848625168119,75.6,91.55697250336236,100.0,1,122,21.46444966868294,0.3479803927670693
150,3095188620,88.55714978943392,98.23572468415087,69.19999999999999,96.47144936830173,100.0,1,154,21.36609536454693,0.335894186919274
80,632499259,88.01704638029913,94.6255695704487,74.8,89.25113914089741,100.0,1,126,21.08035897578513,0.3481177104063852
