universe_id,seed,complexity_score,life_score,lockin_score,goldilocks_score,stability_score,stable,lock_epoch,X,I
141,4106270834,90.48693796656276,99.83040694984415,71.8,99.66081389968829,100.0,1,141,17.676010709621536,0.13088948386786314
163,1953807072,89.01655969122622,95.92483953683931,75.2,91.84967907367863,100.0,1,124,17.878035988636434,0.1421131104798019
145,3849483349,87.1505790199375,99.32586852990624,62.8,98.65173705981249,100.0,1,186,17.63236694071678,0.1306004527079448
131,2119431374,86.92422128369863,97.08633192554794,66.6,94.17266385109589,100.0,1,167,17.817954879007857,0.15192850086676213
97,3379791913,85.42484202834306,90.5372630425146,75.2,81.07452608502919,100.0,1,124,18.156721907833678,0.17877752701753935
160,3107659939,84.810699388414,91.316049082621,71.8,82.63209816524201,100.0,1,141,18.116437244836565,0.15535762471314246
13,2307598733,84.59195620188726,97.88793430283089,58.00000000000001,95.77586860566177,100.0,1,210,17.557986183016205,0.17544367683423356
21,2214459803,84.38749397537569,89.58124096306354,74.0,79.16248192612707,100.0,1,130,18.206174549901096,0.19750221549919783
3,3610738759,82.59764666659537,98.19646999989304,51.4,96.39293999978608,100.0,1,243,17.76053020021014,0.1866961222338969
134,3795239697,82.39259486887313,85.88889230330969,75.4,71.77778460661938,100.0,1,123,18.3971705536375,0.17095391964652787
