E,kl_divergence,shannon,renyi,mutual_info,composite,kl_shannon,entanglement,fisher,fisher_kl_fusion,jensen_shannon
0.72,0.3695498351185753,0.880371265451647,0.7750535650329343,0.49725519270184326,0.32534105599078766,0.5205785482657503,0.589125123416848,0.20723194564252492,0.2883908903805501,0.24907272142898554
0.720938775510204,0.3560267341468504,0.737026896999253,0.5432086469003474,0.451276774859951,0.2624012791170311,0.4801251679515388,0.5778009974736714,0.3182871398235651,0.33715693698520777,0.41587217669541404
0.7218775510204082,0.4783334082494558,0.9467345122904935,0.8963062367619187,0.5954336842597153,0.4528547459712981,0.6355553155665931,0.6700125180124646,0.18921296825808676,0.3337731882537713,0.2453291675787162
0.7228163265306122,0.4365450309796132,0.7421204438390243,0.5507427531638305,0.512938884194466,0.3239689921463112,0.5497216963891483,0.7065705089115114,0.06883699299235843,0.2526910119859858,0.4181766488638461
0.7237551020408163,0.28455426284931873,0.8746001142048518,0.7649253597671399,0.432065725688202,0.24887119078549158,0.42940128720035214,0.8075300640826453,0.27695411763104427,0.2807541902401815,0.2673284934296131
0.7246938775510204,0.6047486887101419,0.8567110713306824,0.7339538597405655,0.667739284365277,0.518094896990691,0.7090101433599768,0.7576410216109629,0.35151204618142223,0.4781303674457821,0.08385521796874244
0.7256326530612245,0.41674026723671265,0.6049860422296027,0.36600811129263866,0.46380171098493517,0.25212204491324575,0.4935216849704853,0.5782318235228868,0.08423125778213242,0.25048576250942256,0.17444429772181555
0.7265714285714285,0.14667085766617297,0.8289467823867752,0.6871527680293876,0.3172398388463235,0.12158233553228276,0.24924177370487954,0.7305458475532244,0.27676680769837386,0.21171883268227343,0.33009634139128535
0.7275102040816326,0.6259330219191251,0.7124944498927893,0.5076483411280285,0.6475733789125412,0.44597380412199833,0.6664145999906221,0.5105330526337913,0.24302386157044767,0.4344784417447864,0.1331311430014893
0.7284489795918367,0.36659029842791785,0.9799683982895836,0.9603380616462519,0.5199348233933343,0.3592469075789071,0.5335777912312939,0.716840886172367,0.2915716421480816,0.32908097028799976,0.2774409641720638
0.7293877551020408,0.23157554049617618,0.8028726770734802,0.6446045355911368,0.37439982464050214,0.1859256741429031,0.35946830587560746,0.7227652396147256,0.32440980073198067,0.2779926706140784,0.15588768515928159
