universe_id,E,I,topological_defects,magnetic_field_strength,string_tension,string_density,wall_energy_density,wall_probability,pbh_mass_fraction,anomaly_seed
156,0.766,0.15983854708983386,False,9.275839657431396e-10,1.0264e-06,0.09319677094179668,1.0198e-12,0.04319677094179668,9.791838547089835e-07,42
145,0.7640779395986885,0.1306004527079448,False,9.176685513298534e-10,1.0256311758394754e-06,0.0926120090541589,1.0192233818796065e-12,0.0426120090541589,9.758756331905323e-07,42
101,0.766,0.22144225191183745,False,9.466749538674785e-10,1.0264e-06,0.09442884503823676,1.0198e-12,0.04442884503823675,9.853442251911837e-07,42
127,0.7464822930780771,0.17568811931201694,False,9.236863683496174e-10,1.0185929172312308e-06,0.09351376238624035,1.013944687923423e-12,0.04351376238624034,9.76865270546817e-07,42
141,0.766,0.13088948386786314,False,9.186126510506508e-10,1.0264e-06,0.09261778967735727,1.0198e-12,0.04261778967735727,9.762889483867864e-07,42
139,0.72,0.1791007927639375,False,9.127675402074731e-10,1.008e-06,0.09358201585527876,1.006e-12,0.04358201585527875,9.719100792763936e-07,42
42,0.72,0.2959956761178622,False,9.481866898637122e-10,1.008e-06,0.09591991352235725,1.006e-12,0.04591991352235725,9.835995676117863e-07,42
15,0.7385317424600677,0.1819822744119717,False,9.220224869886113e-10,1.0154126969840271e-06,0.09363964548823944,1.0115595227380202e-12,0.04363964548823943,9.759045759332105e-07,42
126,0.766,0.2101234144739196,False,9.431672461454677e-10,1.0264e-06,0.0942024682894784,1.0198e-12,0.044202468289478394,9.84212341447392e-07,42
65,0.7621898703907954,0.18909337546591334,False,9.349226614326596e-10,1.0248759481563182e-06,0.09378186750931827,1.0186569611172386e-12,0.04378186750931827,9.813473116247503e-07,42
