group_name,universe_count,lockin_count,lockin_rate,ci_lower,ci_upper
Finely-Tuned,37,29,0.7837837837837838,0.6280453872612309,0.8861362314804442
Coarsely-Tuned,138,102,0.7391304347826086,0.6600994975045448,0.8052082824415359
