universe_id,E,I,X
0,0.766,0.0,15.32
1,0.766,0.0,15.32
2,0.7523243670484796,0.0,15.046487340969591
3,0.766,0.0,15.32
4,0.766,0.0,15.32
5,0.766,0.0,15.32
6,0.766,0.0,15.32
7,0.7431627782099473,0.0,14.863255564198944
8,0.7449739315337742,0.0,14.899478630675485
9,0.766,0.0,15.32
10,0.730394885076345,0.0,14.6078977015269
11,0.766,0.0,15.32
12,0.72,0.0,14.399999999999999
13,0.7487169774781635,0.0,14.974339549563268
14,0.766,0.0,15.32
15,0.766,0.0,15.32
16,0.7566279146362994,0.0,15.132558292725989
17,0.72,0.0,14.399999999999999
18,0.7562280492414187,0.0,15.124560984828374
19,0.766,0.0,15.32
20,0.72,0.0,14.399999999999999
21,0.742933824327487,0.0,14.85867648654974
22,0.766,0.0,15.32
23,0.7286099430202213,0.0,14.572198860404427
24,0.766,0.0,15.32
25,0.766,0.0,15.32
26,0.7445706697757863,0.0,14.891413395515727
27,0.766,0.0,15.32
28,0.766,0.0,15.32
29,0.743574789411208,0.0,14.871495788224161
30,0.72,0.0,14.399999999999999
31,0.766,0.0,15.32
32,0.72,0.0,14.399999999999999
33,0.766,0.0,15.32
34,0.7590200673020566,0.0,15.180401346041133
35,0.766,0.0,15.32
36,0.7338280114854289,0.0,14.676560229708578
37,0.7267252849194601,0.0,14.534505698389202
38,0.72,0.0,14.399999999999999
39,0.7619056665525229,0.0,15.238113331050458
40,0.766,0.0,15.32
41,0.7487752503844977,0.0,14.975505007689954
42,0.766,0.0,15.32
43,0.766,0.0,15.32
44,0.766,0.0,15.32
45,0.72,0.0,14.399999999999999
46,0.72,0.0,14.399999999999999
47,0.7232384257030985,0.0,14.46476851406197
48,0.766,0.0,15.32
49,0.72,0.0,14.399999999999999
50,0.72,0.0,14.399999999999999
51,0.766,0.0,15.32
52,0.731671609982556,0.0,14.63343219965112
53,0.766,0.0,15.32
54,0.72,0.0,14.399999999999999
55,0.72,0.0,14.399999999999999
56,0.766,0.0,15.32
57,0.765208833660536,0.0,15.304176673210721
58,0.7449293421975067,0.0,14.898586843950135
59,0.766,0.0,15.32
60,0.72,0.0,14.399999999999999
61,0.7653024945737225,0.0,15.30604989147445
62,0.766,0.0,15.32
63,0.766,0.0,15.32
64,0.72,0.0,14.399999999999999
65,0.7249198199964765,0.0,14.498396399929529
66,0.72,0.0,14.399999999999999
67,0.766,0.0,15.32
68,0.766,0.0,15.32
69,0.766,0.0,15.32
70,0.7557916662640702,0.0,15.115833325281404
71,0.7320358683169658,0.0,14.640717366339315
72,0.7509439810720834,0.0,15.018879621441668
73,0.7273230458541755,0.0,14.546460917083511
74,0.7285543764068594,0.0,14.571087528137188
75,0.7309668849594636,0.0,14.619337699189272
76,0.7429549509658419,0.0,14.859099019316837
77,0.744230578039637,0.0,14.88461156079274
78,0.72,0.0,14.399999999999999
79,0.759829674505226,0.0,15.196593490104519
80,0.766,0.0,15.32
81,0.766,0.0,15.32
82,0.766,0.0,15.32
83,0.7470404068176658,0.0,14.940808136353317
84,0.766,0.0,15.32
85,0.766,0.0,15.32
86,0.766,0.0,15.32
