universe_id,E,I,lock_epoch,scale_arcmin,lon,lat,z_score,temp_uK,category,cold_flag
99,0.766,0.12551223181729707,172,180,311.8359375,-8.989299345162806,-3.4677960622316153,-102.46282057627693,lock_in,True
99,0.766,0.12551223181729707,172,180,337.7472527472528,-56.25546743858109,-3.275779671900544,-96.7893228226525,lock_in,True
99,0.766,0.12551223181729707,172,180,216.2109375,-36.423573642331164,-3.250264110305803,-96.03541592366001,lock_in,True
99,0.766,0.12551223181729707,172,360,312.53906249999994,-7.782714385390946,-3.2276340236901717,-81.14182392229904,lock_in,True
99,0.766,0.12551223181729707,172,360,216.91406249999997,-37.168899655999454,-3.1129659062450283,-78.25910120177788,lock_in,True
118,0.7531400644656538,0.15354266682367612,191,180,14.414062499999996,-5.979156796301311,-2.9962229676006067,-96.22456274748568,lock_in,True
118,0.7531400644656538,0.15354266682367612,191,180,326.6129032258065,-55.49084192446861,-2.933714657511882,-94.21709348440358,lock_in,True
118,0.7531400644656538,0.15354266682367612,191,180,116.77215189873417,60.8122696032311,-2.905958581266443,-93.32570048645829,lock_in,True
118,0.7531400644656538,0.15354266682367612,191,180,168.02419354838707,43.406858485936986,-2.840499623701635,-91.2234704770687,lock_in,True
118,0.7531400644656538,0.15354266682367612,191,180,277.875,-75.34073424154306,-2.8042145563876892,-90.05816690002078,lock_in,True
65,0.766,0.22602670841955183,207,180,91.7578125,-5.979156796301311,-3.629667046825544,-109.6694236456828,lock_in,True
65,0.766,0.22602670841955183,207,180,86.1328125,-14.477512185929925,-3.4554023760700834,-104.40406748786351,lock_in,True
65,0.766,0.22602670841955183,207,180,253.4765625,-30.000000000000014,-2.975029090915038,-89.88972890117242,lock_in,True
65,0.766,0.22602670841955183,207,180,38.671875,15.40409369872549,-2.95783159086558,-89.3701114572467,lock_in,True
65,0.766,0.22602670841955183,207,360,85.78124999999999,-13.55478403717899,-2.954295240612146,-76.7422322945226,lock_in,True
81,0.766,0.18339697994526935,-1,180,247.8515625,26.61009781073391,-3.593782015131174,-116.25398539595254,stable,True
81,0.766,0.18339697994526935,-1,180,287.2265625,1.7907846593289491,-3.5146981787244878,-113.69573258985396,stable,True
81,0.766,0.18339697994526935,-1,180,343.828125,10.503271450113203,-3.2409380272888733,-104.83997005442745,stable,True
81,0.766,0.18339697994526935,-1,180,259.80468749999994,36.42357364233115,-3.0853456271122135,-99.80677095274733,stable,True
81,0.766,0.18339697994526935,-1,360,286.171875,0.8952829865701233,-3.072388106054408,-86.21736257217766,stable,True
138,0.72,0.21022064107506452,-1,180,189.45,52.80185378173063,-4.169895458237066,-139.00212903041614,stable,True
138,0.72,0.21022064107506452,-1,180,210.41666666666666,49.702390326630685,-4.02783585121844,-134.2666245478564,stable,True
138,0.72,0.21022064107506452,-1,360,190.24752475247527,52.416011889394284,-3.989251385584769,-117.65373435218108,stable,True
138,0.72,0.21022064107506452,-1,180,167.0744680851064,55.107936425098195,-3.8888687939415414,-129.63420906766572,stable,True
138,0.72,0.21022064107506452,-1,360,211.58653846153845,51.25580694880489,-3.8226750515159833,-112.74095907216778,stable,True
11,0.7227271625977991,0.18670981833446093,-1,180,120.25862068965519,-68.67919198537578,-3.3656301966687567,-121.2751748742882,stable,True
11,0.7227271625977991,0.18670981833446093,-1,180,127.61718750000001,-39.45089470914607,-3.255231387810753,-117.2971295753742,stable,True
11,0.7227271625977991,0.18670981833446093,-1,180,102.32142857142857,-58.91977535280316,-3.2008284767134882,-115.33680729494029,stable,True
11,0.7227271625977991,0.18670981833446093,-1,360,119.75806451612902,-67.18972162985978,-3.1558199605258537,-102.75406118236853,stable,True
11,0.7227271625977991,0.18670981833446093,-1,360,100.05882352941177,-58.5402491350105,-3.0516645613454756,-99.3627448634978,stable,True
1,0.766,0.1375326412174972,-1,180,246.44531249999997,35.68533471265204,-2.861979596762752,-101.40541119505677,unstable,True
1,0.766,0.1375326412174972,-1,360,204.2578125,-4.780191847199163,-2.7994830403029733,-89.08167613518614,unstable,True
1,0.766,0.1375326412174972,-1,180,206.36718749999997,-4.780191847199163,-2.788281370330785,-98.79414590591516,unstable,True
1,0.766,0.1375326412174972,-1,180,162.77343749999997,-23.969482317759685,-2.7702278002880734,-98.15447432791404,unstable,True
1,0.766,0.1375326412174972,-1,180,148.0078125,-39.45089470914607,-2.767961528661956,-98.0741761074608,unstable,True
3,0.72,0.23171537581493645,-1,180,157.29357798165137,-49.31283855921748,-3.175950402545815,-105.16733264729127,unstable,True
3,0.72,0.23171537581493645,-1,180,299.1796875,-22.669609871750396,-3.0377071635594883,-100.58959442885637,unstable,True
3,0.72,0.23171537581493645,-1,180,151.17187499999997,-14.169522214770055,-2.9874225327348807,-98.92448676779772,unstable,True
3,0.72,0.23171537581493645,-1,180,98.28947368421053,-76.07742270175356,-2.9865615190466706,-98.89597546195725,unstable,True
3,0.72,0.23171537581493645,-1,180,290.74218749999994,-15.713861048008212,-2.9251678627574833,-96.86300742080577,unstable,True
6,0.7633146306021824,0.10043524228801864,-1,180,232.9120879120879,56.25546743858108,-3.3312263133355,-110.60761144987623,unstable,True
6,0.7633146306021824,0.10043524228801864,-1,180,357.9166666666667,-49.702390326630706,-3.1941293128276502,-106.05554099767743,unstable,True
6,0.7633146306021824,0.10043524228801864,-1,180,274.3548387096774,-55.49084192446861,-3.086115919707065,-102.46914178073906,unstable,True
6,0.7633146306021824,0.10043524228801864,-1,180,222.29999999999998,71.6475002354226,-3.0205108468377233,-100.2908380059181,unstable,True
6,0.7633146306021824,0.10043524228801864,-1,180,65.39062499999999,4.480798785982216,-2.968285436994857,-98.55678296372868,unstable,True
2,0.7407514302602898,0.16211101185801344,297,180,61.55172413793104,-57.78012842970898,-3.1111361034490077,-110.29359758594016,lock_in,True
2,0.7407514302602898,0.16211101185801344,297,360,60.5,-56.63719837020753,-2.907753820734201,-92.94185512189084,lock_in,True
2,0.7407514302602898,0.16211101185801344,297,180,237.30468750000003,35.68533471265204,-2.7662473826150453,-98.06686843415979,lock_in,True
2,0.7407514302602898,0.16211101185801344,297,180,55.546875,26.276811557199977,-2.657305726765256,-94.20475280393278,lock_in,True
2,0.7407514302602898,0.16211101185801344,297,180,257.40000000000003,80.85321831509765,-2.647176075768496,-93.84564422293899,lock_in,True
133,0.766,0.13851683201818255,431,180,337.6829268292683,-43.804487962974946,-3.6106446480508536,-120.20302714088828,lock_in,True
133,0.766,0.13851683201818255,431,180,305.5078125,27.95318688338113,-3.12626772170267,-104.07750384999818,lock_in,True
133,0.766,0.13851683201818255,431,360,336.5702479338843,-44.597991493006276,-3.0491111530596964,-89.57346843704487,lock_in,True
133,0.766,0.13851683201818255,431,180,83.15217391304348,73.12688191450309,-2.9305618964167754,-97.56220827718214,lock_in,True
133,0.766,0.13851683201818255,431,180,55.065789473684205,-61.94383702315673,-2.9292318462951017,-97.51792921877033,lock_in,True
14,0.766,0.14918326603154336,294,180,106.1111111111111,60.05627904951214,-3.812552472904295,-126.79601535938974,lock_in,True
14,0.766,0.14918326603154336,294,360,107.01219512195122,59.67778522657881,-3.3074116702675807,-96.88657804012907,lock_in,True
14,0.766,0.14918326603154336,294,180,309.375,-44.99388015045713,-3.2010319119079047,-106.45834193511067,lock_in,True
14,0.766,0.14918326603154336,294,360,310.2049180327869,-44.20152985105139,-3.0991212716671206,-90.78495795741136,lock_in,True
14,0.766,0.14918326603154336,294,180,312.87401574803147,-42.21036983965021,-3.066093280709988,-101.97061414857322,lock_in,True
27,0.766,0.1420085958836802,301,180,10.565217391304348,46.96497733995481,-3.6025779462400713,-110.63413064265511,lock_in,True
27,0.766,0.1420085958836802,301,180,112.49999999999999,-16.024100308155866,-3.502578810722869,-107.56318897424926,lock_in,True
27,0.766,0.1420085958836802,301,180,113.5546875,27.27961273597809,-3.3277704587385792,-102.19488004520291,lock_in,True
27,0.766,0.1420085958836802,301,360,110.7421875,-15.094787099543197,-3.1922830732608753,-85.2550666911048,lock_in,True
27,0.766,0.1420085958836802,301,360,11.447368421052632,47.35757623319898,-3.1890587436309263,-85.16895589431307,lock_in,True
32,0.7507812604329787,0.29848546400334536,329,180,156.09374999999997,-33.86870460165652,-3.487340738537624,-122.09794762674512,lock_in,True
32,0.7507812604329787,0.29848546400334536,329,180,166.64062499999997,-39.8384399769991,-3.48191438906522,-121.90796170316834,lock_in,True
32,0.7507812604329787,0.29848546400334536,329,180,152.578125,0.2984168674869352,-3.3556816174882655,-117.48833303463717,lock_in,True
32,0.7507812604329787,0.29848546400334536,329,360,155.03906249999997,-33.510056066253014,-3.28391413665874,-102.74367925297908,lock_in,True
32,0.7507812604329787,0.29848546400334536,329,360,165.234375,-39.065494664452615,-3.1059163053183005,-97.17467210861201,lock_in,True
162,0.725889779009811,0.12564129397988305,404,180,181.0546875,-10.199918091116302,-3.2210618339423016,-108.37179170502773,lock_in,True
162,0.725889779009811,0.12564129397988305,404,180,306.21093749999994,-32.79716829582364,-2.87206371396457,-96.62983468945497,lock_in,True
162,0.725889779009811,0.12564129397988305,404,180,11.953125,-23.64331425576559,-2.845374650387719,-95.73188762508317,lock_in,True
162,0.725889779009811,0.12564129397988305,404,180,303.046875,-37.54432510382695,-2.787397285436305,-93.7812532572559,lock_in,True
162,0.725889779009811,0.12564129397988305,404,180,311.484375,-20.423615363810953,-2.7623380246418288,-92.93814051180745,lock_in,True
37,0.7555273409599935,0.17620115669794884,265,180,289.02061855670104,-53.95678248481789,-4.232279542073668,-143.73741604844662,lock_in,True
