category,count,percentage
Unstable,85,48.57142857142857
Stable,90,51.42857142857142
"Lock-in
(from Stable)",23,13.142857142857142
"Finely-tuned
|E-I|≤0.5",1,0.5714285714285714
"Coarsely-tuned
|E-I|>0.5",22,12.571428571428573
