universe_id,E,I,X
0,0.7453266350014327,0.17153049386544508,17.994081589606665
1,0.766,0.1375326412174972,17.79558754191495
2,0.7407514302602898,0.16211101185801344,17.73302681865004
3,0.72,0.23171537581493645,18.570876764668856
4,0.766,0.1337126275304238,17.72682729554763
5,0.7261507742765682,0.1813821737505524,17.787894613041306
6,0.7633146306021824,0.10043524228801864,17.074126973227983
7,0.7557370432731149,0.26032196695093923,19.800536270579205
8,0.766,0.16533254042802112,18.29598572770438
9,0.7468122549195796,0.10395608816821611,16.807454685419483
10,0.766,0.169025428040854,18.362457704735373
11,0.7227271625977991,0.18670981833446093,17.81531998197628
12,0.751600358441055,0.26262601411449815,19.75927542288207
13,0.7415268528353552,0.2058784727567387,18.5363495663284
14,0.766,0.14918326603154336,18.00529878856778
15,0.72,0.19002829322938777,17.82050927812898
16,0.766,0.28233105304705475,20.401958954846986
17,0.766,0.18395866073582282,18.631255893244813
18,0.72,0.17514993875683793,17.55269889762308
19,0.766,0.19647864057185116,18.856615530293322
20,0.7423222354768422,0.13728638212115474,17.31759958771763
21,0.7416800386014264,0.2037073010413368,18.50033219077259
22,0.7586732478231868,0.15429094892916026,17.95070203718862
23,0.7269099773157603,0.1614425972246939,17.444166296359697
24,0.766,0.21050866032948132,19.109155885930665
25,0.72,0.23176993277549057,18.57185878995883
26,0.766,0.14195540812861906,17.875197346315144
27,0.766,0.1420085958836802,17.876154725906243
28,0.766,0.18644856457214137,18.676074162298548
29,0.766,0.19348243614419944,18.80268385059559
30,0.7462288896194321,0.1753352060630432,18.08061150152342
31,0.72,0.2649387149484796,19.168896869072633
32,0.7507812604329787,0.29848546400334536,20.38836356071979
33,0.72,0.26558439524864386,19.18051911447559
34,0.766,0.19887551903146142,18.899759342566306
35,0.766,0.1623789322536809,18.24282078056626
36,0.766,0.11303844511561155,17.354692012081006
37,0.7555273409599935,0.17620115669794884,18.28216763976295
38,0.766,0.1128035890977127,17.35046460375883
39,0.7452796404364808,0.24011968424208585,19.22774712508716
40,0.72,0.18194840282029975,17.675071250765395
41,0.742317008482126,0.13335163166990577,17.246669539700825
42,0.766,0.14070444582880126,17.852680024918424
43,0.766,0.12731054866366837,17.61158987594603
44,0.766,0.29353645088728475,20.603656115971127
45,0.7216432520195795,0.11364211311946192,16.478423076541905
46,0.7631149525949623,0.1220886146068657,17.45989411482283
47,0.72,0.13935759025370148,16.908436624566626
48,0.7511469475613264,0.17030370736047956,18.08840568371516
49,0.7237816327174391,0.07940622859900409,15.904944769130855
50,0.7505983073434903,0.10843697393455165,16.963831677691736
51,0.766,0.23167171050370133,19.490090789066624
52,0.7651993335031908,0.12101335073646441,17.482226983320174
53,0.7357655512026758,0.1442530580086292,17.311866068208843
54,0.72,0.27646745464628764,19.376414183633177
55,0.72,0.1001997689043026,16.203595840277448
56,0.72,0.23590455245420522,18.646281944175694
57,0.7520049036352598,0.161307149875825,17.943626770470047
58,0.766,0.09700504222537051,17.066090760056667
59,0.766,0.2279730152359021,19.423514274246237
60,0.7506260187992728,0.22381145473977374,19.041126561301382
61,0.7572033203358625,0.12692696552598362,17.428751786184954
62,0.72,0.20557680656157917,18.100382518108425
63,0.766,0.14824870733625606,17.98847673205261
64,0.7513939285375492,0.17420585399451188,18.163583942652195
65,0.766,0.22602670841955183,19.38848075155193
66,0.766,0.1556730301344516,18.122114542420128
67,0.7545211842979423,0.1408262543128451,17.62529626359006
68,0.72,0.13621678510537075,16.851902131896672
69,0.766,0.130612375674574,17.671022762142332
70,0.72,0.20900706714627368,18.162127208632924
71,0.766,0.09391476706902202,17.010465807242397
72,0.766,0.19272438427467908,18.789038916944225
73,0.766,0.20061978479214787,18.93115612625866
74,0.72,0.177882429439748,17.601883729915464
75,0.72,0.09708278306684412,16.147490095203196
76,0.766,0.13307468360716024,17.715344304928884
77,0.7511788850547714,0.18342310388461794,18.32519357101855
78,0.766,0.18528316494381525,18.655096968988673
79,0.72,0.13984154089157438,16.91714773604834
80,0.7269902932935955,0.13343625491365085,16.941658454317626
81,0.766,0.18339697994526935,18.62114563901485
82,0.7615013613824678,0.14709386527171334,17.877716802540196
