universe_id,seed,complexity_score,life_score,lockin_score,goldilocks_score,stability_score,stable,lock_epoch,X,I
83,4250298146,79.04353452990928,96.36530179486391,44.39999999999999,92.73060358972783,100.0,1,278,18.69224496290385,0.1873469423835472
37,495388156,78.63760078022857,94.45640117034286,47.0,88.91280234068572,100.0,1,265,18.28216763976295,0.17620115669794884
66,1989589231,78.1827424468465,90.87411367026975,52.800000000000004,81.7482273405395,100.0,1,236,18.122114542420128,0.1556730301344516
118,3956541505,76.77283901119908,84.25925851679861,61.8,68.51851703359722,100.0,1,191,17.826569292139247,0.15354266682367612
99,1362906072,74.34874857541598,78.72312286312396,65.60000000000001,57.44624572624793,100.0,1,172,17.57922017271135,0.12551223181729707
113,2733982580,73.46395325981932,87.99592988972898,44.39999999999999,75.99185977945795,100.0,1,278,17.99352010973207,0.14852889498511507
65,824151368,73.38816226414441,80.78224339621661,58.60000000000001,61.56448679243323,100.0,1,207,19.38848075155193,0.22602670841955183
14,3768979941,72.57303915969068,88.25955873953602,41.2,76.51911747907204,100.0,1,294,18.00529878856778,0.14918326603154336
27,1383481267,70.1793821418567,85.36907321278505,39.800000000000004,70.73814642557012,100.0,1,301,17.876154725906243,0.1420085958836802
120,255825981,69.89591982840571,77.54387974260857,54.6,55.08775948521713,100.0,1,227,19.53316766824184,0.24261423413364247
