parameter,sensitivity,stable_mean,unstable_mean,parameter_range
E,0.04662514492421813,0.7514356855286206,0.7492909288621066,0.04600000000000004
I,0.01770222489957798,0.1736453723390215,0.17949357021529697,0.3303651326006421
X,0.010474543260219899,18.154330412674803,18.216702841117474,5.954668083671843
