group_name,universe_count,lockin_count,lockin_rate,ci_lower,ci_upper
Finely-Tuned,45,6,0.13333333333333333,0.06257063634349681,0.2617758224129731
Coarsely-Tuned,130,17,0.13076923076923078,0.08327322875925808,0.1994609884049121
