time,entropy,purity
0.0,0.08463129756783934,0.9919535276727965
0.05,0.1712653776539368,0.9124318328210066
0.1,0.2841210905363596,0.8537756275920477
0.15000000000000002,0.30994587863848383,0.8110221656418298
0.2,0.3824527215238013,0.8288665745764251
0.25,0.460885302349841,0.7254439469789291
0.30000000000000004,0.5098679101730392,0.705910943579644
0.35000000000000003,0.4829387138040749,0.72196594166951
0.4,0.4663014839170914,0.6659474177763388
0.45,0.46759872917114065,0.617041456017509
0.5,0.5955903625042174,0.6002229794547113
0.55,0.4712612687746085,0.6745797508209836
0.6000000000000001,0.49148527046371154,0.5945143115416874
0.65,0.5473552572641772,0.5882979996133424
0.7000000000000001,0.633719337485009,0.5794709449995938
0.75,0.6211029843615669,0.5296486480037415
0.8,0.6056766976081464,0.5450810407814358
0.8500000000000001,0.6910425457769087,0.5391230110042116
0.9,0.6982129548751024,0.5605195335444294
0.9500000000000001,0.6967349941961811,0.5237084529382166
1.0,0.7330911679243306,0.44951198179255336
1.05,0.6757860552568287,0.5251304417515236
1.1,0.6996314077433674,0.5013036786960852
1.1500000000000001,0.7474252130968775,0.429589229477539
1.2000000000000002,0.7628242060415635,0.43993098549842385
1.25,0.7936208920429368,0.3937203653380937
1.3,0.8316507289718779,0.41748088508144643
1.35,0.7896494874190596,0.37831200528418096
1.4000000000000001,0.8137664335100717,0.3616919779456958
1.4500000000000002,0.8142176742969595,0.3535601838608138
1.5,0.8314508226221132,0.3841230888182452
1.55,0.854062320385641,0.3559397714115306
1.6,0.8463508019000887,0.37041004497837265
1.6500000000000001,0.9313012781225887,0.32225235483391856
1.7000000000000002,0.9192267558619368,0.32756424012035384
1.75,0.8664494882326357,0.4156609713604803
1.8,0.9077715190709492,0.34429571435619316
1.85,0.9360928977422611,0.3283628167889973
1.9000000000000001,0.8600917160938615,0.3195101849454115
1.9500000000000002,0.8731655998831338,0.3675673750106633
2.0,0.8905067179213753,0.34563276907240836
2.0500000000000003,0.9141769672655548,0.3022964520951743
2.1,0.9225412308956752,0.3169647321256909
2.15,0.8887157597963389,0.29790541661960807
2.2,0.9253985003291068,0.29025854798968104
2.25,0.9591817779656666,0.28613333191213985
2.3000000000000003,0.9488675183392458,0.26303267959729076
2.35,0.9666969116596376,0.301023277605551
2.4000000000000004,0.9325849836238478,0.2479389991728075
2.45,0.944756153641937,0.29455162023376097
2.5,0.9043704992019171,0.3148765911663169
2.5500000000000003,0.9654714798348752,0.2989516329579392
2.6,0.9393181194353162,0.27944129346412144
2.6500000000000004,0.9864177752668071,0.3025568647177699
2.7,0.9857301410495634,0.2088877135264533
2.75,1.0118634833247195,0.30887746188568216
2.8000000000000003,0.8952695929897124,0.3080540078502859
2.85,0.9663117921582066,0.21076374423236277
2.9000000000000004,0.9715211029861206,0.2941588738786855
2.95,0.9749828104801779,0.23069828377597223
3.0,0.9436099000282613,0.2813787612695371
3.0500000000000003,1.0160389304042705,0.2863215418546994
3.1,1.0157089608346028,0.26249998916067085
3.1500000000000004,0.9918870257264817,0.31074004804078503
3.2,0.9752812325782382,0.2319349144834942
3.25,0.9320924541463886,0.25921146582765087
3.3000000000000003,0.963514257008852,0.2623429365904729
3.35,1.030893347576678,0.27651872775124464
3.4000000000000004,0.9424876572644568,0.30184667591217257
3.45,0.9536179235348777,0.29003398219574583
3.5,0.9625007278294764,0.28521701202677696
3.5500000000000003,1.0017517369158535,0.24098685043674345
3.6,1.0010904697111105,0.25578176286386245
3.6500000000000004,1.042917004934955,0.28124664894181667
3.7,0.9300778818698856,0.24856641891622527
3.75,1.0190266637796852,0.2900990389441492
3.8000000000000003,0.9830989726735572,0.21057670180891314
3.85,0.9823658383398293,0.2846405960157153
3.9000000000000004,0.9602487237137673,0.2466214527264216
3.95,0.9706678777814459,0.30299134121060967
4.0,1.010786235010998,0.26668732930795364
4.05,0.974729051196808,0.17668707346922957
4.1000000000000005,0.9924529203997068,0.24948210203258803
4.15,1.024487304190753,0.2321362131536855
4.2,0.9991378932299055,0.22851096253128705
4.25,1.0417932230167453,0.22489725290700774
4.3,0.9841716044971132,0.3232989624369764
4.3500000000000005,0.9867460721063385,0.29055829951145834
4.4,0.9885053113474425,0.31096101782608826
4.45,1.0052616996555628,0.26969256482146525
4.5,0.9390351501407734,0.23546196261518865
4.55,1.0125368180621324,0.25571620414169555
4.6000000000000005,0.9682846523584798,0.29051640257773914
4.65,0.9750529547017933,0.23706380745446837
4.7,0.9621946430142791,0.25019422475264397
4.75,0.9834896263203262,0.25821815243168816
4.800000000000001,0.9614463286432279,0.298547311260956
4.8500000000000005,1.0272504712572017,0.26473938718299533
4.9,0.9940803830750687,0.2536510938830421
4.95,0.9892624847849769,0.3045198845588162
5.0,1.0579214104058248,0.2777691234260802
5.050000000000001,0.9879279990229175,0.2769518708479223
5.1000000000000005,1.0229097761214203,0.2619100520101853
5.15,0.9838966730077049,0.3088953815631785
5.2,0.9712515235366617,0.3320827904462352
5.25,0.974222040899003,0.307009210765525
5.300000000000001,0.9958086305949514,0.2650788725198695
5.3500000000000005,1.0096757397141953,0.2718448798334703
5.4,1.0128867284543603,0.22122127270442843
5.45,0.9772113314501052,0.22074556370200832
5.5,1.045850423456575,0.2866764689950846
5.550000000000001,0.9802344634436609,0.24163980584620218
5.6000000000000005,0.9941268252369047,0.2854710471019688
5.65,0.9568982714379123,0.2610169497148905
5.7,0.9857802405501557,0.22625611481928393
5.75,0.9406819463059778,0.2749612745566455
5.800000000000001,0.9507483940130876,0.22871128272105015
5.8500000000000005,0.9772276300745696,0.23708832133972263
5.9,1.023843823216909,0.24439396290306142
5.95,1.0319679327104727,0.22922625572377256
6.0,0.9852845022525059,0.2587397330152198
6.050000000000001,1.0431362288232349,0.1958203375949818
6.1000000000000005,1.0227453680550034,0.2773897625430811
6.15,1.0332743564477223,0.2512324180920476
6.2,1.0013256448662469,0.3208187469782946
6.25,0.9771474912394869,0.2677902567947209
6.300000000000001,0.9958709900028727,0.23450979177829684
6.3500000000000005,0.9953184287543985,0.2618056095718983
6.4,1.0197599363857417,0.2397732012624005
6.45,1.0009556014054568,0.2715550602540771
6.5,0.9779267549653596,0.267600459075202
6.550000000000001,1.0214076755215664,0.2618092108053826
6.6000000000000005,1.0020894744886826,0.23353418636090487
6.65,0.9636292851838815,0.2188260372466036
6.7,1.0106708066330357,0.31953708752956383
6.75,0.9745286001866326,0.2787622712029339
6.800000000000001,1.0181615178669157,0.23516904908420283
6.8500000000000005,0.9566921677147371,0.2702478231673685
6.9,0.9655373141483605,0.2589621562581809
6.95,0.964148979906366,0.26836220307165853
7.0,1.0226051829172331,0.2722924485407011
7.050000000000001,0.9778811938442947,0.25413528704412336
7.1000000000000005,0.9438659183981777,0.2396038127128726
7.15,1.0360448918010228,0.22712770266921434
7.2,0.9770984733087844,0.31779912783753544
7.25,1.0257599103546875,0.25175024068456764
7.300000000000001,1.0330986278221188,0.20942107579955738
7.3500000000000005,0.9614312818816819,0.2530481092618022
7.4,0.9745849822689386,0.29827665802664316
7.45,1.0575039140294635,0.2104005142176636
7.5,0.9291347357440873,0.26794729180031135
7.550000000000001,1.0228311694958099,0.28726900147519885
7.6000000000000005,0.9740080122603657,0.26459680679445
7.65,1.0420496862757291,0.26018846474033375
7.7,0.9802119740014563,0.29853261443942075
7.75,1.036952987274896,0.2638982684518728
7.800000000000001,0.9994250124184781,0.24072929378223074
7.8500000000000005,1.019035464068906,0.30855469894835547
7.9,0.9647579443939526,0.25481909904717776
7.95,0.954317059854912,0.22116348848576492
8.0,0.9402274731076338,0.2566309937195633
8.05,0.9835764544090281,0.2258416918816263
8.1,1.0186184767595967,0.2357394499405986
8.15,1.023293977049602,0.21767392103659294
8.200000000000001,1.009908745205875,0.26236362094448284
8.25,1.0180819028413362,0.19843478894361088
8.3,1.048785333885931,0.2300438846935995
8.35,1.005646299355768,0.2734047960588496
8.4,0.9782582798219974,0.2686794530702117
8.450000000000001,0.9829837127924299,0.19494352861319
8.5,0.9959686959295023,0.2899367273590696
8.55,0.9781165423461299,0.2289426825955066
8.6,1.0061077793926583,0.27438621427695314
8.65,0.9577137426083837,0.26282832975729764
8.700000000000001,1.0162920881389903,0.23789217861680995
8.75,0.9804369859830702,0.23084705016093315
8.8,0.9942746893011746,0.25173901106164914
8.85,0.9890985277822889,0.22748219085669982
8.9,1.0114159660671846,0.23650629127803605
8.950000000000001,0.9656988230252647,0.28233084188875124
9.0,1.0310005403293918,0.23149730121502754
9.05,1.0075668862608769,0.2755179369829804
9.1,1.0119395605906116,0.2817177630783915
9.15,0.9754024724389814,0.29902539069242356
9.200000000000001,0.9697687430082754,0.2008028194165976
9.25,1.0260898379225434,0.23439494205482503
9.3,1.0229157437791256,0.21640887730754493
9.35,0.982684538411823,0.257676328208172
9.4,0.9978392927988567,0.28120416707481516
9.450000000000001,1.0388554287897678,0.23409091509925964
9.5,0.9742910118466378,0.22365100244777447
9.55,0.9339657114026344,0.21753494991346484
9.600000000000001,0.9857241516830011,0.22702831676209934
9.65,1.025126484092064,0.25716985943542187
9.700000000000001,0.9569799983535668,0.25619896457498453
9.75,1.0042557466869415,0.268413439490866
9.8,0.967025676712279,0.25061954426144323
9.850000000000001,1.0138718066329009,0.24100122905990018
9.9,1.031318159688507,0.1955401445218206
9.950000000000001,0.9911868544540465,0.2912527745487428
10.0,0.9861081888984308,0.27469409669313677
