time,exp_A,var_A
0.0,-0.23315763423541364,0.9456375175977453
0.02,-0.22380112599529306,0.9499130560032389
0.04,-0.22292033215950913,0.9503065255098941
0.06,-0.221381213970124,0.9509903581011144
0.08,-0.1353835580974589,0.981671292196872
0.1,-0.128704777048188,0.9834350803649762
0.12,-0.11982548977219007,0.9856418520008547
0.14,-0.11314515125366201,0.9871981747477862
0.16,-0.11272321094285978,0.9872934777147315
0.18,-0.10859334550991992,0.9882074853109629
0.2,-0.10946544191225455,0.9880173170269548
0.22,-0.1040215537271067,0.9891795163601989
0.24,-0.08436164085048986,0.992883113553013
0.26,-0.0770564260619799,0.9940623072025543
0.28,-0.07317016386486414,0.9946461271199888
0.3,-0.08709164479513276,0.9924150454068782
0.32,-0.08092878720572363,0.9934505314014109
0.34,-0.07848102550864314,0.9938407286351117
0.36,-0.07370311055937587,0.9945678514938726
0.38,-0.10415475591204876,0.9891517868209015
0.4,-0.10183731064703386,0.9896291621601795
0.42,-0.09933497435148081,0.9901325628705906
0.44,-0.10695313872249868,0.9885610261174059
0.46,-0.10034815144575987,0.9899302485014189
0.48,-0.09523055443262435,0.9909311415024552
0.5,-0.09791766204036312,0.9904121314605492
0.52,-0.09175253069110817,0.9915814731117772
0.54,-0.08751047858773958,0.992341916137345
0.56,-0.08297628179321889,0.9931149366597724
0.58,-0.07807684471196677,0.9939040063198233
0.6,-0.06920619567897071,0.995210502479644
0.62,-0.06602633208882727,0.9956405234708957
0.64,-0.06242208282958417,0.9961034835752163
0.66,-0.0675381728696419,0.9954385952054302
0.68,-0.06136851289774087,0.9962339056247198
0.7000000000000001,-0.05744888383960811,0.9966996257455832
0.72,-0.0645679606176294,0.9958309784616801
0.74,-0.06155730042493526,0.9962106987643945
0.76,-0.05788111415592784,0.9966497766240683
0.78,-0.05172034860926747,0.9973250055397358
0.8,-0.04778242838141275,0.9977168395379754
0.8200000000000001,-0.045379457179396926,0.9979407048661033
0.84,-0.04240775989140222,0.9982015819009931
0.86,-0.03885614807017945,0.998490199757148
0.88,-0.03777988049483469,0.9985726806297962
0.9,-0.03395156837455504,0.9988472910049079
0.92,-0.040900587938790395,0.9983271419062612
0.9400000000000001,-0.044104421883706,0.9980547999703041
0.96,-0.043082813913819934,0.9981438711452671
0.98,-0.041918773445667856,0.9982428164328105
1.0,-0.03906534453099139,0.9984738988566749
1.02,-0.03571307718326555,0.9987245761181022
1.04,-0.03137760867902556,0.9990154456735856
1.06,-0.02974447437590519,0.9991152662441013
1.08,-0.03003106460245164,0.9990981351588434
1.1,-0.027460672622684035,0.9992459114591098
1.12,-0.024188142401055435,0.9994149337671863
1.1400000000000001,-0.02256746724169595,0.9994907094222952
1.16,-0.02160918403892212,0.9995330431651722
1.18,-0.019780152614666674,0.9996087455625408
1.2,-0.02099681455098054,0.9995591337787118
1.22,-0.020363817015322416,0.9995853149565664
1.24,-0.018843043283713473,0.9996449397198081
1.26,-0.02145944676371553,0.9995394921445957
1.28,-0.01972294435321456,0.99961100546604
1.3,-0.018422075233018503,0.9996606271441092
1.32,-0.01725751797750044,0.9997021780732561
1.34,-0.016419727250785388,0.9997303925570096
1.36,-0.015787060593775437,0.9997507687178084
1.3800000000000001,-0.01615877185581066,0.9997388940921118
1.4000000000000001,-0.015442564288934618,0.9997615272081821
1.42,-0.014771609825808274,0.999781799543154
1.44,-0.01434813709623961,0.9997941309618673
1.46,-0.013396203997818212,0.9998205417184488
1.48,-0.014400480311898722,0.9997926261667867
1.5,-0.013446447447212961,0.9998191930510492
1.52,-0.012761055408436028,0.9998371554648628
1.54,-0.011905772476401288,0.9998582525817402
1.56,-0.012572108538240145,0.9998419420869029
1.58,-0.012206716279662272,0.999850996077668
1.6,-0.012000085440682845,0.9998559979494163
1.62,-0.011348885085430499,0.9998712028073176
