universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch,angle_deg,aoe_align_score,aoe_flag,ft_acc_delta,ft_auc_delta,ft_r2_delta,abs_E_minus_I,logE,logX,E_rank,X_rank,dist_to_goldilocks
0,3100453613,8.328826778498275,0.0,8.328826778498275,1,1,462,666,,,0,0.0,0.0,0.0,8.328826778498275,2.1197226033422023,2.1197226033422023,0.307,0.307,
1,1669419418,12.429042145915133,0.0,12.429042145915133,0,0,-1,-1,,,0,0.0,0.0,0.0,12.429042145915133,2.52003584269142,2.52003584269142,0.498,0.498,
2,725523141,34.40152678943631,0.0,34.40152678943631,1,1,169,411,,,0,0.0,0.0,0.0,34.40152678943631,3.5381009468083136,3.5381009468083136,0.9042,0.9042,
3,3001578003,10.488343930323609,0.0,10.488343930323609,0,0,-1,-1,,,0,0.0,0.0,0.0,10.488343930323609,2.3502645386701633,2.3502645386701633,0.4095,0.4095,
4,3620803166,3.25593666620598,0.0,3.25593666620598,0,0,-1,-1,,,0,0.0,0.0,0.0,3.25593666620598,1.18047999654048,1.18047999654048,0.0468,0.0468,
5,2923122605,2.2968368897511944,0.0,2.2968368897511944,0,0,-1,-1,,,0,0.0,0.0,0.0,2.2968368897511944,0.8315329110646804,0.8315329110646804,0.016,0.016,
6,14847474,13.437588820639673,0.0,13.437588820639673,0,0,-1,-1,,,0,0.0,0.0,0.0,13.437588820639673,2.598055915774179,2.598055915774179,0.5426,0.5426,
7,1214765536,1.950799626824384,0.0,1.950799626824384,0,0,-1,-1,,,0,0.0,0.0,0.0,1.950799626824384,0.6682393535606235,0.6682393535606235,0.0092,0.0092,
8,3130079873,11.60538463563262,0.0,11.60538463563262,0,0,-1,-1,,,0,0.0,0.0,0.0,11.60538463563262,2.45146918313524,2.45146918313524,0.4611,0.4611,
9,1902528491,10.74822505094343,0.0,10.74822505094343,0,0,-1,-1,,,0,0.0,0.0,0.0,10.74822505094343,2.374740629401208,2.374740629401208,0.4218,0.4218,
10,4242424844,5.501886711161977,0.0,5.501886711161977,0,0,-1,-1,,,0,0.0,0.0,0.0,5.501886711161977,1.7050910718074765,1.7050910718074765,0.155,0.155,
11,2909672376,2.8654634259131293,0.0,2.8654634259131293,0,0,-1,-1,,,0,0.0,0.0,0.0,2.8654634259131293,1.0527300913316648,1.0527300913316648,0.0312,0.0312,
12,2033908862,11.41296720108353,0.0,11.41296720108353,0,0,-1,-1,,,0,0.0,0.0,0.0,11.41296720108353,2.434750182746649,2.434750182746649,0.4518,0.4518,
13,1496052112,6.942836854494203,0.0,6.942836854494203,1,0,668,-1,,,0,0.0,0.0,0.0,6.942836854494203,1.9377104596548163,1.9377104596548163,0.2336,0.2336,
14,3552697030,26.387614164818796,0.0,26.387614164818796,0,0,-1,-1,,,0,0.0,0.0,0.0,26.387614164818796,3.2728947396385917,3.2728947396385917,0.8281,0.8281,
15,2007417191,12.483028584331308,0.0,12.483028584331308,0,0,-1,-1,,,0,0.0,0.0,0.0,12.483028584331308,2.5243700085270877,2.5243700085270877,0.5004,0.5004,
16,990923980,7.59975012481882,0.0,7.59975012481882,0,0,-1,-1,,,0,0.0,0.0,0.0,7.59975012481882,2.0281153684386,2.0281153684386,0.2704,0.2704,
17,3597786598,27.724913259452485,0.0,27.724913259452485,1,1,192,476,,,0,0.0,0.0,0.0,27.724913259452485,3.3223314046275143,3.3223314046275143,0.8451,0.8451,
18,3139533639,20.842416431050033,0.0,20.842416431050033,1,1,276,456,,,0,0.0,0.0,0.0,20.842416431050033,3.0369901617492427,3.0369901617492427,0.7443,0.7443,
19,3213105910,6.64209840483634,0.0,6.64209840483634,0,0,-1,-1,,,0,0.0,0.0,0.0,6.64209840483634,1.8934279383879162,1.8934279383879162,0.2179,0.2179,
20,1761380037,18.125402624140015,0.0,18.125402624140015,1,1,312,755,,,0,0.0,0.0,0.0,18.125402624140015,2.897314414239728,2.897314414239728,0.6844,0.6844,
21,3435597209,69.35692044168387,0.0,69.35692044168387,0,0,-1,-1,,,0,0.0,0.0,0.0,69.35692044168387,4.239265931856906,4.239265931856906,0.9846,0.9846,
22,1796305058,27.336310992755575,0.0,27.336310992755575,1,0,473,-1,,,0,0.0,0.0,0.0,27.336310992755575,3.3082158914221345,3.3082158914221345,0.8406,0.8406,
23,1777970481,16.933341808694138,0.0,16.933341808694138,1,0,562,-1,,,0,0.0,0.0,0.0,16.933341808694138,2.8292845664296937,2.8292845664296937,0.6538,0.6538,
24,3993287930,6.34568741855396,0.0,6.34568741855396,0,0,-1,-1,,,0,0.0,0.0,0.0,6.34568741855396,1.847775435495763,1.847775435495763,0.2032,0.2032,
25,1366254338,25.662949497803446,0.0,25.662949497803446,0,0,-1,-1,,,0,0.0,0.0,0.0,25.662949497803446,3.24504829793659,3.24504829793659,0.819,0.819,
26,1773908218,6.620275156251881,0.0,6.620275156251881,1,1,532,695,,,0,0.0,0.0,0.0,6.620275156251881,1.8901369334737943,1.8901369334737943,0.2162,0.2162,
27,1100755776,28.85313946412047,0.0,28.85313946412047,0,0,-1,-1,,,0,0.0,0.0,0.0,28.85313946412047,3.3622188072804597,3.3622188072804597,0.8571,0.8571,
28,1031323328,16.552586594017537,0.0,16.552586594017537,0,0,-1,-1,,,0,0.0,0.0,0.0,16.552586594017537,2.806542379279908,2.806542379279908,0.6443,0.6443,
29,155192768,34.64644234489915,0.0,34.64644234489915,1,0,255,-1,,,0,0.0,0.0,0.0,34.64644234489915,3.5451950463357176,3.5451950463357176,0.9053,0.9053,
30,2690281322,76.54253571922477,0.0,76.54253571922477,1,0,550,-1,,,0,0.0,0.0,0.0,76.54253571922477,4.337846608782811,4.337846608782811,0.9894,0.9894,
31,2595129926,12.844819045678689,0.0,12.844819045678689,0,0,-1,-1,,,0,0.0,0.0,0.0,12.844819045678689,2.5529405429328142,2.5529405429328142,0.5166,0.5166,
32,2260056069,11.617961864063574,0.0,11.617961864063574,1,0,665,-1,,,0,0.0,0.0,0.0,11.617961864063574,2.4525523370778277,2.4525523370778277,0.4618,0.4618,
33,1828338387,17.65397674865963,0.0,17.65397674865963,1,0,705,-1,,,0,0.0,0.0,0.0,17.65397674865963,2.870961069539319,2.870961069539319,0.6744,0.6744,
34,2819067338,23.810384514498732,0.0,23.810384514498732,0,0,-1,-1,,,0,0.0,0.0,0.0,23.810384514498732,3.170121809654376,3.170121809654376,0.7914,0.7914,
35,785594620,43.02509492881033,0.0,43.02509492881033,1,0,690,-1,,,0,0.0,0.0,0.0,43.02509492881033,3.7617835484591744,3.7617835484591744,0.9414,0.9414,
36,4092908915,3.5039759241820314,0.0,3.5039759241820314,0,0,-1,-1,,,0,0.0,0.0,0.0,3.5039759241820314,1.2538983020982086,1.2538983020982086,0.0574,0.0574,
37,3712949582,22.96426126642462,0.0,22.96426126642462,1,0,516,-1,,,0,0.0,0.0,0.0,22.96426126642462,3.133939149458299,3.133939149458299,0.7794,0.7794,
38,2841532208,22.298091732346865,0.0,22.298091732346865,0,0,-1,-1,,,0,0.0,0.0,0.0,22.298091732346865,3.10450110226408,3.10450110226408,0.7693,0.7693,
39,3087396059,4.1998638025433,0.0,4.1998638025433,0,0,-1,-1,,,0,0.0,0.0,0.0,4.1998638025433,1.435052096797882,1.435052096797882,0.0887,0.0887,
40,2053444703,8.999414575607855,0.0,8.999414575607855,1,0,790,-1,,,0,0.0,0.0,0.0,8.999414575607855,2.1971595280659897,2.1971595280659897,0.3391,0.3391,
41,4058610195,4.355754280665025,0.0,4.355754280665025,0,0,-1,-1,,,0,0.0,0.0,0.0,4.355754280665025,1.4714977940824965,1.4714977940824965,0.0953,0.0953,
42,2280127960,2.667164270003934,0.0,2.667164270003934,0,0,-1,-1,,,0,0.0,0.0,0.0,2.667164270003934,0.9810158368557285,0.9810158368557285,0.0257,0.0257,
43,466614171,46.595080502072015,0.0,46.595080502072015,1,1,198,542,,,0,0.0,0.0,0.0,46.595080502072015,3.8414949669337983,3.8414949669337983,0.9531,0.9531,
44,3190068794,11.32966458329054,0.0,11.32966458329054,0,0,-1,-1,,,0,0.0,0.0,0.0,11.32966458329054,2.4274244703026295,2.4274244703026295,0.448,0.448,
45,3818796232,14.463572668228117,0.0,14.463572668228117,0,0,-1,-1,,,0,0.0,0.0,0.0,14.463572668228117,2.6716332587048774,2.6716332587048774,0.5832,0.5832,
46,984341510,51.484131993114325,0.0,51.484131993114325,1,1,195,433,,,0,0.0,0.0,0.0,51.484131993114325,3.941273643553469,3.941273643553469,0.9648,0.9648,
47,3227683867,10.971199114897694,0.0,10.971199114897694,1,0,723,-1,,,0,0.0,0.0,0.0,10.971199114897694,2.3952735768729827,2.3952735768729827,0.4319,0.4319,
48,2101540400,12.19958444040359,0.0,12.19958444040359,0,0,-1,-1,,,0,0.0,0.0,0.0,12.19958444040359,2.50140188889716,2.50140188889716,0.4877,0.4877,
49,4286398862,42.72780910122167,0.0,42.72780910122167,1,1,277,586,,,0,0.0,0.0,0.0,42.72780910122167,3.7548499752598112,3.7548499752598112,0.9407,0.9407,
50,3097588737,8.916381081057287,0.0,8.916381081057287,0,0,-1,-1,,,0,0.0,0.0,0.0,8.916381081057287,2.1878901558684607,2.1878901558684607,0.3348,0.3348,
51,571424042,10.14366529622794,0.0,10.14366529622794,0,0,-1,-1,,,0,0.0,0.0,0.0,10.14366529622794,2.3168494019049453,2.3168494019049453,0.3942,0.3942,
52,3708104766,5.6999894345745235,0.0,5.6999894345745235,1,0,663,-1,,,0,0.0,0.0,0.0,5.6999894345745235,1.740464321255545,1.740464321255545,0.1667,0.1667,
53,4012020418,5.982654895789786,0.0,5.982654895789786,0,0,-1,-1,,,0,0.0,0.0,0.0,5.982654895789786,1.788864431947166,1.788864431947166,0.1826,0.1826,
54,2757677838,13.310733111032935,0.0,13.310733111032935,0,0,-1,-1,,,0,0.0,0.0,0.0,13.310733111032935,2.588570710607238,2.588570710607238,0.5377,0.5377,
55,2336748810,30.470407917256573,0.0,30.470407917256573,1,1,192,457,,,0,0.0,0.0,0.0,30.470407917256573,3.416755980412357,3.416755980412357,0.8722,0.8722,
56,2668887029,14.570935838197071,0.0,14.570935838197071,1,1,520,655,,,0,0.0,0.0,0.0,14.570935838197071,2.6790288486315945,2.6790288486315945,0.5865,0.5865,
57,4149919237,45.89781525429336,0.0,45.89781525429336,1,0,360,-1,,,0,0.0,0.0,0.0,45.89781525429336,3.8264175179880247,3.8264175179880247,0.9506,0.9506,
58,50409655,13.051379405971621,0.0,13.051379405971621,1,0,729,-1,,,0,0.0,0.0,0.0,13.051379405971621,2.5688938297897788,2.5688938297897788,0.5269,0.5269,
59,1208504426,18.65279713881674,0.0,18.65279713881674,0,0,-1,-1,,,0,0.0,0.0,0.0,18.65279713881674,2.9259961154775125,2.9259961154775125,0.6956,0.6956,
60,600542329,17.533425042479244,0.0,17.533425042479244,0,0,-1,-1,,,0,0.0,0.0,0.0,17.533425042479244,2.8641090616215847,2.8641090616215847,0.671,0.671,
61,2847124405,5.860740970990033,0.0,5.860740970990033,1,0,720,-1,,,0,0.0,0.0,0.0,5.860740970990033,1.768276041156965,1.768276041156965,0.1766,0.1766,
62,2616378457,2.6163536015247546,0.0,2.6163536015247546,0,0,-1,-1,,,0,0.0,0.0,0.0,2.6163536015247546,0.9617815932394342,0.9617815932394342,0.024,0.024,
63,2426771049,4.981047745992342,0.0,4.981047745992342,0,0,-1,-1,,,0,0.0,0.0,0.0,4.981047745992342,1.6056402596692443,1.6056402596692443,0.1266,0.1266,
64,3094646617,15.788492974494584,0.0,15.788492974494584,1,1,563,670,,,0,0.0,0.0,0.0,15.788492974494584,2.759281381945475,2.759281381945475,0.623,0.623,
65,3595300130,11.49612332209143,0.0,11.49612332209143,0,0,-1,-1,,,0,0.0,0.0,0.0,11.49612332209143,2.4420098761106637,2.4420098761106637,0.4553,0.4553,
66,1902250175,8.877571002874541,0.0,8.877571002874541,1,0,562,-1,,,0,0.0,0.0,0.0,8.877571002874541,2.1835279838741486,2.1835279838741486,0.3329,0.3329,
67,4151824697,9.052000513832281,0.0,9.052000513832281,0,0,-1,-1,,,0,0.0,0.0,0.0,9.052000513832281,2.202985784535903,2.202985784535903,0.342,0.342,
68,1890632241,32.49522982745817,0.0,32.49522982745817,1,0,412,-1,,,0,0.0,0.0,0.0,32.49522982745817,3.481093304023537,3.481093304023537,0.8901,0.8901,
69,1655832140,7.637176360330179,0.0,7.637176360330179,0,0,-1,-1,,,0,0.0,0.0,0.0,7.637176360330179,2.0330279485204774,2.0330279485204774,0.2718,0.2718,
70,263953297,20.542682712543037,0.0,20.542682712543037,1,0,642,-1,,,0,0.0,0.0,0.0,20.542682712543037,3.022504805151135,3.022504805151135,0.7369,0.7369,
71,3596084340,11.862794907828917,0.0,11.862794907828917,1,0,500,-1,,,0,0.0,0.0,0.0,11.862794907828917,2.4734070241395614,2.4734070241395614,0.4729,0.4729,
72,1726683160,10.59518381408036,0.0,10.59518381408036,0,0,-1,-1,,,0,0.0,0.0,0.0,10.59518381408036,2.3603995407043934,2.3603995407043934,0.4145,0.4145,
73,1928103456,5.038339574172556,0.0,5.038339574172556,0,0,-1,-1,,,0,0.0,0.0,0.0,5.038339574172556,1.6170765782341072,1.6170765782341072,0.1303,0.1303,
74,2937729246,3.629149751878814,0.0,3.629149751878814,0,0,-1,-1,,,0,0.0,0.0,0.0,3.629149751878814,1.2889983927087836,1.2889983927087836,0.0615,0.0615,
75,2229908443,4.7413253806652715,0.0,4.7413253806652715,1,0,243,-1,,,0,0.0,0.0,0.0,4.7413253806652715,1.5563167127959874,1.5563167127959874,0.1149,0.1149,
76,4075856290,7.528527543408392,0.0,7.528527543408392,0,0,-1,-1,,,0,0.0,0.0,0.0,7.528527543408392,2.018699477326356,2.018699477326356,0.2672,0.2672,
77,304310765,6.206563854717072,0.0,6.206563854717072,1,0,638,-1,,,0,0.0,0.0,0.0,6.206563854717072,1.825607418282831,1.825607418282831,0.1938,0.1938,
78,3845456291,8.467364724593743,0.0,8.467364724593743,1,0,558,-1,,,0,0.0,0.0,0.0,8.467364724593743,2.13621932974453,2.13621932974453,0.3132,0.3132,
79,3130899799,8.288982862458614,0.0,8.288982862458614,0,0,-1,-1,,,0,0.0,0.0,0.0,8.288982862458614,2.1149272671032846,2.1149272671032846,0.3046,0.3046,
80,745799584,14.708594324525821,0.0,14.708594324525821,0,0,-1,-1,,,0,0.0,0.0,0.0,14.708594324525821,2.68843197087167,2.68843197087167,0.5903,0.5903,
81,927527750,17.063164913467002,0.0,17.063164913467002,1,0,393,-1,,,0,0.0,0.0,0.0,17.063164913467002,2.8369220414733975,2.8369220414733975,0.6576,0.6576,
82,3680672393,8.998280764409378,0.0,8.998280764409378,1,0,716,-1,,,0,0.0,0.0,0.0,8.998280764409378,2.1970335329117705,2.1970335329117705,0.3388,0.3388,
83,712009376,21.730162768061017,0.0,21.730162768061017,1,1,191,533,,,0,0.0,0.0,0.0,21.730162768061017,3.078701284717138,3.078701284717138,0.7611,0.7611,
84,1158196057,13.645633821279482,0.0,13.645633821279482,0,0,-1,-1,,,0,0.0,0.0,0.0,13.645633821279482,2.6134196038898865,2.6134196038898865,0.5504,0.5504,
