q_lo,q_hi,gap_lo,gap_hi,n,k,p,ci_lo,ci_hi
0.0,0.1,0.7849676328421649,4.44327891234833,1000,22,0.022,0.014572598673771597,0.03308591637481774
0.1,0.2,4.44327891234833,6.320339851931377,1000,99,0.099,0.08199515586127223,0.119074016805013
0.2,0.30000000000000004,6.320339851931377,8.041259835490566,1000,124,0.124,0.10499965005666721,0.14587817768029848
0.30000000000000004,0.4,8.041259835490566,10.003252788662582,1000,179,0.179,0.15648172434680807,0.20397514454565469
0.4,0.5,10.003252788662582,12.22244832900294,1000,189,0.189,0.1659414607063728,0.21443887021436217
0.5,0.6000000000000001,12.22244832900294,14.855950082548143,1000,203,0.203,0.17922776346679883,0.22904541429351719
0.6000000000000001,0.7000000000000001,14.855950082548143,18.291722941004217,1000,244,0.244,0.21839238069189443,0.27156699138433754
0.7000000000000001,0.8,18.291722941004217,23.294314758271753,1000,320,0.32,0.2918235055211273,0.3495541779699734
0.8,0.9,23.294314758271753,33.54990660587609,1000,484,0.484,0.4531460446312376,0.514976416123527
0.9,1.0,33.54990660587609,213.03365985370252,1000,612,0.612,0.5814233569164107,0.6417194178002379
