Target,E_importance,I_importance
Reaching Lock-in,0.571507103635361,0.428492896364639
Stability Reached,0.7733871137936675,0.22661288620633244
Time to Lock-in,0.9098345569354664,0.09016544306453358
Time to Stabilize,0.8440655069145885,0.1559344930854115
Cold Spot Presence,0.6351373404302104,0.3855466990228674
Cold Spot Depth,0.6225946074437645,0.3642056204428729
AoE Strength,0.6225704242700754,0.32713789071235705
Entropy Volatility,0.6382002189880064,0.3779134166730351
CMB Quality,0.4665964791256326,0.49680405822072754
Feature Importance,0.6806380585431795,0.3430935667541113
Power Law Fit Quality,0.5695196344005421,0.43482710382596257
Phase Transition Sharpness,0.5593529578332146,0.4310617954563531
Correlation Matrix Strength,0.6133907569288747,0.3800391407234774
Finetuning Sensitivity,0.5466316423326937,0.49819610286733984
E-I Balance,0.5230693552454662,0.4896071047523787
Planck Chi-Squared,0.6994359314354588,0.29317272603254246
Planck R-Squared,0.7444576833523022,0.34361293986479846
CMB Anomaly Score,0.45611267871616323,0.4781745500312962
CMB Statistical Significance,0.5452732056813747,0.5074915519527415
