universe_id,E,I,topological_defects,magnetic_field_strength,string_tension,string_density,wall_energy_density,wall_probability,pbh_mass_fraction,anomaly_seed
156,0.72,0.252670993657931,False,9.35059311078353e-10,1.008e-06,0.09505341987315863,1.006e-12,0.04505341987315862,9.792670993657932e-07,42
145,0.72,0.35812904566116566,False,9.670131008353332e-10,1.008e-06,0.09716258091322333,1.006e-12,0.04716258091322331,9.898129045661166e-07,42
101,0.72,0.41709429329233977,False,9.84879570867579e-10,1.008e-06,0.0983418858658468,1.006e-12,0.0483418858658468,9.95709429329234e-07,42
127,0.766,0.21282752193917764,False,9.440052490489512e-10,1.0264e-06,0.09425655043878356,1.0198e-12,0.04425655043878356,9.844827521939178e-07,42
141,0.766,0.37332019043246956,False,9.937419270150224e-10,1.0264e-06,0.0974664038086494,1.0198e-12,0.047466403808649395,1.000532019043247e-06,42
139,0.766,0.22658590480116947,False,9.482689718978824e-10,1.0264e-06,0.0945317180960234,1.0198e-12,0.04453171809602339,9.85858590480117e-07,42
42,0.72,0.4255255097233576,False,9.874342294461773e-10,1.008e-06,0.09851051019446716,1.006e-12,0.04851051019446716,9.965525509723357e-07,42
15,0.7592880735899284,0.3635580480895207,False,9.874980441489772e-10,1.0237152294359714e-06,0.09727116096179042,1.0177864220769786e-12,0.04727116096179042,9.982134195269376e-07,42
126,0.766,0.23593145198982682,False,9.511651569716474e-10,1.0264e-06,0.09471862903979654,1.0198e-12,0.04471862903979654,9.867931451989827e-07,42
65,0.72,0.24062879480309057,False,9.314105248253364e-10,1.008e-06,0.09481257589606182,1.006e-12,0.044812575896061815,9.780628794803089e-07,42
