epoch,mean_X,std_X
0,20.59488189498151,1.2054188253710785
1,20.6004952791428,1.1914095564736875
2,20.59051406794674,1.2206571308871612
3,20.636028667781343,1.2290069791781177
4,20.610180348474117,1.1817313996203602
5,20.543065043862157,1.1995761296334029
6,20.54359867159035,1.2220118705946683
7,20.577674016542556,1.2148302147383707
8,20.64051691664627,1.1882893341051162
9,20.586711971676877,1.2036669509629094
10,20.569316557597155,1.2010264895719014
11,20.548615150485755,1.2302093101840343
12,20.590154953438823,1.2312319605261755
13,20.62404277103824,1.1813254735757026
14,20.57032229703543,1.186828783102193
15,20.598605995991782,1.2287298647902467
16,20.601640215702712,1.2164697674439398
17,20.568058837061038,1.1734553523487712
18,20.589310873317647,1.199098744320787
19,20.561582309722947,1.1707191464736781
20,20.602556139758246,1.2271869021581296
21,20.592448635634952,1.236270391137043
22,20.609966597206625,1.1684974037952733
23,20.59444005997768,1.2094274562942215
24,20.562785345448262,1.1939410708597225
25,20.621620100215274,1.2047205937490677
26,20.64090978414942,1.2290657600367187
27,20.60676691393232,1.1530076548806443
28,20.55641370142062,1.238885595117152
29,20.550947633274937,1.2613248377665054
30,20.602172918255018,1.1665695826955724
31,20.591632178848535,1.2541980525761725
32,20.58293053354957,1.2275602686358933
33,20.580726125848006,1.2442756179498593
34,20.604579957873568,1.2023176035365852
35,20.606240994402246,1.1936121590050626
36,20.57771131896706,1.1908708261038783
37,20.570026102552188,1.1946511556307478
38,20.59018145895993,1.1866092035228621
39,20.617859159959742,1.1818641793855598
40,20.610206713584855,1.190347593774564
41,20.584635008483414,1.182593802475383
42,20.557331644201966,1.220314314996324
43,20.585093280322067,1.1733949314693273
44,20.566480479702967,1.188487606507988
45,20.586925461708947,1.2215238382157911
46,20.625643561695338,1.2302397608501474
47,20.62238047976636,1.1914898366788753
48,20.580527088696776,1.1971929545739306
49,20.585872949795537,1.1885607683394215
50,20.57747886241013,1.18387547367868
51,20.58123329713186,1.192392505186958
52,20.600043920466675,1.2251380603146829
53,20.564239213629975,1.2181309896216288
54,20.609639286983235,1.1919270851474886
55,20.586070895928522,1.1889913168774684
56,20.631018919185586,1.193683780837187
57,20.608342250506936,1.1979692493377467
58,20.59999468131369,1.2059729261282022
59,20.64051887178484,1.1725035356365
60,20.581193325973405,1.1878935501929981
61,20.601493364107938,1.211589159333066
62,20.639694478737223,1.2041877488777508
63,20.64081619575581,1.197118150781553
64,20.633032917119852,1.1800202408369584
65,20.60600516774994,1.1553076786102368
66,20.629869859885996,1.1924395223639945
67,20.57266664324588,1.2215570027784723
68,20.612992341713174,1.192255356288559
69,20.603123911573636,1.2372321450358614
70,20.561339486188505,1.1743532787441489
71,20.554088281377737,1.2093369379710321
72,20.6273461485846,1.1432679891350113
73,20.568825756632215,1.2375786046618271
74,20.57397376457976,1.179178732474593
75,20.59078630855185,1.1538710658023557
76,20.595159734588346,1.1757830630854853
77,20.610644476160747,1.1935284491344693
78,20.590216188739895,1.1845589903135965
79,20.604525485207247,1.1925163868811315
80,20.637298725535988,1.1802289280645748
81,20.58024470260039,1.2294633246338487
82,20.596748174922467,1.1801660125005473
83,20.605513345539617,1.1192346184147954
84,20.604094861694676,1.1747228465520356
85,20.559360948734376,1.195658089989997
86,20.575890592424557,1.2309365232669516
87,20.600157754292376,1.1971409866995586
88,20.630403435028285,1.1697884170642883
89,20.518904792374936,1.234213178326737
90,20.553513651263525,1.172847286312178
91,20.63108859340914,1.1999527742722762
92,20.629405714600033,1.1902401496972441
93,20.56851800721024,1.1684497681190193
94,20.57977577753855,1.1965617589468998
95,20.60730533823451,1.204769136744773
96,20.60328840599404,1.1781460093249123
97,20.65689337450002,1.1970457275287498
98,20.585515792421123,1.242895066783619
99,20.631975317681956,1.2343326069140246
100,20.57181254844625,1.2295661899515087
101,20.604039499544484,1.2640039005769679
102,20.583120999971953,1.224110625456206
103,20.596512105570614,1.2310777412622766
104,20.562932324577417,1.209318184238186
105,20.616309417219405,1.1472539314227228
106,20.637622578431696,1.2121404483924747
107,20.552659134944392,1.221887719701002
108,20.57242828161976,1.2445431065852466
109,20.550109767683818,1.2478075464430078
110,20.619502663126507,1.1740643517566882
111,20.5992377630069,1.1534768994592213
112,20.565315907026573,1.1831351272278945
113,20.65727728110783,1.1563229414764193
114,20.61740399216096,1.2406060393312666
115,20.56031195098991,1.17249865360827
116,20.610071048052443,1.1911200543351854
117,20.622328391978478,1.2553117668565419
118,20.60101402000815,1.172085055063114
119,20.566472165536176,1.2711261653882528
120,20.622797572892104,1.226531327150086
121,20.606968067374687,1.2036801019380519
122,20.58576290130629,1.198975718019492
123,20.58242412958452,1.1930502819840108
124,20.563023680688918,1.2018513787746463
125,20.59753981074267,1.1919108925545199
126,20.58865170180049,1.2216819747263354
127,20.612405450773913,1.1778195742606863
128,20.67774313010956,1.1614912372346569
129,20.588850255832867,1.2044138274234149
130,20.590460181539648,1.2136843735442604
131,20.638802279611625,1.1783791408241786
132,20.549541492776797,1.1995065224152417
133,20.605211892527603,1.212418160093443
134,20.637147884827133,1.2231338113257593
135,20.633622494061985,1.1610095371018345
136,20.602196822859728,1.223616189987769
137,20.60502029695808,1.1854013169931819
138,20.576475402302087,1.1788160239967596
139,20.587120179614157,1.1987933710192356
140,20.579706393393643,1.1737025127771412
141,20.539503982689904,1.2245854063357484
142,20.573341895720464,1.148275051627201
143,20.600469480908302,1.2085371254257715
144,20.57390748519009,1.2026460129188496
145,20.609217659552236,1.2022378643296956
146,20.569482996413374,1.2457638321936317
147,20.565591644118726,1.1956117821788854
148,20.61874778542572,1.219441969321423
149,20.554188110618885,1.1374752150738299
150,20.552335609042185,1.1716033662644867
151,20.56338728846879,1.184582128342121
152,20.56746937390157,1.2218495354130714
153,20.66560983110332,1.1838200801895773
154,20.590749461276655,1.186251351940182
155,20.62644318692587,1.1553300982304493
156,20.585548098073993,1.2029611787108503
157,20.576025529109295,1.174246616903566
158,20.582934549851675,1.2232797373917925
159,20.55672816174607,1.216701296869139
160,20.575957278583772,1.2195111655134587
161,20.584995727083236,1.181873789401119
162,20.60840442472097,1.170657641606998
163,20.572772550020396,1.2203915570197241
164,20.663424141108987,1.193109518409394
165,20.647028938382082,1.2047540144404623
166,20.55352569815778,1.1875473074446812
167,20.626635021426324,1.1933743238544314
168,20.62009494205665,1.1819229729375498
169,20.603416449298322,1.206075927746307
170,20.578540246063255,1.2077841611368947
171,20.620094667966676,1.1946997648072768
172,20.584029459225285,1.1855054530340334
173,20.625911912646586,1.1943313002914753
174,20.593281612919025,1.1883437058532607
175,20.546154890719894,1.1730197922534402
176,20.52307064697372,1.1800992822940273
177,20.60336665646966,1.1915020533855267
178,20.565307097513287,1.1504775487965182
179,20.590534155939203,1.2181105404170565
180,20.55991856384448,1.1514388030872744
181,20.581231983303418,1.175074883621602
182,20.6012529613805,1.171646389956601
183,20.5730265902654,1.1592065625028452
184,20.593758320792954,1.1147579966327648
185,20.578503737953493,1.2144102399149366
186,20.60749733646964,1.216235649180411
187,20.56760881520477,1.2111909739873157
188,20.575299396743013,1.2237764248604146
189,20.6147579627866,1.190055729426375
190,20.56922012154281,1.1924054104113921
191,20.59736763226718,1.1809445103134493
192,20.628401929358173,1.1962478064283237
193,20.576920718660404,1.1972744027746351
194,20.615735872969083,1.2010635482001515
195,20.581596415888374,1.2493848368141347
196,20.63490505274746,1.178620872318164
197,20.556915013601177,1.2140060859117459
198,20.622108363493126,1.144048790813692
199,20.64172406422889,1.188316473471355
200,20.598484681918713,1.173775297288055
201,20.646398540487567,1.2094183815499082
202,20.623057090471377,1.172851423844734
203,20.60794337642256,1.1501166433870997
204,20.58225341467635,1.1558188838224117
205,20.607505261387686,1.2005569804971772
