ell,C_ell_north,C_ell_south,MSE,n_maps
2,150.4215698956167,154.9336883655796,0.37689711464862696,121
3,116.12278390020374,121.89964834223017,0.37689711464862696,121
4,64.56445687408483,68.11837635867178,0.37689711464862696,121
5,44.194821867399725,43.38450388826469,0.37689711464862696,121
6,28.682381608685795,28.651268369818805,0.37689711464862696,121
7,21.89349357355944,24.14618762219963,0.37689711464862696,121
8,16.242012361238473,17.802765274249385,0.37689711464862696,121
9,13.34964277576442,13.904663595645781,0.37689711464862696,121
10,11.137278448777332,11.0327354725958,0.37689711464862696,121
11,9.355994153146272,9.26388539632966,0.37689711464862696,121
12,7.571730095866006,7.377626628947707,0.37689711464862696,121
13,6.652795981539315,6.472603396045939,0.37689711464862696,121
14,5.57886802908528,5.694333838955442,0.37689711464862696,121
15,4.878518202299156,4.982977861261798,0.37689711464862696,121
16,4.167876201031714,4.1868597385997,0.37689711464862696,121
17,3.633992680556411,3.7737033286974992,0.37689711464862696,121
18,3.244122139712671,3.3575296524514164,0.37689711464862696,121
19,3.0082826663994653,2.9815688026393343,0.37689711464862696,121
20,2.7404822774402082,2.6619234440384085,0.37689711464862696,121
21,2.550352965054895,2.4989451842155157,0.37689711464862696,121
22,2.2361714623588993,2.217667982254378,0.37689711464862696,121
23,2.031913648648387,2.042006233388111,0.37689711464862696,121
24,1.895539780776593,1.9054037460768647,0.37689711464862696,121
25,1.7402625754348937,1.7563009153093496,0.37689711464862696,121
26,1.5861277372969165,1.6083093022350068,0.37689711464862696,121
27,1.5134293664119132,1.5376120821904429,0.37689711464862696,121
28,1.3414329716152702,1.3771715461643175,0.37689711464862696,121
29,1.2746513319407726,1.2774426740097138,0.37689711464862696,121
30,1.1793021572468427,1.1871571210599416,0.37689711464862696,121
31,1.122030237127722,1.119222185390404,0.37689711464862696,121
32,1.0294898614355366,0.9983897122868449,0.37689711464862696,121
33,0.951605646282103,0.9357808551275857,0.37689711464862696,121
34,0.9189265021589232,0.9263073101170328,0.37689711464862696,121
35,0.8656021382308374,0.874241621802041,0.37689711464862696,121
36,0.8119658430436294,0.8223735775376464,0.37689711464862696,121
37,0.7736931575581912,0.7872903877634431,0.37689711464862696,121
38,0.7235091707239514,0.7222859822885015,0.37689711464862696,121
39,0.6790620667171023,0.6939265712007076,0.37689711464862696,121
40,0.637002189163875,0.6650672966661829,0.37689711464862696,121
41,0.6298746624598988,0.6314884906520215,0.37689711464862696,121
42,0.6199447333535709,0.5852810453905849,0.37689711464862696,121
43,0.5782814000800036,0.564793536903581,0.37689711464862696,121
44,0.5264941344913961,0.5350228342801905,0.37689711464862696,121
45,0.510521663248895,0.5203428021716906,0.37689711464862696,121
46,0.487215663383149,0.48915030298327195,0.37689711464862696,121
47,0.4760434058672081,0.464515386060867,0.37689711464862696,121
48,0.44706759108571115,0.44678912379496444,0.37689711464862696,121
49,0.42311808336777884,0.4321779017412222,0.37689711464862696,121
50,0.4139698124919125,0.4173372425707849,0.37689711464862696,121
51,0.39610138067463896,0.39697450582998184,0.37689711464862696,121
52,0.37724329716055227,0.38452049831881335,0.37689711464862696,121
53,0.36324655421460833,0.3734312240547672,0.37689711464862696,121
54,0.3480937626001944,0.3541556157540114,0.37689711464862696,121
55,0.33797170347475236,0.3473455691243124,0.37689711464862696,121
56,0.3214820423397191,0.33386403262293496,0.37689711464862696,121
57,0.3091112570401499,0.3149801872588416,0.37689711464862696,121
58,0.2983743233119192,0.2985903326062909,0.37689711464862696,121
59,0.2903288407139788,0.2890921547438023,0.37689711464862696,121
60,0.27793797765178135,0.2805781468255331,0.37689711464862696,121
61,0.26703563720384466,0.2761983217512494,0.37689711464862696,121
62,0.2595469900133216,0.2683134215364391,0.37689711464862696,121
63,0.2562488961254637,0.26059567500907654,0.37689711464862696,121
64,0.24405650274692417,0.24688250162242512,0.37689711464862696,121
65,0.23673922037610454,0.2401205335318303,0.37689711464862696,121
66,0.22853170737155445,0.23517406557558945,0.37689711464862696,121
67,0.22193321735707164,0.22542874165141794,0.37689711464862696,121
68,0.2153157226097342,0.21559394729486747,0.37689711464862696,121
69,0.20784631589597768,0.20829420523372355,0.37689711464862696,121
70,0.20384778832569297,0.20247423462242853,0.37689711464862696,121
71,0.19991174384380161,0.19831779443072792,0.37689711464862696,121
72,0.19193708347500282,0.19064487979130193,0.37689711464862696,121
73,0.18447028324857018,0.18711739571194796,0.37689711464862696,121
74,0.18075184720318394,0.1833609562394325,0.37689711464862696,121
75,0.1795194101832168,0.17409947820317268,0.37689711464862696,121
76,0.17036812165699886,0.17178407716880204,0.37689711464862696,121
77,0.1672871379023161,0.16845904136803197,0.37689711464862696,121
78,0.16412716715682854,0.16290058964863252,0.37689711464862696,121
79,0.15786246626084782,0.15819122091090315,0.37689711464862696,121
80,0.15173486905709238,0.1514927676815144,0.37689711464862696,121
81,0.14578415119187643,0.14723678623724631,0.37689711464862696,121
82,0.1423455529556309,0.1431913205662534,0.37689711464862696,121
83,0.14149137904424045,0.14120520645841392,0.37689711464862696,121
84,0.13569703064671332,0.1368960129264956,0.37689711464862696,121
85,0.13302961907554153,0.13233790604658996,0.37689711464862696,121
86,0.1291020430137121,0.12993254817580244,0.37689711464862696,121
87,0.1281463477646873,0.1272419104818211,0.37689711464862696,121
88,0.12546593933564262,0.12380529311197361,0.37689711464862696,121
89,0.12054175275791229,0.11989815192696972,0.37689711464862696,121
90,0.11727809306436214,0.11674408052812006,0.37689711464862696,121
91,0.11529462797842786,0.11497749686598362,0.37689711464862696,121
92,0.11118991150851158,0.1121374842467819,0.37689711464862696,121
93,0.1097211802762954,0.11020256634015305,0.37689711464862696,121
94,0.1082971379510936,0.10728959408241491,0.37689711464862696,121
95,0.10455762138582714,0.10514374225474442,0.37689711464862696,121
96,0.1021699284740804,0.10266292455273988,0.37689711464862696,121
97,0.0997464441631038,0.10152109037885598,0.37689711464862696,121
98,0.09567532315115695,0.0977003421140759,0.37689711464862696,121
99,0.09373298046127276,0.09614047781358402,0.37689711464862696,121
100,0.09028425483851271,0.09400420434449522,0.37689711464862696,121
101,0.08975375152595999,0.09127840912421349,0.37689711464862696,121
102,0.08789063870271112,0.08870650625764082,0.37689711464862696,121
103,0.08545614419655814,0.0868008221278352,0.37689711464862696,121
104,0.08542269086198516,0.08500903370583505,0.37689711464862696,121
105,0.08343032017550965,0.08319674120318826,0.37689711464862696,121
106,0.08015833644828295,0.08117514418836409,0.37689711464862696,121
107,0.07944562442550764,0.08027582269109376,0.37689711464862696,121
108,0.07798135987295157,0.07843787898100245,0.37689711464862696,121
109,0.07644743065285145,0.07551275932673832,0.37689711464862696,121
110,0.07360859819643101,0.07421862311011222,0.37689711464862696,121
111,0.07173125604984767,0.07329023521552083,0.37689711464862696,121
112,0.07134463777114146,0.07136213734157995,0.37689711464862696,121
113,0.07062342282762431,0.07037233620535478,0.37689711464862696,121
114,0.068186069811832,0.06743684639486174,0.37689711464862696,121
115,0.06650286827345399,0.06695449015087479,0.37689711464862696,121
116,0.06584814053395292,0.06667354044030956,0.37689711464862696,121
117,0.06465055810454565,0.06401339814178097,0.37689711464862696,121
118,0.06267718063712888,0.06214495942846384,0.37689711464862696,121
119,0.061542833046726635,0.0611406796247281,0.37689711464862696,121
120,0.05988427846129276,0.06022772819613078,0.37689711464862696,121
121,0.05864799715547728,0.06054630301135859,0.37689711464862696,121
122,0.058252921097616414,0.058256727362879714,0.37689711464862696,121
123,0.057098646407836295,0.05711001247478089,0.37689711464862696,121
124,0.05542829674899412,0.05643760968909329,0.37689711464862696,121
125,0.05447294701269935,0.05512131041237889,0.37689711464862696,121
126,0.053804842925792344,0.05358165233030853,0.37689711464862696,121
127,0.053310909658158885,0.053278064879889814,0.37689711464862696,121
128,0.0522698992385395,0.05203393862963481,0.37689711464862696,121
129,0.0515850531594809,0.05116855555907165,0.37689711464862696,121
130,0.049771745933364905,0.05035949625423227,0.37689711464862696,121
131,0.04862325245867703,0.04949173578730887,0.37689711464862696,121
132,0.04838563903148848,0.04797751406793367,0.37689711464862696,121
133,0.04710137577839375,0.047594998568614426,0.37689711464862696,121
134,0.04591701331085588,0.045652444015724734,0.37689711464862696,121
135,0.04498577111749641,0.04458959865055913,0.37689711464862696,121
136,0.044495662893780354,0.04426527542185342,0.37689711464862696,121
137,0.04367077243922702,0.043425479090238694,0.37689711464862696,121
138,0.04206093873360292,0.04343316568938208,0.37689711464862696,121
139,0.041516474327204955,0.042190074708430156,0.37689711464862696,121
140,0.04181765268317063,0.04069152358182232,0.37689711464862696,121
141,0.04055468892295683,0.04077872902499493,0.37689711464862696,121
142,0.039277563775602604,0.04040675864802659,0.37689711464862696,121
143,0.038903396161587916,0.0394386212453061,0.37689711464862696,121
144,0.03866033855728229,0.03859630819249623,0.37689711464862696,121
145,0.038000638362645195,0.03810894894114451,0.37689711464862696,121
