group_name,universe_count,lockin_count,lockin_rate,ci_lower,ci_upper
Finely-Tuned,35,26,0.7428571428571429,0.5793037572935126,0.8583713127344986
Coarsely-Tuned,140,89,0.6357142857142857,0.5533622129235948,0.7108172734002502
