universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch
0,3404315181,0.72,0.3171950153050533,20.10951027549096,1,0,225,-1
1,1914925922,0.7396122969675456,0.3290178401316028,20.714567061719762,1,1,78,161
2,1987454518,0.7610477603013226,0.27398128223314755,20.15261828622311,1,1,144,157
3,2567702992,0.7642654885599922,0.3068599445450435,20.808788773010626,1,0,24,-1
4,2205390741,0.766,0.33695293982355956,21.38515291682407,0,0,-1,-1
5,1939786644,0.766,0.2640031052596342,20.072055894673415,1,1,71,122
6,3379664040,0.7557710739311715,0.42697900315453136,22.801043535404997,1,1,181,268
7,1059341408,0.766,0.31917204349375755,21.065096782887636,1,1,329,374
8,3068417063,0.766,0.3055439725073836,20.819791505132905,1,1,83,122
9,2934552129,0.72,0.414399419661046,21.85918955389883,1,0,80,-1
10,447302609,0.7418761272526514,0.39385413013191944,21.926896887427574,1,0,424,-1
11,374559873,0.7362749489289194,0.22430223304163965,18.7629391733279,1,1,420,438
12,1923131012,0.72,0.3981593448785662,21.566868207814196,1,0,203,-1
13,2426710439,0.766,0.35241073515717497,21.66339323282915,1,0,384,-1
14,2587802107,0.72,0.4119372704298612,21.8148708677375,1,1,74,129
15,3167859883,0.7592880735899284,0.3635580480895207,21.729806337409943,1,1,4,215
16,3730722160,0.7549810693061204,0.22799283592750105,19.203492432817427,1,1,38,275
17,607970496,0.7474892953300074,0.36100567703095077,21.44788809315726,1,1,383,495
18,1193481754,0.766,0.31965080378162364,21.073714468069227,1,1,97,141
19,3739525574,0.72,0.49907000939250673,23.38326016906512,1,0,149,-1
20,982731968,0.72,0.5130785254985748,23.635413458974348,1,1,414,434
21,3334873309,0.7469819401062358,0.23457706202821293,19.162025918632548,1,0,7,-1
22,2137748495,0.7203357740305053,0.39692374723605467,21.551342930859086,1,1,272,443
23,1318851973,0.766,0.38837977161714005,22.31083588910852,1,0,434,-1
24,2888117020,0.72,0.3866334017780951,21.359401232005713,1,0,8,-1
25,3521357818,0.766,0.3836701820834956,22.22606327750292,1,1,60,182
26,1767293723,0.7272609046691554,0.2263220920416574,18.61901575013294,1,1,365,414
27,1253076529,0.766,0.2735298957318416,20.24353812317315,1,0,494,-1
