i_definition,entropy_volatility_global_mean,entropy_volatility_global_std,entropy_volatility_max,stability_eps_slope,stability_zero_baseline
energy_only,0.027981543458505342,0.005085612197708068,0.0306286057947234,9.344142035196192e-17,1.0
composite,0.012090439734628866,0.0067130958202680545,0.0281417990677426,0.010276165117538856,0.6285714285714286
entanglement,0.02397923685402442,0.005788988565470638,0.0303675352698811,9.344142035196192e-17,1.0
fisher,0.011930503604317804,0.004763918631621927,0.0228687895555081,-0.00038070481693579846,0.5142857142857142
fisher_kl_fusion,0.015529728965451706,0.006825368802564564,0.0300752632145404,5.339509734397824e-17,0.92
jensen_shannon,0.011671593452036612,0.006778373489833503,0.0297187597179593,-0.0016179954719772185,0.6857142857142857
kl_divergence,0.008922887044249499,0.003009294707722732,0.0179103873013313,4.004632300798368e-17,0.44
kl_shannon,0.013629080320166465,0.006759482125636507,0.0298438664190501,1.0679019468795647e-16,0.7714285714285715
mutual_info,0.015227712615445017,0.0076646304408351015,0.0302365948364561,5.339509734397824e-17,0.8914285714285715
renyi,0.013812358991762216,0.006715619198973481,0.0290207114373682,5.339509734397824e-17,0.92
shannon,0.027537465480573686,0.0026502326254240183,0.0305175015348913,9.344142035196192e-17,1.0
