slice,eps,n,k,p,ci_lo,ci_hi
|E−I| > 0.001,0.001,10000,2209,0.2209,0.21287690977368548,0.22913744599140382
|E−I| ≤ 0.001,0.001,0,0,0.0,0.0,0.0
