label,acc,auc,cm
E,0.5616,0.6027509473607384,"{'tp': 725, 'fp': 548, 'tn': 679, 'fn': 548}"
EIX,0.6072,0.6558566068128024,"{'tp': 783, 'fp': 492, 'tn': 735, 'fn': 490}"
