i_definition,E_sensitivity,I_sensitivity,X_sensitivity
composite,0.1007884811709787,0.0129750796424915,0.0271784860882806
entanglement,,,
fisher,0.0466251449242181,0.0177022248995779,0.0104745432602198
fisher_kl_fusion,0.1001350819410082,0.0926667561752544,0.0816754669704703
jensen_shannon,0.0064391403403172,0.0276074619910809,0.0231387669263622
kl_divergence,0.013906255700599,0.0451018948200176,0.0434209084914712
kl_shannon,0.1438796825624739,0.0044526718560768,0.0159989760611755
mutual_info,0.1211009088239769,0.0174028274638045,0.0352902692812652
renyi,0.1683052928859341,0.0316004520149757,0.0151054364749826
shannon,,,
