label,acc,auc,cm
E,0.5544,0.5997530309112805,"{'tp': 758, 'fp': 547, 'tn': 628, 'fn': 567}"
EIX,0.6084,0.6511402649538338,"{'tp': 842, 'fp': 496, 'tn': 679, 'fn': 483}"
