q_lo,q_hi,gap_lo,gap_hi,n,k,p,ci_lo,ci_hi
0.0,0.1,0.6636041927799997,4.443293132963236,1000,5,0.005,0.0021375039957652504,0.011651125604761368
0.1,0.2,4.443293132963236,6.293873901081985,1000,58,0.058,0.045133070071593756,0.07424990827877548
0.2,0.30000000000000004,6.293873901081985,8.185199197227746,1000,57,0.057,0.04425323441955428,0.07313739772798773
0.30000000000000004,0.4,8.185199197227746,10.293454150290131,1000,69,0.069,0.05488371422135517,0.08641507236011349
0.4,0.5,10.293454150290131,12.479467701633213,1000,100,0.1,0.08290915646323203,0.12015236240588041
0.5,0.6000000000000001,12.479467701633213,15.070550290572292,1000,92,0.092,0.075613625710728,0.1115091235357667
0.6000000000000001,0.7000000000000001,15.070550290572292,18.832345304970367,1000,153,0.153,0.13201885442660544,0.1766370131923496
0.7000000000000001,0.8,18.832345304970367,24.320318246396376,1000,209,0.209,0.18493627231405968,0.23529098266321963
0.8,0.9,24.320318246396376,33.837649522193125,1000,348,0.348,0.3191088817410635,0.3780544954291993
0.9,1.0,33.837649522193125,223.96899414922433,1000,496,0.496,0.4650853277924981,0.5269452873961931
