label,acc,auc,cm
E,0.5712,0.6171608362120696,"{'tp': 557, 'fp': 524, 'tn': 871, 'fn': 548}"
EIX,0.5712,0.6171608362120696,"{'tp': 557, 'fp': 524, 'tn': 871, 'fn': 548}"
