Target,E_importance,I_importance
Reaching Lock-in,0.6671050891798458,0.3328949108201542
Stability Reached,0.9371912387925508,0.06280876120744915
Time to Lock-in,0.5189584721054719,0.4810415278945282
Time to Stabilize,0.27738544300384177,0.7226145569961582
Cold Spot Presence,0.6769008745354623,0.3739617426681052
Cold Spot Depth,0.6870780225209633,0.3619011063118477
AoE Strength,0.6545621834599845,0.39834270579476544
Entropy Volatility,0.6946377601546279,0.37067821532817746
CMB Quality,0.47114064994237187,0.5353121688060227
Feature Importance,0.6056973642033247,0.38796939105581424
Power Law Fit Quality,0.6440807008694603,0.37873275215610713
Phase Transition Sharpness,0.5989367958759315,0.3598142279718497
Correlation Matrix Strength,0.6656552607714512,0.308844626017591
Finetuning Sensitivity,0.5497942058786387,0.4112735253311379
E-I Balance,0.5773158946588334,0.45120249473984353
Planck Chi-Squared,0.7036146919120648,0.32944449777258533
Planck R-Squared,0.6748977037803848,0.29645121671216906
CMB Anomaly Score,0.5005340361545945,0.513623026083097
CMB Statistical Significance,0.46535042696728807,0.5195866395544091
