universe_id,E,I,age_Gyr,vacuum_energy,entanglement_entropy,holographic_entropy,magnetic_field_strength,string_density,wall_probability,pbh_mass_fraction,topological_defects
156,0.766,0.27508876083275347,305391684.58036417,0.7487717990797889,0.19067699897495216,33137.96364305813,9.633000069820702e-10,0.09550177521665508,0.04550177521665508,9.907088760832753e-07,False
145,0.766,0.28270813889468815,305391684.58036417,0.7493554434393331,0.1959583493962025,33162.5367323108,9.656612522434639e-10,0.09565416277789376,0.04565416277789377,9.91470813889469e-07,False
101,0.7597847135635613,0.3808346338499088,305391684.58036417,0.7507307112048569,0.26397445271264336,33396.90445525387,9.930741068444562e-10,0.09761669267699818,0.047616692676998175,1.000040406097703e-06,False
127,0.7541109430254539,0.3509711582079371,305391684.58036417,0.7428725149832736,0.24327466876969012,33226.18694809645,9.811372053000042e-10,0.09701942316415875,0.04701942316415875,9.959193044258844e-07,False
141,0.766,0.23812942992702624,305391684.58036417,0.7459407143324102,0.1650587429622653,33018.76691470534,9.518463103343856e-10,0.09476258859854053,0.04476258859854053,9.870129429927027e-07,False
139,0.7483373606871465,0.2842293532517247,305391684.58036417,0.7321904370570101,0.1970127748388097,32936.568966346495,9.578730187824552e-10,0.09568458706503451,0.0456845870650345,9.880904074626017e-07,False
42,0.766,0.28813946159370163,305391684.58036417,0.7497714827580775,0.19972305541173493,33180.05317215118,9.67344419147888e-10,0.09576278923187403,0.04576278923187404,9.920139461593703e-07,False
15,0.72,0.42131749120136275,305391684.58036417,0.7143348593664981,0.2920350311468141,33001.974579405236,9.86159199834013e-10,0.09842634982402726,0.04842634982402726,9.961317491201361e-07,False
126,0.72,0.3475214393879888,305391684.58036417,0.7090215436359352,0.24088350589591837,32768.27903869633,9.637989961345606e-10,0.09695042878775978,0.046950428787759776,9.887521439387987e-07,False
65,0.7534323081201929,0.24941318735078527,305391684.58036417,0.7345522880563149,0.17288004760666623,32891.35540835321,9.495316954976827e-10,0.0949882637470157,0.04498826374701571,9.856277803591169e-07,False
