group_name,universe_count,lockin_count,lockin_rate,ci_lower,ci_upper
Finely-Tuned,37,17,0.4594594594594595,0.3103832782845773,0.6161622047523264
Coarsely-Tuned,138,72,0.5217391304347826,0.4389403763047988,0.6033603309630267
