universe_id,E,I,lock_epoch,scale_arcmin,lon,lat,z_score,temp_uK,category,cold_flag
163,0.7628948633016923,0.3185774974369261,124,360,86.81818181818181,-53.18725897079298,-4.135236648960743,-118.56436830651522,lock_in,True
163,0.7628948633016923,0.3185774974369261,124,180,264.2079207920792,-52.4160118893943,-4.125841883196818,-134.601256616584,lock_in,True
163,0.7628948633016923,0.3185774974369261,124,180,89.5360824742268,-53.95678248481789,-4.0457477238216955,-131.9882689664216,lock_in,True
163,0.7628948633016923,0.3185774974369261,124,180,85.69148936170212,-55.10793642509819,-3.9083147581811497,-127.50466311119267,lock_in,True
163,0.7628948633016923,0.3185774974369261,124,360,260.45454545454544,-53.18725897079298,-3.8540652156823576,-110.50269947410514,lock_in,True
51,0.72,0.3806161764179331,127,180,175.42968749999997,37.16889965599944,-3.431461561037146,-116.23020952311019,lock_in,True
51,0.72,0.3806161764179331,127,360,174.72656249999997,37.921650784291785,-3.2465400831606557,-97.26626257710707,lock_in,True
51,0.72,0.3806161764179331,127,180,207.33644859813083,50.091456801832585,-3.2194134502759697,-109.04772874921319,lock_in,True
51,0.72,0.3806161764179331,127,180,175.078125,40.62018519067267,-3.0750415576013,-104.15757273836894,lock_in,True
51,0.72,0.3806161764179331,127,180,125.5078125,-16.334822780685997,-3.06920053147362,-103.95972585488907,lock_in,True
148,0.766,0.3553745424382936,141,180,233.43750000000003,31.738394244764443,-3.4273049643784974,-129.73994644943244,lock_in,True
148,0.766,0.3553745424382936,141,180,242.57812499999997,28.291548862929403,-3.2802714372457094,-124.17402606966704,lock_in,True
148,0.766,0.3553745424382936,141,180,33.22429906542057,-50.09145680183258,-3.1548974502481837,-119.42802260413258,lock_in,True
148,0.766,0.3553745424382936,141,180,228.1640625,25.282603043311994,-3.1531738172323207,-119.36277487242603,lock_in,True
148,0.766,0.3553745424382936,141,360,229.57031250000003,26.61009781073391,-2.878193628619987,-99.0442626246581,lock_in,True
40,0.766,0.35584703491006126,-1,180,180.703125,-3.882372003029573,-3.1642770080745586,-117.3626061055643,stable,True
40,0.766,0.35584703491006126,-1,180,98.43750000000001,72.38756092964962,-3.105543617415242,-115.1841896650795,stable,True
40,0.766,0.35584703491006126,-1,180,183.16406249999997,-10.199918091116302,-3.101704437568305,-115.0417948126342,stable,True
40,0.766,0.35584703491006126,-1,180,95.48780487804878,74.97216337375242,-3.0904960623516473,-114.62607713366147,stable,True
40,0.766,0.35584703491006126,-1,180,165.5859375,12.024699180565818,-3.0088407831778063,-111.59748980696584,stable,True
97,0.72,0.31396647027271857,-1,180,122.6953125,23.31795706533424,-3.6253865697818526,-116.96559801501708,stable,True
97,0.72,0.31396647027271857,-1,360,121.640625,24.296477994805656,-3.599842470475603,-101.41888198150282,stable,True
97,0.72,0.31396647027271857,-1,180,119.17968749999996,28.630989836924343,-3.561812427828127,-114.91451187138291,stable,True
97,0.72,0.31396647027271857,-1,180,82.6171875,22.669609871750396,-3.428353670597294,-110.60874541838002,stable,True
97,0.72,0.31396647027271857,-1,180,170.50781249999997,32.0899512562803,-3.317796129339288,-107.04183859148783,stable,True
155,0.7372084128629135,0.3186573525609919,-1,180,169.453125,-41.41118863809925,-3.6977341725696493,-118.7833462751072,stable,True
155,0.7372084128629135,0.3186573525609919,-1,180,174.37499999999997,-40.620185190672686,-3.449199376823563,-110.79960812682629,stable,True
155,0.7372084128629135,0.3186573525609919,-1,180,175.078125,-37.54432510382695,-3.4191481978842284,-109.83426746706652,stable,True
155,0.7372084128629135,0.3186573525609919,-1,360,172.265625,-40.620185190672686,-3.337081794532383,-94.75700742612072,stable,True
155,0.7372084128629135,0.3186573525609919,-1,180,180.35156249999997,-34.953865257188454,-3.123267786227062,-100.32963563961914,stable,True
