universe_id,E,I,lock_epoch,ell,axis_lon,axis_lat,peak_value,category,alignment_angle_deg,p_value,aoe_flag
163,0.7628948633016923,0.3185774974369261,124,2,350.85937499999994,9.291553238770263,16.459443829553805,lock_in,129.17350651014485,0.0,False
163,0.7628948633016923,0.3185774974369261,124,3,158.85542168674698,-59.29895234914483,20.269794266866963,lock_in,129.17350651014485,0.0,False
51,0.72,0.3806161764179331,127,2,54.140625,34.59057497617661,32.733836879432545,lock_in,126.70891038144825,1.0,False
51,0.72,0.3806161764179331,127,3,213.04687499999997,14.785930226053424,25.270302020373528,lock_in,126.70891038144825,1.0,False
148,0.766,0.3553745424382936,141,2,229.921875,22.993394314297802,-46.19642700638899,lock_in,51.93764740283386,0.0,False
148,0.766,0.3553745424382936,141,3,174.72656249999997,16.957763300004146,24.881259760964223,lock_in,51.93764740283386,0.0,False
40,0.766,0.35584703491006126,-1,2,278.0859375,24.62431835216408,46.60144154029531,stable,116.98987865343817,1.0,False
40,0.766,0.35584703491006126,-1,3,140.62499999999997,22.993394314297802,25.91574483182824,stable,116.98987865343817,1.0,False
97,0.72,0.31396647027271857,-1,2,344.375,63.44828368030106,31.521599600473238,stable,21.734436628203632,0.0,False
97,0.72,0.31396647027271857,-1,3,39.16666666666667,70.16502666715499,20.422810269798543,stable,21.734436628203632,0.0,False
155,0.7372084128629135,0.3186573525609919,-1,2,319.92187499999994,19.788049410669572,-33.625616640037194,stable,96.5645393884949,1.0,False
155,0.7372084128629135,0.3186573525609919,-1,3,37.95652173913044,-46.9649773399548,-17.85027804806443,stable,96.5645393884949,1.0,False
0,0.766,0.19583179470434783,-1,2,251.71875,2.686724185691588,29.455612934976585,unstable,9.121594894832896,0.0,True
0,0.766,0.19583179470434783,-1,3,257.34375,9.896853442815882,-25.559204384512356,unstable,9.121594894832896,0.0,True
2,0.7486669916368761,0.2868555136137741,-1,2,334.6875,11.719760305788782,-25.337856710310803,unstable,76.85002207430556,0.0,False
2,0.7486669916368761,0.2868555136137741,-1,3,54.375,81.21982231598935,-28.658878313009584,unstable,76.85002207430556,0.0,False
