ell,C_ell_north,C_ell_south,MSE,n_maps
2,168.99512502624205,165.28466000101386,0.3766311236214149,95
3,122.50249104765888,116.3056278512299,0.3766311236214149,95
4,62.38027957702936,57.91258370851993,0.3766311236214149,95
5,44.11843925809398,44.222215854154236,0.3766311236214149,95
6,29.06118306207352,30.527675631232448,0.3766311236214149,95
7,22.14758678455319,21.83557932976829,0.3766311236214149,95
8,16.564817735476787,16.49905899952599,0.3766311236214149,95
9,14.349484365819116,13.919997430404008,0.3766311236214149,95
10,11.008123104508376,11.188910576047503,0.3766311236214149,95
11,8.945399321416506,9.275455870088937,0.3766311236214149,95
12,7.8984081259563155,7.524996471531424,0.3766311236214149,95
13,6.617605730198376,6.414980993241371,0.3766311236214149,95
14,5.47356945775133,5.438995095726839,0.3766311236214149,95
15,4.831519490131842,4.820456105831025,0.3766311236214149,95
16,4.187994218343057,4.215580288653228,0.3766311236214149,95
17,3.7673172985959744,3.916973788303162,0.3766311236214149,95
18,3.3244143507537776,3.3618027614793293,0.3766311236214149,95
19,2.992812500004649,2.932882398287253,0.3766311236214149,95
20,2.628341872266454,2.678984167496734,0.3766311236214149,95
21,2.5197738548950754,2.4998689367911426,0.3766311236214149,95
22,2.2161929589461264,2.2275287021919348,0.3766311236214149,95
23,2.0414992813460695,2.0367978181643687,0.3766311236214149,95
24,1.877853687539564,1.8557415085479052,0.3766311236214149,95
25,1.7598562377046367,1.738506260872206,0.3766311236214149,95
26,1.63221327854609,1.5489948736770454,0.3766311236214149,95
27,1.4671582201641271,1.4854037889400056,0.3766311236214149,95
28,1.3506662168309986,1.3762727551945662,0.3766311236214149,95
29,1.24025138543631,1.2888549621824978,0.3766311236214149,95
30,1.1518570447687697,1.1819451650138175,0.3766311236214149,95
31,1.0986139043613856,1.0878996531403455,0.3766311236214149,95
32,1.0247347827387998,1.032695996033522,0.3766311236214149,95
33,0.9860804048796453,0.9995394840591245,0.3766311236214149,95
34,0.9178145334652156,0.9596883019069689,0.3766311236214149,95
35,0.8607313041458944,0.8829485677016977,0.3766311236214149,95
36,0.8175360690390048,0.8097782757136879,0.3766311236214149,95
37,0.7727476690473851,0.7756024112179877,0.3766311236214149,95
38,0.7359282956285054,0.7187970743267925,0.3766311236214149,95
39,0.6967963102997976,0.7025084286439963,0.3766311236214149,95
40,0.6561058910662829,0.6502228866197518,0.3766311236214149,95
41,0.6156164731930243,0.6141258194765059,0.3766311236214149,95
42,0.5731696293856947,0.6003771011360335,0.3766311236214149,95
43,0.5535731807548574,0.5865676459732942,0.3766311236214149,95
44,0.5301284586008285,0.5490397879629411,0.3766311236214149,95
45,0.5049967808144126,0.5146897509561683,0.3766311236214149,95
46,0.4853775433217341,0.5051387054158063,0.3766311236214149,95
47,0.47884792139512217,0.4730891636575586,0.3766311236214149,95
48,0.44879863153838784,0.44911591864438416,0.3766311236214149,95
49,0.4312019329885376,0.4456412297692705,0.3766311236214149,95
50,0.4141388687132404,0.4205929242117608,0.3766311236214149,95
51,0.40174903546146495,0.3996146571086122,0.3766311236214149,95
52,0.374144640924878,0.37618486082890884,0.3766311236214149,95
53,0.36897176703457424,0.3731198254380212,0.3766311236214149,95
54,0.35858950468170425,0.3595683534761874,0.3766311236214149,95
55,0.3380564547656647,0.3430482851330884,0.3766311236214149,95
56,0.3278774047622988,0.33230429049554777,0.3766311236214149,95
57,0.3144970293592549,0.31762778258531504,0.3766311236214149,95
58,0.3077872062434338,0.3043504247674147,0.3766311236214149,95
59,0.2962303424993934,0.2964790061980446,0.3766311236214149,95
60,0.2806952632893636,0.2792629530074917,0.3766311236214149,95
61,0.2702888927222519,0.27171048176217705,0.3766311236214149,95
62,0.26024196123474297,0.2598162909013835,0.3766311236214149,95
63,0.25360405360775234,0.25548568884830064,0.3766311236214149,95
64,0.2448145573068179,0.24250207857232078,0.3766311236214149,95
65,0.2429402014432226,0.23840959732346367,0.3766311236214149,95
66,0.23347593517327325,0.23443425036628213,0.3766311236214149,95
67,0.22371288274732415,0.22200658299084894,0.3766311236214149,95
68,0.21657346932428317,0.215706764398143,0.3766311236214149,95
69,0.2108760376111249,0.2094704414475076,0.3766311236214149,95
70,0.20149229699560958,0.201043186215413,0.3766311236214149,95
71,0.198362345409834,0.19486096125230212,0.3766311236214149,95
72,0.19064963416825692,0.19233908035890634,0.3766311236214149,95
73,0.1900537836950445,0.18925598716092676,0.3766311236214149,95
74,0.18561890637315567,0.18037762195195453,0.3766311236214149,95
75,0.17838190714824056,0.1750794852466234,0.3766311236214149,95
76,0.16997826097524718,0.1695833537997394,0.3766311236214149,95
77,0.16718186483971453,0.16277600441663476,0.3766311236214149,95
78,0.1642048627784216,0.16098789459285104,0.3766311236214149,95
79,0.15706560316424845,0.15774797102063115,0.3766311236214149,95
80,0.15107495640312252,0.15133084778309155,0.3766311236214149,95
81,0.14961912167026123,0.14849586667110012,0.3766311236214149,95
82,0.1449951312952875,0.14385831471480107,0.3766311236214149,95
83,0.1406023644386442,0.14021145018991527,0.3766311236214149,95
84,0.13555958114158606,0.13679545591163417,0.3766311236214149,95
85,0.13100577807653013,0.13204211124215298,0.3766311236214149,95
86,0.12907410952758347,0.12960967850022936,0.3766311236214149,95
87,0.12656049627501545,0.1270555413940882,0.3766311236214149,95
88,0.12122858136446688,0.12379144251806928,0.3766311236214149,95
89,0.11934115669561557,0.12127223091108352,0.3766311236214149,95
90,0.11905556813354964,0.11735731221041779,0.3766311236214149,95
91,0.11509703914255515,0.11520583959571651,0.3766311236214149,95
92,0.11088395882878126,0.11007113542110486,0.3766311236214149,95
93,0.1076282765531817,0.11102828259716714,0.3766311236214149,95
94,0.10700306662905038,0.1067500550608143,0.3766311236214149,95
95,0.10557829904683964,0.10477410508495011,0.3766311236214149,95
96,0.10123595964321445,0.10294109316855907,0.3766311236214149,95
97,0.09852534629498337,0.09831592725985917,0.3766311236214149,95
98,0.09754310179990892,0.09600142150042114,0.3766311236214149,95
99,0.09541278651767876,0.09562034836352448,0.3766311236214149,95
100,0.09215563686592207,0.09451822376634633,0.3766311236214149,95
101,0.08999674713090937,0.09268941947210269,0.3766311236214149,95
102,0.0880057571930318,0.090466479568137,0.3766311236214149,95
103,0.08651671691473424,0.08655268740546082,0.3766311236214149,95
104,0.08445667437745989,0.08528848983303058,0.3766311236214149,95
105,0.08252371184424215,0.08387601102627301,0.3766311236214149,95
106,0.08019964823324416,0.08070145537846904,0.3766311236214149,95
107,0.07908830702538526,0.08019809439622183,0.3766311236214149,95
108,0.07741014609118844,0.078094724157962,0.3766311236214149,95
109,0.07786722387675023,0.07534604440448163,0.3766311236214149,95
110,0.07542487392507806,0.07339337230289024,0.3766311236214149,95
111,0.07204136046366165,0.07227893108200788,0.3766311236214149,95
112,0.07025796366303194,0.07227997093904878,0.3766311236214149,95
113,0.0686290574064438,0.07011927723179735,0.3766311236214149,95
114,0.06790202322906201,0.06766073403273903,0.3766311236214149,95
115,0.06791607276366993,0.06661158065636215,0.3766311236214149,95
116,0.06472827728833937,0.06518165873103102,0.3766311236214149,95
117,0.06247475869706808,0.06418313686100993,0.3766311236214149,95
118,0.06258903452375442,0.06352962071532693,0.3766311236214149,95
119,0.061108708066087127,0.062220366882270894,0.3766311236214149,95
120,0.05955759414882735,0.060541156145135416,0.3766311236214149,95
121,0.05936041886677462,0.05951890066931529,0.3766311236214149,95
122,0.05762910999606228,0.05763298346465706,0.3766311236214149,95
123,0.057072746052302344,0.057083213077220016,0.3766311236214149,95
124,0.05570324449461799,0.055568315633980105,0.3766311236214149,95
125,0.05481484496582177,0.05423180836603662,0.3766311236214149,95
126,0.053401450192339044,0.05386429584577433,0.3766311236214149,95
127,0.05305496604307093,0.052923237083781695,0.3766311236214149,95
128,0.05239491370980137,0.05168016930897832,0.3766311236214149,95
129,0.050499899935078425,0.051008456682318105,0.3766311236214149,95
130,0.049870023371035355,0.04950271336449718,0.3766311236214149,95
131,0.04922008676143958,0.0490968212219309,0.3766311236214149,95
132,0.0474762693507941,0.04811342483503722,0.3766311236214149,95
133,0.04705680153210426,0.04792633825878326,0.3766311236214149,95
134,0.04588824362543743,0.046587054443696554,0.3766311236214149,95
135,0.044803931085172076,0.04494052410587541,0.3766311236214149,95
136,0.04400460580776083,0.04409427092791749,0.3766311236214149,95
137,0.04299185565169995,0.043453378089831025,0.3766311236214149,95
138,0.04247045343899757,0.042999722567723546,0.3766311236214149,95
139,0.042207853505055654,0.04256669577062495,0.3766311236214149,95
140,0.04144279044273227,0.04164728032509016,0.3766311236214149,95
