epoch,mean_X,std_X
0,21.127967756987868,1.2187086994021883
1,21.067676920439435,1.1649753644707859
2,21.093671739888435,1.2079708874010202
3,21.04834674961525,1.264320918208349
4,21.04662653170681,1.203134068445833
5,21.062920612283783,1.266736855594771
6,21.099798997368712,1.2306407267055859
7,21.032630564652727,1.2724721321310173
8,21.081468545091106,1.2156248361915074
9,21.063211585966723,1.21632625578739
10,21.105140693684458,1.1911795193317167
11,21.096052155412302,1.2076888902418388
12,21.048336933971687,1.1910914575610474
13,21.113018220205692,1.2532149369673886
14,21.033698613432954,1.1806061171810873
15,21.030647399696687,1.2080895522495079
16,21.070453978844636,1.243010781926618
17,21.093259980048348,1.2214426056852152
18,21.036304516181154,1.2239512068099982
19,21.0117204684446,1.2154412388407865
20,21.125087330041136,1.181686182388111
21,21.080946198706663,1.223889173361029
22,21.076754420762857,1.171981538342814
23,21.10680285607418,1.196810562558191
24,21.090106152977626,1.181894270291604
25,21.009005694426367,1.246970449154381
26,21.06208679190927,1.2557799384995758
27,21.10522897961455,1.241605239684878
28,21.091569929049932,1.1905500660349086
29,21.08224405258453,1.2107431234885644
30,21.107271793902658,1.2443994901122675
31,21.118979946417188,1.2234182957853181
32,21.087837116114475,1.205800697846964
33,21.024937543459796,1.246620762061388
34,21.07329538810663,1.2075917278571704
35,21.128340401704097,1.1921589967209505
36,21.065589409861577,1.2479847058409756
37,21.082977598077377,1.228974434026061
38,21.08594195257539,1.2697476778707082
39,21.087805780701064,1.2040482528957255
40,21.0307248390765,1.2627423355043181
41,21.05299638466073,1.2335718969969618
42,21.02489905578795,1.2635136946964047
43,21.036751139301845,1.2280211338515605
44,21.11909853887011,1.1973403826677518
45,21.145051811371996,1.2598376392596111
46,21.07588833095145,1.2152679403320623
47,21.059034302493387,1.2298417160734618
48,21.131704909584627,1.2216339408453605
49,21.051133771879794,1.2042275486551735
50,21.02795948928788,1.1969748980437533
51,21.074874768389808,1.223112117788133
52,21.10238685043343,1.2249420579289583
53,21.135427615172635,1.2160519519402415
54,21.03476237108734,1.2358425263140933
55,21.0362545892597,1.2455573158335465
