universe_id,E,I,X
0,0.766,0.19583179470434783,18.84497230467826
1,0.7467720411149809,0.3537572640505896,21.303071575210232
2,0.7486669916368761,0.2868555136137741,20.136739077785457
3,0.766,0.3942158915862164,22.415886048551897
4,0.766,0.21982728322435555,19.2768910980384
5,0.72,0.5330076221910485,23.99413719943887
6,0.7307328758441027,0.23574699475393612,18.858103422452906
7,0.72,0.2478333102084161,18.86099958375149
8,0.72,0.3519568129272388,20.7352226326903
9,0.766,0.36378254277190486,21.868085769894286
10,0.766,0.35425869407417987,21.69665649333524
11,0.766,0.3503700861044807,21.62666154988065
12,0.766,0.35677942985006506,21.742029737301173
13,0.7407101016148206,0.3594093448144052,21.283570238955708
14,0.7325418883638675,0.40497456362507833,21.940379912528762
15,0.72,0.42131749120136275,21.983714841624533
16,0.7253643452424812,0.3801314337954133,21.34965271316706
17,0.7559107143509329,0.3744325463930973,21.85800012209441
18,0.766,0.2619757667388213,20.035563801298785
19,0.766,0.25007006548703437,19.82126117876662
20,0.7563765840851135,0.2837715421688253,20.235419440741126
21,0.766,0.2832875890754068,20.419176603357325
22,0.766,0.3330871076740558,21.315567938133007
23,0.766,0.3937472249091776,22.407450048365195
24,0.7491785779871672,0.41290027394070733,22.415776490676077
25,0.766,0.29095020642331704,20.55710371561971
26,0.766,0.3449132398333169,21.528438316999704
27,0.7580198498213128,0.22948588307551082,19.291142891785448
28,0.766,0.30357685757360786,20.784383436324944
29,0.7213088479724395,0.49843455419454213,23.39799893495055
30,0.7533261478805708,0.3279406953331041,20.96945547360729
31,0.7447775640320653,0.3683250757525257,21.52540264418677
32,0.7490935797721419,0.37849402382866204,21.794764024358756
33,0.72,0.489471441476625,23.210485946579247
34,0.7304459133927677,0.41934567983066323,22.15714050480729
35,0.7379753746592524,0.4148812442633164,22.227369889924745
36,0.766,0.4428323620756144,23.29098251736106
37,0.72,0.3611448904830293,20.900608028694524
38,0.766,0.25165303480741336,19.84975462653344
39,0.766,0.3599140543007796,21.798452977414033
40,0.766,0.35584703491006126,21.725246628381104
41,0.7605811019310706,0.314581150266246,20.874082743413844
42,0.766,0.28813946159370163,20.50651030868663
43,0.7509815562841197,0.3622814922668434,21.540697986485576
44,0.72,0.46223449341705114,22.72022088150692
45,0.7429380436556317,0.3196501398435732,20.612463390296952
46,0.766,0.2368437706538434,19.58318787176918
47,0.766,0.34918639461644935,21.60535510309609
48,0.766,0.29437565100792684,20.618761718142686
49,0.766,0.37172775460133634,22.011099582824052
50,0.7583884539216336,0.30365754931130745,20.63360496603621
51,0.72,0.3806161764179331,21.251091175522795
52,0.7237160175823989,0.35449490834974473,20.855228701943386
53,0.7599457254947359,0.368227278711431,21.827005526700475
54,0.7370698918139145,0.4124159511020427,22.164884956115056
55,0.72,0.3685006817097808,21.03301227077605
